int	int	int	int	int	int	DTItemNum	string	string	int	int	int	string
ID|n|星级*10000+课程类型*1000+等级	星级	课程类型	课程增加属性编号	等级	升级消耗|n|艺人合同数量	课程介绍信消耗数量	助理英文名字	课程中文名字	课程ICON	副属性增加值	主属性增加值	备注
id	star	aide_type	number	lv	cost	introduction	en_name	cn_name	avatar	secondary_property	main_property	tips
13011000	1301	1	1	0	0	5012:50		宣传课程	2217	0	0	
13011001	1301	1	1	1	15	0		宣传课程	2217	13	13	
13011002	1301	1	1	2	15	0		宣传课程	2217	13	13	
13011003	1301	1	1	3	15	0		宣传课程	2217	13	13	
13011004	1301	1	1	4	15	0		宣传课程	2217	13	13	
13011005	1301	1	1	5	15	0		宣传课程	2217	13	13	
13011006	1301	1	1	6	15	0		宣传课程	2217	13	13	
13011007	1301	1	1	7	15	0		宣传课程	2217	13	13	
13011008	1301	1	1	8	30	0		宣传课程	2217	26	26	
13011009	1301	1	1	9	30	5012:50		宣传课程	2217	26	26	
13011010	1301	1	1	10	30	0		宣传课程	2217	26	26	
13011011	1301	1	1	11	30	0		宣传课程	2217	26	26	
13011012	1301	1	1	12	30	0		宣传课程	2217	26	26	
13011013	1301	1	1	13	30	0		宣传课程	2217	26	26	
13011014	1301	1	1	14	30	0		宣传课程	2217	26	26	
13011015	1301	1	1	15	30	0		宣传课程	2217	26	26	
13011016	1301	1	1	16	30	0		宣传课程	2217	26	26	
13011017	1301	1	1	17	30	0		宣传课程	2217	26	26	
13011018	1301	1	1	18	30	0		宣传课程	2217	26	26	
13011019	1301	1	1	19	30	0		宣传课程	2217	26	26	
13011020	1301	1	1	20	30	0		宣传课程	2217	26	26	
13011021	1301	1	1	21	30	0		宣传课程	2217	26	26	
13011022	1301	1	1	22	30	0		宣传课程	2217	26	26	
13011023	1301	1	1	23	30	0		宣传课程	2217	26	26	
13011024	1301	1	1	24	30	0		宣传课程	2217	26	26	
13011025	1301	1	1	25	30	0		宣传课程	2217	26	26	
13011026	1301	1	1	26	30	0		宣传课程	2217	26	26	
13011027	1301	1	1	27	45	0		宣传课程	2217	39	39	
13011028	1301	1	1	28	45	0		宣传课程	2217	39	39	
13011029	1301	1	1	29	45	0		宣传课程	2217	39	39	
13011030	1301	1	1	30	45	0		宣传课程	2217	39	39	
13011031	1301	1	1	31	45	0		宣传课程	2217	39	39	
13011032	1301	1	1	32	45	0		宣传课程	2217	39	39	
13011033	1301	1	1	33	45	0		宣传课程	2217	39	39	
13011034	1301	1	1	34	45	0		宣传课程	2217	39	39	
13011035	1301	1	1	35	45	0		宣传课程	2217	39	39	
13011036	1301	1	1	36	45	0		宣传课程	2217	39	39	
13011037	1301	1	1	37	45	0		宣传课程	2217	39	39	
13011038	1301	1	1	38	45	0		宣传课程	2217	39	39	
13011039	1301	1	1	39	45	5012:100		宣传课程	2217	39	39	
13011040	1301	1	1	40	45	0		宣传课程	2217	39	39	
13011041	1301	1	1	41	45	0		宣传课程	2217	39	39	
13011042	1301	1	1	42	45	0		宣传课程	2217	39	39	
13011043	1301	1	1	43	45	0		宣传课程	2217	39	39	
13011044	1301	1	1	44	45	0		宣传课程	2217	39	39	
13011045	1301	1	1	45	45	0		宣传课程	2217	39	39	
13011046	1301	1	1	46	45	0		宣传课程	2217	39	39	
13011047	1301	1	1	47	45	0		宣传课程	2217	39	39	
13011048	1301	1	1	48	45	0		宣传课程	2217	39	39	
13011049	1301	1	1	49	45	0		宣传课程	2217	39	39	
13011050	1301	1	1	50	45	0		宣传课程	2217	39	39	
13011051	1301	1	1	51	45	0		宣传课程	2217	39	39	
13011052	1301	1	1	52	45	0		宣传课程	2217	39	39	
13011053	1301	1	1	53	45	0		宣传课程	2217	39	39	
13011054	1301	1	1	54	45	0		宣传课程	2217	39	39	
13011055	1301	1	1	55	45	0		宣传课程	2217	39	39	
13011056	1301	1	1	56	45	0		宣传课程	2217	39	39	
13011057	1301	1	1	57	45	0		宣传课程	2217	39	39	
13011058	1301	1	1	58	45	0		宣传课程	2217	39	39	
13011059	1301	1	1	59	45	0		宣传课程	2217	39	39	
13011060	1301	1	1	60	45	0		宣传课程	2217	39	39	
13011061	1301	1	1	61	45	0		宣传课程	2217	39	39	
13011062	1301	1	1	62	45	0		宣传课程	2217	39	39	
13011063	1301	1	1	63	45	0		宣传课程	2217	39	39	
13011064	1301	1	1	64	60	0		宣传课程	2217	52	52	
13011065	1301	1	1	65	60	0		宣传课程	2217	52	52	
13011066	1301	1	1	66	60	0		宣传课程	2217	52	52	
13011067	1301	1	1	67	60	0		宣传课程	2217	52	52	
13011068	1301	1	1	68	60	0		宣传课程	2217	52	52	
13011069	1301	1	1	69	60	0		宣传课程	2217	52	52	
13011070	1301	1	1	70	60	0		宣传课程	2217	52	52	
13011071	1301	1	1	71	60	0		宣传课程	2217	52	52	
13011072	1301	1	1	72	60	0		宣传课程	2217	52	52	
13011073	1301	1	1	73	60	0		宣传课程	2217	52	52	
13011074	1301	1	1	74	60	0		宣传课程	2217	52	52	
13011075	1301	1	1	75	60	0		宣传课程	2217	52	52	
13011076	1301	1	1	76	60	0		宣传课程	2217	52	52	
13011077	1301	1	1	77	60	0		宣传课程	2217	52	52	
13011078	1301	1	1	78	60	0		宣传课程	2217	52	52	
13011079	1301	1	1	79	60	0		宣传课程	2217	52	52	
13011080	1301	1	1	80	60	0		宣传课程	2217	52	52	
13011081	1301	1	1	81	60	0		宣传课程	2217	52	52	
13011082	1301	1	1	82	60	0		宣传课程	2217	52	52	
13011083	1301	1	1	83	60	0		宣传课程	2217	52	52	
13011084	1301	1	1	84	60	0		宣传课程	2217	52	52	
13011085	1301	1	1	85	60	0		宣传课程	2217	52	52	
13011086	1301	1	1	86	60	0		宣传课程	2217	52	52	
13011087	1301	1	1	87	60	0		宣传课程	2217	52	52	
13011088	1301	1	1	88	60	0		宣传课程	2217	52	52	
13011089	1301	1	1	89	60	0		宣传课程	2217	52	52	
13011090	1301	1	1	90	60	0		宣传课程	2217	52	52	
13011091	1301	1	1	91	60	0		宣传课程	2217	52	52	
13011092	1301	1	1	92	60	0		宣传课程	2217	52	52	
13011093	1301	1	1	93	60	0		宣传课程	2217	52	52	
13011094	1301	1	1	94	60	0		宣传课程	2217	52	52	
13011095	1301	1	1	95	60	0		宣传课程	2217	52	52	
13011096	1301	1	1	96	60	0		宣传课程	2217	52	52	
13011097	1301	1	1	97	60	0		宣传课程	2217	52	52	
13011098	1301	1	1	98	60	0		宣传课程	2217	52	52	
13011099	1301	1	1	99	60	0		宣传课程	2217	52	52	
13011100	1301	1	1	100	60	0		宣传课程	2217	52	52	
13012000	1301	2	2	0	0	5012:50		形象课程	2218	0	0	
13012001	1301	2	2	1	15	0		形象课程	2218	13	13	
13012002	1301	2	2	2	15	0		形象课程	2218	13	13	
13012003	1301	2	2	3	15	0		形象课程	2218	13	13	
13012004	1301	2	2	4	15	0		形象课程	2218	13	13	
13012005	1301	2	2	5	15	0		形象课程	2218	13	13	
13012006	1301	2	2	6	15	0		形象课程	2218	13	13	
13012007	1301	2	2	7	15	0		形象课程	2218	13	13	
13012008	1301	2	2	8	30	0		形象课程	2218	26	26	
13012009	1301	2	2	9	30	5012:50		形象课程	2218	26	26	
13012010	1301	2	2	10	30	0		形象课程	2218	26	26	
13012011	1301	2	2	11	30	0		形象课程	2218	26	26	
