int	int	int	int	int	int	string
ID|n|艺人*100+助理类型*10+加成类型	艺人ID	助理类型	额外效果类型|n|1增加擅长标签等级|n|2培养次数	固定加成参数	解锁等级	备注
id	actor	aide_type	attach_type	value	lv	tips
100111	1001	1	1	1	10	
100112	1001	1	2	20	40	
100121	1001	2	1	1	10	
100122	1001	2	2	20	40	
100131	1001	3	1	1	10	
100132	1001	3	2	20	40	
100141	1001	4	1	1	10	
100142	1001	4	2	20	40	
100211	1002	1	1	1	10	
100212	1002	1	2	20	40	
100221	1002	2	1	1	10	
100222	1002	2	2	20	40	
100231	1002	3	1	1	10	
100232	1002	3	2	20	40	
100241	1002	4	1	1	10	
100242	1002	4	2	20	40	
100311	1003	1	1	1	10	
100312	1003	1	2	20	40	
100321	1003	2	1	1	10	
100322	1003	2	2	20	40	
100331	1003	3	1	1	10	
100332	1003	3	2	20	40	
100341	1003	4	1	1	10	
100342	1003	4	2	20	40	
100411	1004	1	1	1	10	
100412	1004	1	2	20	40	
100421	1004	2	1	1	10	
100422	1004	2	2	20	40	
100431	1004	3	1	1	10	
100432	1004	3	2	20	40	
100441	1004	4	1	1	10	
100442	1004	4	2	20	40	
100511	1005	1	1	1	10	
100512	1005	1	2	20	40	
100521	1005	2	1	1	10	
100522	1005	2	2	20	40	
100531	1005	3	1	1	10	
100532	1005	3	2	20	40	
100541	1005	4	1	1	10	
100542	1005	4	2	20	40	
100611	1006	1	1	1	10	
100612	1006	1	2	20	40	
100621	1006	2	1	1	10	
100622	1006	2	2	20	40	
100631	1006	3	1	1	10	
100632	1006	3	2	20	40	
100641	1006	4	1	1	10	
100642	1006	4	2	20	40	
200111	2001	1	1	1	10	
200112	2001	1	2	20	40	
200121	2001	2	1	1	10	
200122	2001	2	2	20	40	
200131	2001	3	1	1	10	
200132	2001	3	2	20	40	
200141	2001	4	1	1	10	
200142	2001	4	2	20	40	
200211	2002	1	1	1	10	
200212	2002	1	2	20	40	
200221	2002	2	1	1	10	
200222	2002	2	2	20	40	
200231	2002	3	1	1	10	
200232	2002	3	2	20	40	
200241	2002	4	1	1	10	
200242	2002	4	2	20	40	
200311	2003	1	1	1	10	
200312	2003	1	2	20	40	
200321	2003	2	1	1	10	
200322	2003	2	2	20	40	
200331	2003	3	1	1	10	
200332	2003	3	2	20	40	
200341	2003	4	1	1	10	
200342	2003	4	2	20	40	
200411	2004	1	1	1	10	
200412	2004	1	2	20	40	
200421	2004	2	1	1	10	
200422	2004	2	2	20	40	
200431	2004	3	1	1	10	
200432	2004	3	2	20	40	
200441	2004	4	1	1	10	
200442	2004	4	2	20	40	
200511	2005	1	1	1	10	
200512	2005	1	2	20	40	
200521	2005	2	1	1	10	
200522	2005	2	2	20	40	
200531	2005	3	1	1	10	
200532	2005	3	2	20	40	
200541	2005	4	1	1	10	
200542	2005	4	2	20	40	
200611	2006	1	1	1	10	
200612	2006	1	2	20	40	
200621	2006	2	1	1	10	
200622	2006	2	2	20	40	
200631	2006	3	1	1	10	
200632	2006	3	2	20	40	
200641	2006	4	1	1	10	
200642	2006	4	2	20	40	
200711	2007	1	1	1	10	
200712	2007	1	2	20	40	
200721	2007	2	1	1	10	
200722	2007	2	2	20	40	
200731	2007	3	1	1	10	
200732	2007	3	2	20	40	
200741	2007	4	1	1	10	
200742	2007	4	2	20	40	
200811	2008	1	1	1	10	
200812	2008	1	2	20	40	
200821	2008	2	1	1	10	
200822	2008	2	2	20	40	
200831	2008	3	1	1	10	
200832	2008	3	2	20	40	
200841	2008	4	1	1	10	
200842	2008	4	2	20	40	
200911	2009	1	1	1	10	
200912	2009	1	2	20	40	
200921	2009	2	1	1	10	
200922	2009	2	2	20	40	
200931	2009	3	1	1	10	
200932	2009	3	2	20	40	
200941	2009	4	1	1	10	
200942	2009	4	2	20	40	
201011	2010	1	1	1	10	
201012	2010	1	2	20	40	
201021	2010	2	1	1	10	
201022	2010	2	2	20	40	
201031	2010	3	1	1	10	
201032	2010	3	2	20	40	
201041	2010	4	1	1	10	
201042	2010	4	2	20	40	
201111	2011	1	1	1	10	
201112	2011	1	2	20	40	
201121	2011	2	1	1	10	
201122	2011	2	2	20	40	
201131	2011	3	1	1	10	
201132	2011	3	2	20	40	
201141	2011	4	1	1	10	
201142	2011	4	2	20	40	
201211	2012	1	1	1	10	
201212	2012	1	2	20	40	
201221	2012	2	1	1	10	
201222	2012	2	2	20	40	
201231	2012	3	1	1	10	
201232	2012	3	2	20	40	
201241	2012	4	1	1	10	
201242	2012	4	2	20	40	
201311	2013	1	1	1	10	
201312	2013	1	2	20	40	
201321	2013	2	1	1	10	
201322	2013	2	2	20	40	
201331	2013	3	1	1	10	
201332	2013	3	2	20	40	
201341	2013	4	1	1	10	
201342	2013	4	2	20	40	
201411	2014	1	1	1	10	
201412	2014	1	2	20	40	
201421	2014	2	1	1	10	
201422	2014	2	2	20	40	
201431	2014	3	1	1	10	
201432	2014	3	2	20	40	
201441	2014	4	1	1	10	
201442	2014	4	2	20	40	
201511	2015	1	1	1	10	
201512	2015	1	2	20	40	
201521	2015	2	1	1	10	
201522	2015	2	2	20	40	
201531	2015	3	1	1	10	
201532	2015	3	2	20	40	
201541	2015	4	1	1	10	
201542	2015	4	2	20	40	
300111	3001	1	1	1	10	
300112	3001	1	2	20	40	
300121	3001	2	1	1	10	
300122	3001	2	2	20	40	
300131	3001	3	1	1	10	
300132	3001	3	2	20	40	
300141	3001	4	1	1	10	
300142	3001	4	2	20	40	
300211	3002	1	1	1	10	
300212	3002	1	2	20	40	
300221	3002	2	1	1	10	
300222	3002	2	2	20	40	
300231	3002	3	1	1	10	
300232	3002	3	2	20	40	
300241	3002	4	1	1	10	
300242	3002	4	2	20	40	
300311	3003	1	1	1	10	
300312	3003	1	2	20	40	
300321	3003	2	1	1	10	
300322	3003	2	2	20	40	
300331	3003	3	1	1	10	
300332	3003	3	2	20	40	
300341	3003	4	1	1	10	
300342	3003	4	2	20	40	
300411	3004	1	1	1	10	
300412	3004	1	2	20	40	
300421	3004	2	1	1	10	
300422	3004	2	2	20	40	
300431	3004	3	1	1	10	
300432	3004	3	2	20	40	
300441	3004	4	1	1	10	
300442	3004	4	2	20	40	
300511	3005	1	1	1	10	
300512	3005	1	2	20	40	
300521	3005	2	1	1	10	
300522	3005	2	2	20	40	
300531	3005	3	1	1	10	
300532	3005	3	2	20	40	
300541	3005	4	1	1	10	
300542	3005	4	2	20	40	
300611	3006	1	1	1	10	
300612	3006	1	2	20	40	
300621	3006	2	1	1	10	
300622	3006	2	2	20	40	
300631	3006	3	1	1	10	
300632	3006	3	2	20	40	
300641	3006	4	1	1	10	
300642	3006	4	2	20	40	
300711	3007	1	1	1	10	
300712	3007	1	2	20	40	
300721	3007	2	1	1	10	
300722	3007	2	2	20	40	
300731	3007	3	1	1	10	
300732	3007	3	2	20	40	
300741	3007	4	1	1	10	
300742	3007	4	2	20	40	
300811	3008	1	1	1	10	
300812	3008	1	2	20	40	
300821	3008	2	1	1	10	
300822	3008	2	2	20	40	
300831	3008	3	1	1	10	
300832	3008	3	2	20	40	
300841	3008	4	1	1	10	
300842	3008	4	2	20	40	
300911	3009	1	1	1	10	
300912	3009	1	2	20	40	
300921	3009	2	1	1	10	
300922	3009	2	2	20	40	
300931	3009	3	1	1	10	
300932	3009	3	2	20	40	
300941	3009	4	1	1	10	
300942	3009	4	2	20	40	
301011	3010	1	1	1	10	
301012	3010	1	2	20	40	
301021	3010	2	1	1	10	
301022	3010	2	2	20	40	
301031	3010	3	1	1	10	
301032	3010	3	2	20	40	
301041	3010	4	1	1	10	
301042	3010	4	2	20	40	
301111	3011	1	1	1	10	
301112	3011	1	2	20	40	
301121	3011	2	1	1	10	
301122	3011	2	2	20	40	
301131	3011	3	1	1	10	
301132	3011	3	2	20	40	
301141	3011	4	1	1	10	
301142	3011	4	2	20	40	
301211	3012	1	1	1	10	
301212	3012	1	2	20	40	
301221	3012	2	1	1	10	
301222	3012	2	2	20	40	
301231	3012	3	1	1	10	
301232	3012	3	2	20	40	
301241	3012	4	1	1	10	
301242	3012	4	2	20	40	
301311	3013	1	1	1	10	
301312	3013	1	2	20	40	
301321	3013	2	1	1	10	
301322	3013	2	2	20	40	
301331	3013	3	1	1	10	
301332	3013	3	2	20	40	
301341	3013	4	1	1	10	
301342	3013	4	2	20	40	
301411	3014	1	1	1	10	
301412	3014	1	2	20	40	
301421	3014	2	1	1	10	
301422	3014	2	2	20	40	
301431	3014	3	1	1	10	
301432	3014	3	2	20	40	
301441	3014	4	1	1	10	
301442	3014	4	2	20	40	
301511	3015	1	1	1	10	
301512	3015	1	2	20	40	
301521	3015	2	1	1	10	
301522	3015	2	2	20	40	
301531	3015	3	1	1	10	
301532	3015	3	2	20	40	
301541	3015	4	1	1	10	
301542	3015	4	2	20	40	
301611	3016	1	1	1	10	
301612	3016	1	2	20	40	
301621	3016	2	1	1	10	
301622	3016	2	2	20	40	
301631	3016	3	1	1	10	
301632	3016	3	2	20	40	
301641	3016	4	1	1	10	
301642	3016	4	2	20	40	
301711	3017	1	1	1	10	
301712	3017	1	2	20	40	
301721	3017	2	1	1	10	
301722	3017	2	2	20	40	
301731	3017	3	1	1	10	
301732	3017	3	2	20	40	
301741	3017	4	1	1	10	
301742	3017	4	2	20	40	
301811	3018	1	1	1	10	
301812	3018	1	2	20	40	
301821	3018	2	1	1	10	
301822	3018	2	2	20	40	
301831	3018	3	1	1	10	
301832	3018	3	2	20	40	
301841	3018	4	1	1	10	
301842	3018	4	2	20	40	
400111	4001	1	1	1	10	
400112	4001	1	2	20	40	
400121	4001	2	1	1	10	
400122	4001	2	2	20	40	
400131	4001	3	1	1	10	
400132	4001	3	2	20	40	
400141	4001	4	1	1	10	
400142	4001	4	2	20	40	
400211	4002	1	1	1	10	
400212	4002	1	2	20	40	
400221	4002	2	1	1	10	
400222	4002	2	2	20	40	
400231	4002	3	1	1	10	
400232	4002	3	2	20	40	
400241	4002	4	1	1	10	
400242	4002	4	2	20	40	
400311	4003	1	1	1	10	
400312	4003	1	2	20	40	
400321	4003	2	1	1	10	
400322	4003	2	2	20	40	
400331	4003	3	1	1	10	
400332	4003	3	2	20	40	
400341	4003	4	1	1	10	
400342	4003	4	2	20	40	
400411	4004	1	1	1	10	
400412	4004	1	2	20	40	
400421	4004	2	1	1	10	
400422	4004	2	2	20	40	
400431	4004	3	1	1	10	
400432	4004	3	2	20	40	
400441	4004	4	1	1	10	
400442	4004	4	2	20	40	
400511	4005	1	1	1	10	
400512	4005	1	2	20	40	
400521	4005	2	1	1	10	
400522	4005	2	2	20	40	
400531	4005	3	1	1	10	
400532	4005	3	2	20	40	
400541	4005	4	1	1	10	
400542	4005	4	2	20	40	
400611	4006	1	1	1	10	
400612	4006	1	2	20	40	
400621	4006	2	1	1	10	
400622	4006	2	2	20	40	
400631	4006	3	1	1	10	
400632	4006	3	2	20	40	
400641	4006	4	1	1	10	
400642	4006	4	2	20	40	
400711	4007	1	1	1	10	
400712	4007	1	2	20	40	
400721	4007	2	1	1	10	
400722	4007	2	2	20	40	
400731	4007	3	1	1	10	
400732	4007	3	2	20	40	
400741	4007	4	1	1	10	
400742	4007	4	2	20	40	
400811	4008	1	1	1	10	
400812	4008	1	2	20	40	
400821	4008	2	1	1	10	
400822	4008	2	2	20	40	
400831	4008	3	1	1	10	
400832	4008	3	2	20	40	
400841	4008	4	1	1	10	
400842	4008	4	2	20	40	
400911	4009	1	1	1	10	
400912	4009	1	2	20	40	
400921	4009	2	1	1	10	
400922	4009	2	2	20	40	
400931	4009	3	1	1	10	
400932	4009	3	2	20	40	
400941	4009	4	1	1	10	
400942	4009	4	2	20	40	
401011	4010	1	1	1	10	
401012	4010	1	2	20	40	
401021	4010	2	1	1	10	
401022	4010	2	2	20	40	
401031	4010	3	1	1	10	
401032	4010	3	2	20	40	
401041	4010	4	1	1	10	
401042	4010	4	2	20	40	
401111	4011	1	1	1	10	
401112	4011	1	2	20	40	
401121	4011	2	1	1	10	
401122	4011	2	2	20	40	
401131	4011	3	1	1	10	
401132	4011	3	2	20	40	
401141	4011	4	1	1	10	
401142	4011	4	2	20	40	
401211	4012	1	1	1	10	
401212	4012	1	2	20	40	
401221	4012	2	1	1	10	
401222	4012	2	2	20	40	
401231	4012	3	1	1	10	
401232	4012	3	2	20	40	
401241	4012	4	1	1	10	
401242	4012	4	2	20	40	
401311	4013	1	1	1	10	
401312	4013	1	2	20	40	
401321	4013	2	1	1	10	
401322	4013	2	2	20	40	
401331	4013	3	1	1	10	
401332	4013	3	2	20	40	
401341	4013	4	1	1	10	
401342	4013	4	2	20	40	
401411	4014	1	1	1	10	
401412	4014	1	2	20	40	
401421	4014	2	1	1	10	
401422	4014	2	2	20	40	
401431	4014	3	1	1	10	
401432	4014	3	2	20	40	
401441	4014	4	1	1	10	
401442	4014	4	2	20	40	
401511	4015	1	1	1	10	
401512	4015	1	2	20	40	
401521	4015	2	1	1	10	
401522	4015	2	2	20	40	
401531	4015	3	1	1	10	
401532	4015	3	2	20	40	
401541	4015	4	1	1	10	
401542	4015	4	2	20	40	
401611	4016	1	1	1	10	
401612	4016	1	2	20	40	
401621	4016	2	1	1	10	
401622	4016	2	2	20	40	
401631	4016	3	1	1	10	
401632	4016	3	2	20	40	
401641	4016	4	1	1	10	
401642	4016	4	2	20	40	
401711	4017	1	1	1	10	
401712	4017	1	2	20	40	
401721	4017	2	1	1	10	
401722	4017	2	2	20	40	
401731	4017	3	1	1	10	
401732	4017	3	2	20	40	
401741	4017	4	1	1	10	
401742	4017	4	2	20	40	
401811	4018	1	1	1	10	
401812	4018	1	2	20	40	
401821	4018	2	1	1	10	
401822	4018	2	2	20	40	
401831	4018	3	1	1	10	
401832	4018	3	2	20	40	
401841	4018	4	1	1	10	
401842	4018	4	2	20	40	
401911	4019	1	1	1	10	
401912	4019	1	2	20	40	
401921	4019	2	1	1	10	
401922	4019	2	2	20	40	
401931	4019	3	1	1	10	
401932	4019	3	2	20	40	
401941	4019	4	1	1	10	
401942	4019	4	2	20	40	
402011	4020	1	1	1	10	
402012	4020	1	2	20	40	
402021	4020	2	1	1	10	
