int	int	int	string
ID|n|艺人ID+赠送类型	赠送类型	增长属性种类	备注
id	type	actor_property	tips
100101	1	1601	
100102	2	1601	
100103	3	1603	
100104	4	1602	
100201	1	1601	
100202	2	1602	
100203	3	1601	
100204	4	1603	
100301	1	1601	
100302	2	1601	
100303	3	1603	
100304	4	1603	
100401	1	1601	
100402	2	1602	
100403	3	1603	
100404	4	1602	
100501	1	1602	
100502	2	1603	
100503	3	1601	
100504	4	1603	
100601	1	1602	
100602	2	1602	
100603	3	1601	
100604	4	1603	
200101	1	1601	
200102	2	1601	
200103	3	1603	
200104	4	1602	
200201	1	1601	
200202	2	1601	
200203	3	1603	
200204	4	1602	
200301	1	1601	
200302	2	1601	
200303	3	1601	
200304	4	1603	
200401	1	1601	
200402	2	1602	
200403	3	1603	
200404	4	1602	
200501	1	1601	
200502	2	1602	
200503	3	1601	
200504	4	1603	
200601	1	1602	
200602	2	1603	
200603	3	1601	
200604	4	1602	
200701	1	1602	
200702	2	1603	
200703	3	1603	
200704	4	1602	
200801	1	1601	
200802	2	1602	
200803	3	1603	
200804	4	1602	
200901	1	1601	
200902	2	1601	
200903	3	1603	
200904	4	1602	
201001	1	1601	
201002	2	1601	
201003	3	1603	
201004	4	1602	
201101	1	1602	
201102	2	1601	
201103	3	1603	
201104	4	1603	
201201	1	1602	
201202	2	1603	
201203	3	1601	
201204	4	1603	
201301	1	1601	
201302	2	1602	
201303	3	1603	
201304	4	1602	
201401	1	1601	
201402	2	1601	
201403	3	1601	
201404	4	1603	
201501	1	1602	
201502	2	1602	
201503	3	1603	
201504	4	1603	
300101	1	1601	
300102	2	1601	
300103	3	1603	
300104	4	1602	
300201	1	1601	
300202	2	1602	
300203	3	1603	
300204	4	1602	
300301	1	1601	
300302	2	1601	
300303	3	1603	
300304	4	1602	
300401	1	1601	
300402	2	1601	
300403	3	1603	
300404	4	1602	
300501	1	1601	
300502	2	1602	
300503	3	1601	
300504	4	1603	
300601	1	1602	
300602	2	1602	
300603	3	1601	
300604	4	1603	
300701	1	1601	
300702	2	1601	
300703	3	1603	
300704	4	1602	
300801	1	1601	
300802	2	1602	
300803	3	1601	
300804	4	1603	
300901	1	1602	
300902	2	1602	
300903	3	1601	
300904	4	1603	
301001	1	1601	
301002	2	1601	
301003	3	1601	
301004	4	1602	
301101	1	1602	
301102	2	1601	
301103	3	1603	
301104	4	1602	
301201	1	1601	
301202	2	1601	
301203	3	1603	
301204	4	1602	
301301	1	1602	
301302	2	1601	
301303	3	1603	
301304	4	1603	
301401	1	1601	
301402	2	1603	
301403	3	1603	
301404	4	1602	
301501	1	1601	
301502	2	1601	
301503	3	1603	
301504	4	1603	
301601	1	1602	
301602	2	1601	
301603	3	1601	
301604	4	1602	
301701	1	1601	
301702	2	1602	
301703	3	1603	
301704	4	1602	
301801	1	1601	
301802	2	1603	
301803	3	1603	
301804	4	1602	
400101	1	1602	
400102	2	1602	
400103	3	1601	
400104	4	1603	
400201	1	1602	
400202	2	1602	
400203	3	1601	
400204	4	1603	
400301	1	1602	
400302	2	1601	
400303	3	1603	
400304	4	1602	
400401	1	1601	
400402	2	1602	
400403	3	1603	
400404	4	1602	
400501	1	1601	
400502	2	1601	
400503	3	1601	
400504	4	1603	
400601	1	1601	
400602	2	1602	
400603	3	1603	
400604	4	1602	
400701	1	1601	
400702	2	1601	
400703	3	1603	
400704	4	1603	
400801	1	1601	
400802	2	1602	
400803	3	1603	
400804	4	1602	
400901	1	1601	
400902	2	1602	
400903	3	1603	
400904	4	1603	
401001	1	1602	
401002	2	1601	
401003	3	1603	
401004	4	1603	
401101	1	1602	
401102	2	1601	
401103	3	1601	
401104	4	1603	
401201	1	1601	
401202	2	1601	
401203	3	1603	
401204	4	1603	
401301	1	1601	
401302	2	1601	
401303	3	1601	
401304	4	1602	
401401	1	1601	
401402	2	1601	
401403	3	1603	
401404	4	1603	
401501	1	1602	
401502	2	1601	
401503	3	1603	
401504	4	1602	
401601	1	1602	
401602	2	1601	
401603	3	1603	
401604	4	1602	
401701	1	1601	
401702	2	1603	
401703	3	1601	
401704	4	1603	
401801	1	1601	
401802	2	1601	
401803	3	1603	
401804	4	1602	
401901	1	1602	
401902	2	1601	
401903	3	1601	
401904	4	1603	
402001	1	1601	
402002	2	1601	
402003	3	1603	
402004	4	1603	
402101	1	1601	
402102	2	1601	
402103	3	1601	
402104	4	1602	
402201	1	1601	
402202	2	1601	
402203	3	1603	
402204	4	1603	
402301	1	1602	
402302	2	1601	
402303	3	1601	
402304	4	1603	
402401	1	1601	
402402	2	1601	
402403	3	1601	
402404	4	1602	
402501	1	1602	
402502	2	1601	
402503	3	1601	
402504	4	1603	
402601	1	1601	
402602	2	1601	
402603	3	1603	
402604	4	1602	
402701	1	1602	
402702	2	1601	
402703	3	1601	
402704	4	1603	
402801	1	1602	
402802	2	1603	
402803	3	1603	
402804	4	1602	
402901	1	1601	
402902	2	1601	
402903	3	1601	
402904	4	1603	
403001	1	1602	
403002	2	1602	
403003	3	1601	
403004	4	1602	
500101	1	1601	
500102	2	1601	
500103	3	1601	
500104	4	1602	
500201	1	1601	
500202	2	1602	
500203	3	1601	
500204	4	1603	
500301	1	1601	
500302	2	1601	
500303	3	1603	
500304	4	1602	
500401	1	1601	
500402	2	1601	
500403	3	1601	
500404	4	1602	
500501	1	1601	
500502	2	1601	
500503	3	1601	
500504	4	1602	
500601	1	1602	
500602	2	1601	
500603	3	1601	
500604	4	1603	
500701	1	1602	
500702	2	1601	
500703	3	1601	
500704	4	1603	
500801	1	1601	
500802	2	1601	
500803	3	1601	
500804	4	1602	
500901	1	1602	
500902	2	1601	
500903	3	1603	
500904	4	1602	
501001	1	1601	
501002	2	1601	
501003	3	1601	
501004	4	1602	
501101	1	1601	
501102	2	1601	
501103	3	1603	
501104	4	1602	
501201	1	1601	
501202	2	1602	
501203	3	1603	
501204	4	1602	
501301	1	1601	
501302	2	1601	
501303	3	1603	
501304	4	1602	
501401	1	1601	
501402	2	1601	
501403	3	1601	
501404	4	1603	
501501	1	1602	
501502	2	1601	
501503	3	1601	
501504	4	1603	
501601	1	1602	
501602	2	1602	
501603	3	1603	
501604	4	1603	
501701	1	1601	
501702	2	1601	
501703	3	1603	
501704	4	1602	
501801	1	1601	
501802	2	1602	
501803	3	1603	
501804	4	1602	
