int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
等级	1星数量	2星数量	3星数量	4星数量	5星数量	6星数量	1星增值	2星增值	3星增值	4星增值	5星增值	6星增值	女	男	北美	欧洲	亚洲	演技派	偶像派	青春型	成熟型	1星数量上限	2星数量上限	3星数量上限	4星数量上限	5星数量上限	6星数量上限
id	star1_num	star2_num	star3_num	star4_num	star5_num	star6_num	star1_value	star2_value	star3_value	star4_value	star5_value	star6_value	sex_1101	sex_1102	c_1201	c_1202	c_1203	p_1401	p_1402	y_1501	y_1502	star1_max	star2_max	star3_max	star4_max	star5_max	star6_max
1	10	10	10	10	10	10	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
2	10	10	10	10	10	10	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
3	10	10	10	10	10	10	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
4	10	10	10	10	10	10	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
5	10	10	10	10	10	10	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
6	10	10	12	12	15	18	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
7	10	10	12	12	15	18	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
8	10	10	12	12	15	18	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
9	10	10	12	12	15	18	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
10	10	10	12	12	15	18	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
11	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
12	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
13	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
14	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
15	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
16	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
17	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
18	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
19	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
20	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
21	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
22	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
23	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
24	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
25	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
26	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
27	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
28	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
29	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
30	15	15	18	18	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
31	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
32	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
