int	int	int	int	int	int	int	int	int	int	int	int	int	DTItemNum	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
艺人等级	1星副属性增值	1星主属性增值	2星副属性增值	2星主属性增值	3星副属性增值	3星主属性增值	4星副属性增值	4星主属性增值	5星副属性增值	5星主属性增值	6星副属性增值	6星主属性增值	艺人升级消耗	1星艺人片酬增值	2星艺人片酬增值	3星艺人片酬增值	4星艺人片酬增值	5星艺人片酬增值	6星艺人片酬增值	1星资产上限增值	2星资产上限增值	3星资产上限增值	4星资产上限增值	5星资产上限增值	6星资产上限增值	1星体力增值	2星体力增值	3星体力增值	4星体力增值	5星体力增值	6星体力增值	培养次数上限增长	1星艺人片酬总值	2星艺人片酬总值	3星艺人片酬总值	4星艺人片酬总值	5星艺人片酬总值	6星艺人片酬总值
id	star1_vice	star1_main	star2_vice	star2_main	star3_vice	star3_main	star4_vice	star4_main	star5_vice	star5_main	star6_vice	star6_main	cost	star1_paycheck	star2_paycheck	star3_paycheck	star4_paycheck	star5_paycheck	star6_paycheck	star1_assets	star2_assets	star3_assets	star4_assets	star5_assets	star6_assets	star1_stamina	star2_stamina	star3_stamina	star4_stamina	star5_stamina	star6_stamina	culture	star1_paycheck_max	star2_paycheck_max	star3_paycheck_max	star4_paycheck_max	star5_paycheck_max	star6_paycheck_max
1	1	2	1	3	2	4	2	5	3	6	4	8	2:260	2	3	3	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	1	100	125	150	200	250	300
2	1	2	1	3	2	4	2	5	3	7	4	8	2:510	4	5	6	8	10	12	0	0	0	0	0	0	0	0	0	0	0	0	1	102	128	153	204	255	306
3	1	3	2	4	2	4	3	6	4	8	4	9	2:760	4	5	6	8	10	12	0	0	0	0	0	0	0	0	0	0	0	0	1	106	133	159	212	265	318
4	1	3	2	4	2	5	3	6	4	8	5	10	2:1010	6	7	9	12	15	18	0	0	0	0	0	0	0	0	0	0	0	0	1	110	138	165	220	275	330
5	1	3	2	4	2	5	3	7	4	9	5	11	2:1270	6	8	9	12	15	18	0	0	0	0	0	0	0	0	0	0	0	0	1	116	145	174	232	290	348
6	1	3	2	4	2	5	3	7	4	9	5	11	2:1520	8	10	12	16	20	24	0	0	0	0	0	0	0	0	0	0	0	0	1	122	153	183	244	305	366
7	2	4	2	5	3	6	4	8	5	10	6	12	2:1770	8	10	12	16	20	24	0	0	0	0	0	0	0	0	0	0	0	0	1	130	163	195	260	325	390
8	2	4	2	5	3	6	4	8	5	11	6	13	2:2020	10	12	15	20	25	30	0	0	0	0	0	0	0	0	0	0	0	0	1	138	173	207	276	345	414
9	2	4	2	5	3	7	4	9	5	11	7	14	2:2280	10	13	15	20	25	30	50	100	150	200	250	300	10	10	10	10	10	10	1	148	185	222	296	370	444
10	2	4	3	6	3	7	4	9	6	12	7	14	2:2530	12	15	18	24	30	36	0	0	0	0	0	0	0	0	0	0	0	0	1	158	198	237	316	395	474
11	2	5	3	6	3	7	5	10	6	12	7	15	2:2780	12	15	18	24	30	36	0	0	0	0	0	0	0	0	0	0	0	0	1	170	213	255	340	425	510
12	2	5	3	6	4	8	5	10	6	13	8	16	2:3030	14	17	21	28	35	42	0	0	0	0	0	0	0	0	0	0	0	0	1	182	228	273	364	455	546
13	2	5	3	7	4	8	5	11	7	14	8	17	2:3290	14	18	21	28	35	42	0	0	0	0	0	0	0	0	0	0	0	0	1	196	245	294	392	490	588
14	2	5	3	7	4	8	5	11	7	14	8	17	2:3540	16	20	24	32	40	48	0	0	0	0	0	0	0	0	0	0	0	0	1	210	263	315	420	525	630
15	3	6	3	7	4	9	6	12	7	15	9	18	2:3790	16	20	24	32	40	48	0	0	0	0	0	0	0	0	0	0	0	0	1	226	283	339	452	565	678
16	3	6	4	8	4	9	6	12	8	16	9	19	2:4040	18	22	27	36	45	54	0	0	0	0	0	0	0	0	0	0	0	0	1	242	303	363	484	605	726
17	3	6	4	8	5	10	6	13	8	16	10	20	2:4300	18	23	27	36	45	54	0	0	0	0	0	0	0	0	0	0	0	0	1	260	325	390	520	650	780
18	3	6	4	8	5	10	6	13	8	17	10	20	2:4550	20	25	30	40	50	60	0	0	0	0	0	0	0	0	0	0	0	0	1	278	348	417	556	695	834
19	3	7	4	8	5	10	7	14	8	17	10	21	2:4800	20	25	30	40	50	60	50	100	150	200	250	300	10	10	10	10	10	10	1	298	373	447	596	745	894
20	3	7	4	9	5	11	7	14	9	18	11	22	2:5050	22	27	33	44	55	66	0	0	0	0	0	0	0	0	0	0	0	0	1	318	398	477	636	795	954
21	3	7	4	9	5	11	7	15	9	19	11	22	2:5310	22	28	33	44	55	66	0	0	0	0	0	0	0	0	0	0	0	0	1	340	425	510	680	850	1020
22	3	7	4	9	5	11	7	15	9	19	11	23	2:5560	24	30	36	48	60	72	0	0	0	0	0	0	0	0	0	0	0	0	1	362	453	543	724	905	1086
