int	int	int	int	string
ID|n|艺人ID+忠诚度等级	忠诚度等级	经验值	艺人等级上限	备注
id	lv	exp	max_lv	tips
100100	0	10	30	
100101	1	10	30	
100102	2	10	30	
100103	3	20	30	
100104	4	20	30	
100105	5	20	30	
100106	6	30	60	
100107	7	30	60	
100108	8	30	60	
100109	9	45	80	
100110	10	45	80	
100111	11	45	80	
100112	12	60	100	
100113	13	60	100	
100114	14	60	100	
100115	15	75	120	
100116	16	75	120	
100117	17	75	120	
100118	18	95	140	
100119	19	95	140	
100120	20	95	160	
100121	21	115	160	
100122	22	115	180	
100123	23	115	180	
100124	24	135	200	
100125	25	135	200	
100126	26	135	220	
100127	27	160	220	
100128	28	160	240	
100129	29	160	240	
100130	30	185	260	
100131	31	185	260	
100132	32	195	280	
100133	33	215	280	
100134	34	215	300	
100135	35	245	300	
100136	36	245	320	
100137	37	285	320	
100138	38	285	340	
100139	39	325	340	
100140	40	325	360	
100141	41	370	360	
100142	42	370	380	
100143	43	415	380	
100144	44	415	400	
100200	0	10	30	
100201	1	10	30	
100202	2	10	30	
100203	3	20	30	
100204	4	20	30	
100205	5	20	30	
100206	6	30	60	
100207	7	30	60	
100208	8	30	60	
100209	9	45	80	
100210	10	45	80	
100211	11	45	80	
100212	12	60	100	
100213	13	60	100	
100214	14	60	100	
100215	15	75	120	
100216	16	75	120	
100217	17	75	120	
100218	18	95	140	
100219	19	95	140	
100220	20	95	160	
100221	21	115	160	
100222	22	115	180	
100223	23	115	180	
100224	24	135	200	
100225	25	135	200	
100226	26	135	220	
100227	27	160	220	
100228	28	160	240	
100229	29	160	240	
100230	30	185	260	
100231	31	185	260	
100232	32	195	280	
100233	33	215	280	
100234	34	215	300	
100235	35	245	300	
100236	36	245	320	
100237	37	285	320	
100238	38	285	340	
100239	39	325	340	
100240	40	325	360	
100241	41	370	360	
100242	42	370	380	
100243	43	415	380	
100244	44	415	400	
100300	0	10	30	
100301	1	10	30	
100302	2	10	30	
100303	3	20	30	
100304	4	20	30	
100305	5	20	30	
100306	6	30	60	
100307	7	30	60	
100308	8	30	60	
100309	9	45	80	
100310	10	45	80	
100311	11	45	80	
100312	12	60	100	
100313	13	60	100	
100314	14	60	100	
100315	15	75	120	
