int	int	int	int	int	DTProficiency
ID  |n|拍摄类型ID*100+等级	拍摄类型|n|2201歌舞|n|2202爱情|n|2203喜剧|n|2204叙事|n|2205动作|n|2206恐怖|n|2207动画|n|2208悬疑	等级	类型经验|n|2601歌舞经验|n|2602爱情经验|n|2603喜剧经验|n|2604叙事经验|n|2605动作经验|n|2606恐怖经验|n|2607动画经验|n|2608悬疑经验	升级经验	熟练度加成|n|属性类型：加成值
id	shoot_type	lv	shoot_exp	exp	proficiency
220101	2201	1	2601	8	1604:101
220102	2201	2	2601	16	1604:102
220103	2201	3	2601	32	1604:103
220104	2201	4	2601	64	1604:104
220105	2201	5	2601	128	1604:105
220106	2201	6	2601	256	1604:106
220107	2201	7	2601	512	1604:107
220108	2201	8	2601	1024	1604:108
220109	2201	9	2601	2048	1604:109
220110	2201	10	2601	4096	1604:110
220111	2201	11	2601	8192	1604:111
220112	2201	12	2601	16384	1604:112
220113	2201	13	2601	32768	1604:113
220114	2201	14	2601	65536	1604:114
220115	2201	15	2601	131072	1604:115
220116	2201	16	2601	262144	1604:116
220117	2201	17	2601	524288	1604:117
220118	2201	18	2601	1048576	1604:118
220119	2201	19	2601	2097152	1604:119
220120	2201	20	2601	4194304	1604:120
220201	2202	1	2602	8	1602:101
220202	2202	2	2602	16	1602:102
220203	2202	3	2602	32	1602:103
220204	2202	4	2602	64	1602:104
220205	2202	5	2602	128	1602:105
220206	2202	6	2602	256	1602:106
220207	2202	7	2602	512	1602:107
220208	2202	8	2602	1024	1602:108
220209	2202	9	2602	2048	1602:109
220210	2202	10	2602	4096	1602:110
220211	2202	11	2602	8192	1602:111
220212	2202	12	2602	16384	1602:112
220213	2202	13	2602	32768	1602:113
220214	2202	14	2602	65536	1602:114
220215	2202	15	2602	131072	1602:115
220216	2202	16	2602	262144	1602:116
220217	2202	17	2602	524288	1602:117
220218	2202	18	2602	1048576	1602:118
220219	2202	19	2602	2097152	1602:119
220220	2202	20	2602	4194304	1602:120
220301	2203	1	2603	8	1605:101
220302	2203	2	2603	16	1605:102
220303	2203	3	2603	32	1605:103
220304	2203	4	2603	64	1605:104
220305	2203	5	2603	128	1605:105
220306	2203	6	2603	256	1605:106
220307	2203	7	2603	512	1605:107
220308	2203	8	2603	1024	1605:108
220309	2203	9	2603	2048	1605:109
220310	2203	10	2603	4096	1605:110
220311	2203	11	2603	8192	1605:111
220312	2203	12	2603	16384	1605:112
220313	2203	13	2603	32768	1605:113
220314	2203	14	2603	65536	1605:114
220315	2203	15	2603	131072	1605:115
220316	2203	16	2603	262144	1605:116
220317	2203	17	2603	524288	1605:117
220318	2203	18	2603	1048576	1605:118
220319	2203	19	2603	2097152	1605:119
220320	2203	20	2603	4194304	1605:120
220401	2204	1	2604	8	1601:101
220402	2204	2	2604	16	1601:102
220403	2204	3	2604	32	1601:103
220404	2204	4	2604	64	1601:104
220405	2204	5	2604	128	1601:105
220406	2204	6	2604	256	1601:106
220407	2204	7	2604	512	1601:107
220408	2204	8	2604	1024	1601:108
220409	2204	9	2604	2048	1601:109
220410	2204	10	2604	4096	1601:110
220411	2204	11	2604	8192	1601:111
220412	2204	12	2604	16384	1601:112
220413	2204	13	2604	32768	1601:113
220414	2204	14	2604	65536	1601:114
220415	2204	15	2604	131072	1601:115
220416	2204	16	2604	262144	1601:116
220417	2204	17	2604	524288	1601:117
220418	2204	18	2604	1048576	1601:118
220419	2204	19	2604	2097152	1601:119
220420	2204	20	2604	4194304	1601:120
220501	2205	1	2605	8	1601:101
220502	2205	2	2605	16	1601:102
220503	2205	3	2605	32	1601:103
220504	2205	4	2605	64	1601:104
220505	2205	5	2605	128	1601:105
220506	2205	6	2605	256	1601:106
220507	2205	7	2605	512	1601:107
220508	2205	8	2605	1024	1601:108
220509	2205	9	2605	2048	1601:109
220510	2205	10	2605	4096	1601:110
220511	2205	11	2605	8192	1601:111
220512	2205	12	2605	16384	1601:112
220513	2205	13	2605	32768	1601:113
220514	2205	14	2605	65536	1601:114
220515	2205	15	2605	131072	1601:115
220516	2205	16	2605	262144	1601:116
220517	2205	17	2605	524288	1601:117
220518	2205	18	2605	1048576	1601:118
220519	2205	19	2605	2097152	1601:119
220520	2205	20	2605	4194304	1601:120
220601	2206	1	2606	8	1603:101
220602	2206	2	2606	16	1603:102
220603	2206	3	2606	32	1603:103
220604	2206	4	2606	64	1603:104
220605	2206	5	2606	128	1603:105
220606	2206	6	2606	256	1603:106
220607	2206	7	2606	512	1603:107
220608	2206	8	2606	1024	1603:108
220609	2206	9	2606	2048	1603:109
220610	2206	10	2606	4096	1603:110
220611	2206	11	2606	8192	1603:111
220612	2206	12	2606	16384	1603:112
220613	2206	13	2606	32768	1603:113
220614	2206	14	2606	65536	1603:114
220615	2206	15	2606	131072	1603:115
220616	2206	16	2606	262144	1603:116
220617	2206	17	2606	524288	1603:117
220618	2206	18	2606	1048576	1603:118
220619	2206	19	2606	2097152	1603:119
220620	2206	20	2606	4194304	1603:120
220701	2207	1	2607	8	1602:101
220702	2207	2	2607	16	1602:102
220703	2207	3	2607	32	1602:103
220704	2207	4	2607	64	1602:104
220705	2207	5	2607	128	1602:105
220706	2207	6	2607	256	1602:106
220707	2207	7	2607	512	1602:107
220708	2207	8	2607	1024	1602:108
220709	2207	9	2607	2048	1602:109
220710	2207	10	2607	4096	1602:110
220711	2207	11	2607	8192	1602:111
220712	2207	12	2607	16384	1602:112
220713	2207	13	2607	32768	1602:113
220714	2207	14	2607	65536	1602:114
220715	2207	15	2607	131072	1602:115
220716	2207	16	2607	262144	1602:116
220717	2207	17	2607	524288	1602:117
220718	2207	18	2607	1048576	1602:118
220719	2207	19	2607	2097152	1602:119
220720	2207	20	2607	4194304	1602:120
220801	2208	1	2608	8	1603:101
220802	2208	2	2608	16	1603:102
220803	2208	3	2608	32	1603:103
220804	2208	4	2608	64	1603:104
220805	2208	5	2608	128	1603:105
220806	2208	6	2608	256	1603:106
220807	2208	7	2608	512	1603:107
220808	2208	8	2608	1024	1603:108
220809	2208	9	2608	2048	1603:109
220810	2208	10	2608	4096	1603:110
220811	2208	11	2608	8192	1603:111
220812	2208	12	2608	16384	1603:112
220813	2208	13	2608	32768	1603:113
220814	2208	14	2608	65536	1603:114
220815	2208	15	2608	131072	1603:115
220816	2208	16	2608	262144	1603:116
220817	2208	17	2608	524288	1603:117
220818	2208	18	2608	1048576	1603:118
220819	2208	19	2608	2097152	1603:119
220820	2208	20	2608	4194304	1603:120
