int	int	string	string	int[]	string	string	int	string
ID|n|艺人ID+培养类型	培养类型	培养名称	培养名称	提升属性类型	界面名称	界面名称	播放动作	备注
id	train_type	en_name	cn_name	property	en_scene_name	cn_scene_name	action	tips
100101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
100102	2		主角的基本素养	1602;1603;1605		训练室	1017	
100103	3		演员补完计划	1601;1603;1605		训练室	1018	
100104	4		巨星之路	1601;1602;1605		训练室	1019	
100201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
100202	2		主角的基本素养	1602;1603;1605		训练室	1017	
100203	3		演员补完计划	1601;1603;1605		训练室	1018	
100204	4		巨星之路	1601;1602;1605		训练室	1019	
100301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
100302	2		主角的基本素养	1602;1603;1605		训练室	1017	
100303	3		演员补完计划	1601;1603;1605		训练室	1018	
100304	4		巨星之路	1601;1602;1605		训练室	1019	
100401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
100402	2		主角的基本素养	1602;1603;1604		训练室	1017	
100403	3		演员补完计划	1601;1603;1604		训练室	1018	
100404	4		巨星之路	1601;1602;1604		训练室	1019	
100501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
100502	2		主角的基本素养	1602;1603;1604		训练室	1017	
100503	3		演员补完计划	1601;1603;1604		训练室	1018	
100504	4		巨星之路	1601;1602;1604		训练室	1019	
100601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
100602	2		主角的基本素养	1602;1603;1605		训练室	1017	
100603	3		演员补完计划	1601;1603;1605		训练室	1018	
100604	4		巨星之路	1601;1602;1605		训练室	1019	
200101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200102	2		主角的基本素养	1602;1603;1604		训练室	1017	
200103	3		演员补完计划	1601;1603;1604		训练室	1018	
200104	4		巨星之路	1601;1602;1604		训练室	1019	
200201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200202	2		主角的基本素养	1602;1603;1605		训练室	1017	
200203	3		演员补完计划	1601;1603;1605		训练室	1018	
200204	4		巨星之路	1601;1602;1605		训练室	1019	
200301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200302	2		主角的基本素养	1602;1603;1605		训练室	1017	
200303	3		演员补完计划	1601;1603;1605		训练室	1018	
200304	4		巨星之路	1601;1602;1605		训练室	1019	
200401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200402	2		主角的基本素养	1602;1603;1605		训练室	1017	
200403	3		演员补完计划	1601;1603;1605		训练室	1018	
200404	4		巨星之路	1601;1602;1605		训练室	1019	
200501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200502	2		主角的基本素养	1602;1603;1605		训练室	1017	
200503	3		演员补完计划	1601;1603;1605		训练室	1018	
200504	4		巨星之路	1601;1602;1605		训练室	1019	
200601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200602	2		主角的基本素养	1602;1603;1604		训练室	1017	
200603	3		演员补完计划	1601;1603;1604		训练室	1018	
200604	4		巨星之路	1601;1602;1604		训练室	1019	
200701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200702	2		主角的基本素养	1602;1603;1604		训练室	1017	
200703	3		演员补完计划	1601;1603;1604		训练室	1018	
200704	4		巨星之路	1601;1602;1604		训练室	1019	
200801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200802	2		主角的基本素养	1602;1603;1604		训练室	1017	
200803	3		演员补完计划	1601;1603;1604		训练室	1018	
200804	4		巨星之路	1601;1602;1604		训练室	1019	
200901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
200902	2		主角的基本素养	1602;1603;1604		训练室	1017	
200903	3		演员补完计划	1601;1603;1604		训练室	1018	
200904	4		巨星之路	1601;1602;1604		训练室	1019	
201001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
201002	2		主角的基本素养	1602;1603;1605		训练室	1017	
201003	3		演员补完计划	1601;1603;1605		训练室	1018	
201004	4		巨星之路	1601;1602;1605		训练室	1019	
201101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
201102	2		主角的基本素养	1602;1603;1605		训练室	1017	
201103	3		演员补完计划	1601;1603;1605		训练室	1018	
201104	4		巨星之路	1601;1602;1605		训练室	1019	
201201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
201202	2		主角的基本素养	1602;1603;1605		训练室	1017	
201203	3		演员补完计划	1601;1603;1605		训练室	1018	
201204	4		巨星之路	1601;1602;1605		训练室	1019	
