int	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	DTItemNum[]	DTItemNum
等级	1星副属性区间	1星主属性区间	2星副属性区间	2星主属性区间	3星副属性区间	3星主属性区间	4星副属性区间	4星主属性区间	5星副属性区间	5星主属性区间	6星副属性区间	6星主属性区间	消耗	钻石培养消耗
id	star1_vice	star1_main	star2_vice	star2_main	star3_vice	star3_main	star4_vice	star4_main	star5_vice	star5_main	star6_vice	star6_main	cost	diamonds_cost
1	1:1	1:1	1:1	1:2	1:1	1:2	1:1	1:2	1:2	1:3	1:2	2:4	2:1300;5004:10	1:10
2	1:1	1:1	1:1	1:2	1:1	1:2	1:1	1:2	1:2	1:3	1:2	2:4	2:2550;5004:10	1:10
3	1:1	1:1	1:1	1:2	1:1	1:2	1:1	1:2	1:2	1:3	1:2	2:4	2:3800;5004:10	1:10
4	1:1	1:1	1:1	1:2	1:1	1:2	1:1	1:2	1:2	1:3	1:2	2:4	2:5050;5004:10	1:10
5	1:1	1:1	1:1	1:2	1:1	1:2	1:1	1:2	1:2	1:3	1:2	2:4	2:6350;5004:10	1:10
6	1:2	1:3	1:2	2:4	1:2	2:4	1:3	2:6	1:4	3:7	1:4	3:9	2:7600;5004:10	1:10
7	1:2	1:3	1:2	2:4	1:2	2:4	1:3	2:6	1:4	3:7	1:4	3:9	2:8850;5004:10	1:10
8	1:2	1:3	1:2	2:4	1:2	2:4	1:3	2:6	1:4	3:7	1:4	3:9	2:10100;5004:10	1:10
9	1:2	1:3	1:2	2:4	1:2	2:4	1:3	2:6	1:4	3:7	1:4	3:9	2:11400;5004:10	1:10
10	1:2	1:3	1:2	2:4	1:2	2:4	1:3	2:6	1:4	3:7	1:4	3:9	2:12650;5004:10	1:10
11	1:3	2:5	1:3	2:6	1:4	3:7	2:5	3:9	2:6	4:11	2:7	5:14	2:13900;5004:21	1:10
12	1:3	2:5	1:3	2:6	1:4	3:7	2:5	3:9	2:6	4:11	2:7	5:14	2:15150;5004:21	1:10
13	1:3	2:5	1:3	2:6	1:4	3:7	2:5	3:9	2:6	4:11	2:7	5:14	2:16450;5004:21	1:10
14	1:3	2:5	1:3	2:6	1:4	3:7	2:5	3:9	2:6	4:11	2:7	5:14	2:17700;5004:21	1:10
15	1:3	2:5	1:3	2:6	1:4	3:7	2:5	3:9	2:6	4:11	2:7	5:14	2:18950;5004:21	1:10
16	1:3	2:6	1:4	3:8	2:5	3:9	2:6	3:12	2:8	6:16	3:9	7:19	2:20200;5004:21	1:10
17	1:3	2:6	1:4	3:8	2:5	3:9	2:6	3:12	2:8	6:16	3:9	7:19	2:21500;5004:21	1:10
18	1:3	2:6	1:4	3:8	2:5	3:9	2:6	3:12	2:8	6:16	3:9	7:19	2:22750;5004:21	1:10
19	1:3	2:6	1:4	3:8	2:5	3:9	2:6	3:12	2:8	6:16	3:9	7:19	2:24000;5004:21	1:10
20	1:3	2:6	1:4	3:8	2:5	3:9	2:6	3:12	2:8	6:16	3:9	7:19	2:25250;5004:21	1:10
21	1:4	3:8	2:5	4:10	2:6	4:12	3:8	4:16	3:10	7:20	3:12	8:24	2:26550;5004:33	1:20
22	1:4	3:8	2:5	4:10	2:6	4:12	3:8	4:16	3:10	7:20	3:12	8:24	2:27800;5004:33	1:20
23	1:4	3:8	2:5	4:10	2:6	4:12	3:8	4:16	3:10	7:20	3:12	8:24	2:29050;5004:33	1:20
24	1:4	3:8	2:5	4:10	2:6	4:12	3:8	4:16	3:10	7:20	3:12	8:24	2:30300;5004:33	1:20
25	1:4	3:8	2:5	4:10	2:6	4:12	3:8	4:16	3:10	7:20	3:12	8:24	2:31550;5004:33	1:20
26	2:5	4:10	2:6	4:12	2:7	5:14	4:10	5:19	3:12	8:24	4:14	10:29	2:32850;5004:33	1:20
27	2:5	4:10	2:6	4:12	2:7	5:14	4:10	5:19	3:12	8:24	4:14	10:29	2:34100;5004:33	1:20
28	2:5	4:10	2:6	4:12	2:7	5:14	4:10	5:19	3:12	8:24	4:14	10:29	2:35350;5004:33	1:20
29	2:5	4:10	2:6	4:12	2:7	5:14	4:10	5:19	3:12	8:24	4:14	10:29	2:36600;5004:33	1:20
30	2:5	4:10	2:6	4:12	2:7	5:14	4:10	5:19	3:12	8:24	4:14	10:29	2:37900;5004:33	1:20
31	2:6	4:11	2:7	5:14	3:9	6:17	4:11	6:22	4:14	10:28	5:17	12:34	2:113535;5004:46	1:20
32	2:6	4:11	2:7	5:14	3:9	6:17	4:11	6:22	4:14	10:28	5:17	12:34	2:117160;5004:46	1:20
33	2:6	4:11	2:7	5:14	3:9	6:17	4:11	6:22	4:14	10:28	5:17	12:34	2:120785;5004:46	1:20
34	2:6	4:11	2:7	5:14	3:9	6:17	4:11	6:22	4:14	10:28	5:17	12:34	2:124555;5004:46	1:20
35	2:6	4:11	2:7	5:14	3:9	6:17	4:11	6:22	4:14	10:28	5:17	12:34	2:128180;5004:46	1:20
36	2:7	5:13	2:8	6:16	3:10	7:19	5:13	7:26	4:16	11:32	5:19	13:39	2:131805;5004:46	1:20
37	2:7	5:13	2:8	6:16	3:10	7:19	5:13	7:26	4:16	11:32	5:19	13:39	2:135430;5004:46	1:20
38	2:7	5:13	2:8	6:16	3:10	7:19	5:13	7:26	4:16	11:32	5:19	13:39	2:139200;5004:46	1:20
39	2:7	5:13	2:8	6:16	3:10	7:19	5:13	7:26	4:16	11:32	5:19	13:39	2:142825;5004:46	1:20
40	2:7	5:13	2:8	6:16	3:10	7:19	5:13	7:26	4:16	11:32	5:19	13:39	2:146450;5004:46	1:20
41	2:7	5:15	3:9	6:18	3:11	8:22	5:15	8:29	5:18	12:36	6:22	15:44	2:150075;5004:60	1:30
42	2:7	5:15	3:9	6:18	3:11	8:22	5:15	8:29	5:18	12:36	6:22	15:44	2:153845;5004:60	1:30
43	2:7	5:15	3:9	6:18	3:11	8:22	5:15	8:29	5:18	12:36	6:22	15:44	2:157470;5004:60	1:30
44	2:7	5:15	3:9	6:18	3:11	8:22	5:15	8:29	5:18	12:36	6:22	15:44	2:161095;5004:60	1:30
45	2:7	5:15	3:9	6:18	3:11	8:22	5:15	8:29	5:18	12:36	6:22	15:44	2:164720;5004:60	1:30
46	2:8	6:16	3:10	7:20	3:12	8:24	6:16	8:32	5:20	14:41	6:24	17:49	2:168490;5004:60	1:30
47	2:8	6:16	3:10	7:20	3:12	8:24	6:16	8:32	5:20	14:41	6:24	17:49	2:172115;5004:60	1:30
48	2:8	6:16	3:10	7:20	3:12	8:24	6:16	8:32	5:20	14:41	6:24	17:49	2:175740;5004:60	1:30
49	2:8	6:16	3:10	7:20	3:12	8:24	6:16	8:32	5:20	14:41	6:24	17:49	2:179365;5004:60	1:30
50	2:8	6:16	3:10	7:20	3:12	8:24	6:16	8:32	5:20	14:41	6:24	17:49	2:182990;5004:60	1:30
51	3:9	6:18	3:11	8:23	4:14	9:27	6:18	9:36	6:22	15:45	7:27	18:54	2:186760;5004:75	1:30
52	3:9	6:18	3:11	8:23	4:14	9:27	6:18	9:36	6:22	15:45	7:27	18:54	2:190385;5004:75	1:30
53	3:9	6:18	3:11	8:23	4:14	9:27	6:18	9:36	6:22	15:45	7:27	18:54	2:194010;5004:75	1:30
54	3:9	6:18	3:11	8:23	4:14	9:27	6:18	9:36	6:22	15:45	7:27	18:54	2:197635;5004:75	1:30
55	3:9	6:18	3:11	8:23	4:14	9:27	6:18	9:36	6:22	15:45	7:27	18:54	2:201405;5004:75	1:30
56	3:10	7:20	3:12	9:25	4:15	10:29	7:20	10:39	6:24	17:49	8:29	20:59	2:205030;5004:75	1:30
57	3:10	7:20	3:12	9:25	4:15	10:29	7:20	10:39	6:24	17:49	8:29	20:59	2:208655;5004:75	1:30
58	3:10	7:20	3:12	9:25	4:15	10:29	7:20	10:39	6:24	17:49	8:29	20:59	2:212280;5004:75	1:30
59	3:10	7:20	3:12	9:25	4:15	10:29	7:20	10:39	6:24	17:49	8:29	20:59	2:216050;5004:75	1:30
60	3:10	7:20	3:12	9:25	4:15	10:29	7:20	10:39	6:24	17:49	8:29	20:59	2:219675;5004:75	1:30
61	3:11	7:21	4:13	9:27	4:16	11:32	7:21	11:42	7:27	18:53	8:32	22:64	2:446600;5004:91	1:40
62	3:11	7:21	4:13	9:27	4:16	11:32	7:21	11:42	7:27	18:53	8:32	22:64	2:453850;5004:91	1:40
63	3:11	7:21	4:13	9:27	4:16	11:32	7:21	11:42	7:27	18:53	8:32	22:64	2:461390;5004:91	1:40
64	3:11	7:21	4:13	9:27	4:16	11:32	7:21	11:42	7:27	18:53	8:32	22:64	2:468640;5004:91	1:40
65	3:11	7:21	4:13	9:27	4:16	11:32	7:21	11:42	7:27	18:53	8:32	22:64	2:475890;5004:91	1:40
66	3:12	8:23	4:14	10:29	5:17	12:34	8:23	12:46	8:29	19:57	9:34	23:69	2:483140;5004:91	1:40
67	3:12	8:23	4:14	10:29	5:17	12:34	8:23	12:46	8:29	19:57	9:34	23:69	2:490680;5004:91	1:40
68	3:12	8:23	4:14	10:29	5:17	12:34	8:23	12:46	8:29	19:57	9:34	23:69	2:497930;5004:91	1:40
69	3:12	8:23	4:14	10:29	5:17	12:34	8:23	12:46	8:29	19:57	9:34	23:69	2:505180;5004:91	1:40
70	3:12	8:23	4:14	10:29	5:17	12:34	8:23	12:46	8:29	19:57	9:34	23:69	2:512430;5004:91	1:40
