int	string	int	int	int[]	DTItemNum[]	DTItemNum	int[]	DTItemNum	int	int	int	int	int64	int64	int64	int64	int64	string[]	string[]	DTItemNum[]	int	int	int	int	int	int	int	int	int	int	int	int	int	DTItemNum	int	DTItemNum	int	DTItemNum	int	DTItemNum	bool	string
id	名称	图片路径	升档奖杯需求	升档解锁功能	升档奖励	每日奖励	解锁院线	剧本搜罗消耗	搜罗奖励美金	街区倍率	街区成本系数	街区档位院线加成	票房良好	票房大卖	票房超卖	票房神话	票房传奇	当前档次信息	下一档次信息	每拍摄1部电影的奖励	任务刷新时间加快秒数	城市占领金币获取提升	城市占领粉丝获取提升	聚会参与客人增加	可选择剧本数量	城市放置大使增加	财务室兑换次数增加	拥有艺人上限增加	秘书申请证书增加	拍摄续集提升	编剧购买位置增加	每日刷新剧本次数	票房目标1	目标1奖励	票房目标2	目标2奖励	票房目标3	目标3奖励	总目标	总目标奖励	新效果提示	名称
id	zh_cn_name	pic	upgrade_req	upgrade_menu	upgrade_reward	daily_reward	cinema	storysearchcost	storysearchdollar	level_multiple	level_con	theater_level_con	good	big_sell	great_sell	myth_sell	marvel_sell	zh_cn_current_msg	zh_cn_next_msg	movie_daily_reward	task_cd	city_gold	city_fans	party_guest	story_num	city_envoy_max	finance_exchange	actor_max	certificate	sequel_max	screenwriter_max	story_refresh_times	box_target1	box_target1_reward	box_target2	box_target2_reward	box_target3	box_target3_reward	box_target_all	box_target_all_reward	new_effect	zh_cn_name_tips
1001	街区1档	4001	7	0		3:6000	1001	6:200	7600	200	100	100	17653	33940	198786	248307	306838	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:4000;5005:10	0	0	0	0	3	0	0	0	0	0	0	0	1000	6:100	1000	6:100	1000	6:100	3000	1:1000	0	街区1档
1002	街区2档	4001	15	0	7071:1;5007:15;2:350000	3:16000	1002	6:205	15200	200	260	98	50697	100991	220499	366262	462529	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:11000;5005:12	0	0	0	0	3	1	0	0	0	0	0	0	1000	6:101	1000	6:101	1000	6:101	3000	1:1001	0	街区2档
1003	街区3档	4001	24	0	7071:1;5001:10;2:940000	3:43000	1003	6:210	30400	200	500	96	98774	200537	445637	747057	946880	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:30000;5005:14	1800	0	0	0	3	1	0	0	0	0	0	1	1000	6:102	1000	6:102	1000	6:102	3000	1:1002	1	街区3档
1004	街区4档	4001	34	0	7071:1;5003:5;2:1760000	3:54000	1004	6:215	60800	200	1110	94	223571	460966	1038688	1753549	2228761	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:37000;5005:16	1800	0	0	1	3	1	0	0	0	0	0	1	1000	6:103	1000	6:103	1000	6:103	3000	1:1003	1	街区4档
1005	街区5档	4001	46	0	7071:1;5007:20;2:2810000	3:87000	1005	6:220	121600	200	1700	92	350429	731838	1667593	2831038	3606118	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:59000;5005:18	1800	0	5	1	4	1	10	0	0	0	0	1	1000	6:104	1000	6:104	1000	6:104	3000	1:1004	1	街区5档
1006	街区6档	4001	60	0	7071:2;5001:15;2:4100000	3:96000	2001;3001	6:225	243200	200	2780	90	581694	1227984	2824045	4816089	6145412	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:64000;5005:20	3600	20	5	1	4	1	10	1	0	0	0	1	1000	6:105	1000	6:105	1000	6:105	3000	1:1005	1	街区6档
1007	街区7档	4001	76	0	7071:2;5003:10;2:5620000	3:134000	2002;3002	6:230	486400	200	4990	88	1055022	2247802	5209469	8917511	11395373	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:88000;5005:22	3600	20	10	2	4	1	10	1	1	0	0	1	1000	6:106	1000	6:106	1000	6:106	3000	1:1006	1	街区7档
1008	街区8档	4001	95	0	7071:2;5007:25;2:7380000	3:142000	2003;3003	6:235	729600	200	9110	86	1943002	4172758	9734466	16715993	21386656	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:92000;5005:24	5400	30	10	2	4	1	20	1	1	3	0	2	1000	6:107	1000	6:107	1000	6:107	3000	1:1007	1	街区8档
