int	string
屏蔽字的ID	内容
id	text
1000	shit
1001	fuck
1002	moron
1003	whore
1004	prostitute
1005	bastard
1006	bitch
1007	fucker
1008	gm
1009	g.m
1010	g,m
1011	g^m
1012	g~m
1013	g`m
1014	g*m
1015	g&m
1016	g1m
1017	g2m
1018	g3m
1019	g#m
1020	g%m
1021	g=m
1022	g-m
1023	g_m
1024	g\m
1025	g|m
1026	g+m
1027	g/m
1028	g>m
1029	g<m
1030	gzm
1031	gqm
1032	ghm
1033	ｇｍ
1034	ｇ.ｍ
1035	ｇ,ｍ
1036	ｇ^ｍ
1037	ｇ~ｍ
1038	ｇ\ｍ
1039	ｇ|ｍ
1040	ｇ&ｍ
1041	ｇ@ｍ
1042	ｇ#ｍ
1043	ｇ$ｍ
1044	ｇ%ｍ
1045	ｇ*ｍ
1046	ｇ(ｍ
1047	ｇ)ｍ
1048	ｇ1ｍ
1049	ｇ2ｍ
1050	ｇ3ｍ
1051	ｇ=ｍ
1052	ｇ_ｍ
1053	ｇ+ｍ
1054	ｇ<ｍ
1055	ｇ>ｍ
1056	ｇ/ｍ
1057	ｇ?ｍ
1058	ｇ4ｍ
1059	ｇ5ｍ
1060	ｇ6ｍ
1061	ｇ7ｍ
1062	ｇ8ｍ
1063	ｇ9ｍ
1064	ｇ0ｍ
1065	ｇ`ｍ
1066	ｇzｍ
1067	ｇqｍ
1068	ｇhｍ
1069	gm
1070	ｃｍ
1071	ｃ.ｍ
1072	ｃ,ｍ
1073	ｃ^ｍ
1074	ｃ~ｍ
1075	ｃ\ｍ
1076	ｃ|ｍ
1077	ｃ&ｍ
1078	ｃ@ｍ
1079	ｃ#ｍ
1080	ｃ$ｍ
1081	ｃ%ｍ
1082	ｃ*ｍ
1083	ｃ(ｍ
1084	ｃ)ｍ
1085	ｃ1ｍ
1086	ｃ2ｍ
1087	ｃ3ｍ
1088	ｃ=ｍ
1089	ｃ_ｍ
1090	ｃ+ｍ
1091	ｃ<ｍ
1092	ｃ>ｍ
1093	ｃ/ｍ
1094	ｃ?ｍ
1095	ｃ4ｍ
1096	ｃ5ｍ
1097	ｃ6ｍ
1098	ｃ7ｍ
1099	ｃ8ｍ
1100	ｃ9ｍ
1101	ｃ0ｍ
1102	ｃ`ｍ
1103	ｃzｍ
1104	ｃqｍ
1105	ｃhｍ
1106	c^m
1107	c~m
1108	c`m
1109	c*m
1110	c&m
1111	c1m
1112	c2m
1113	c3m
1114	c#m
1115	c%m
1116	c=m
1117	c-m
1118	c_m
1119	c\m
1120	c|m
1121	c+m
1122	c/m
1123	c>m
1124	c<m
1125	idiot
1126	noob
1127	fucking
1128	asshole
1129	faggot
1130	suck
1131	cunt
1132	dildo
1133	penis
1134	blow
1135	nigger
1136	nigga
1137	screw
1138	dick
1139	ass
1140	motherfucker
1141	wodgm
1142	gamemaster
1143	f-u-c-k
1144	gm-tutu
1145	gm-roger
1146	gm-ven
1147	gm-vivi
1148	gm-runa
1149	gm-sophie
1150	gm-007
1151	gm-karl
1152	gm-sino
1153	gm-sean
1154	tagalog
1155	tae
1156	kantot
1157	puki ng ina mo
1158	putang ina mo
1159	puta
1160	pokpok
1161	anak ka ng puta
1162	bakla/bading
1163	titi
1164	puke
1165	bilat sinimo
1166	tangina mo
1167	tang ina mo
1168	teana mo
1169	t@ng ina
1170	puki
1171	putanginamo
1172	pota
1173	binibrocha
1174	tamod
1175	magkantutan
1176	suso
1177	pakshet
