int	string	int	string	int	float	float	float	float	float
id	名称（内部用）	建筑等级（查看用）	效果说明	效果	效果参数1	效果参数2	效果参数3	效果参数4	效果参数5
id	tips	level	zh_cn_effect_des	effect	par1	par2	par3	par4	par5
100101	电影院	1	增加电影上映天数[color=#d6621d]0[/color]天	1	0	0	0	0	0
100201	电影院	2	增加电影上映天数[color=#d6621d]1[/color]天	1	1	0	0	0	0
100301	电影院	3	增加电影上映天数[color=#d6621d]1[/color]天	1	1	0	0	0	0
100401	电影院	4	增加电影上映天数[color=#d6621d]2[/color]天	1	2	0	0	0	0
100501	电影院	5	增加电影上映天数[color=#d6621d]2[/color]天	1	2	0	0	0	0
100601	电影院	6	增加电影上映天数[color=#d6621d]3[/color]天	1	3	0	0	0	0
100701	电影院	7	增加电影上映天数[color=#d6621d]3[/color]天	1	3	0	0	0	0
100801	电影院	8	增加电影上映天数[color=#d6621d]4[/color]天	1	4	0	0	0	0
100901	电影院	9	增加电影上映天数[color=#d6621d]4[/color]天	1	4	0	0	0	0
101001	电影院	10	增加电影上映天数[color=#d6621d]5[/color]天	1	5	0	0	0	0
101101	电影院	11	增加电影上映天数[color=#d6621d]5[/color]天	1	5	0	0	0	0
101201	电影院	12	增加电影上映天数[color=#d6621d]6[/color]天	1	6	0	0	0	0
101301	电影院	13	增加电影上映天数[color=#d6621d]6[/color]天	1	6	0	0	0	0
101401	电影院	14	增加电影上映天数[color=#d6621d]7[/color]天	1	7	0	0	0	0
101501	电影院	15	增加电影上映天数[color=#d6621d]7[/color]天	1	7	0	0	0	0
101601	电影院	16	增加电影上映天数[color=#d6621d]8[/color]天	1	8	0	0	0	0
101701	电影院	17	增加电影上映天数[color=#d6621d]8[/color]天	1	8	0	0	0	0
101801	电影院	18	增加电影上映天数[color=#d6621d]9[/color]天	1	9	0	0	0	0
101901	电影院	19	增加电影上映天数[color=#d6621d]9[/color]天	1	9	0	0	0	0
102001	电影院	20	增加电影上映天数[color=#d6621d]10[/color]天	1	10	0	0	0	0
102101	电影院	21	增加电影上映天数[color=#d6621d]10[/color]天	1	10	0	0	0	0
102201	电影院	22	增加电影上映天数[color=#d6621d]11[/color]天	1	11	0	0	0	0
102301	电影院	23	增加电影上映天数[color=#d6621d]11[/color]天	1	11	0	0	0	0
102401	电影院	24	增加电影上映天数[color=#d6621d]12[/color]天	1	12	0	0	0	0
102501	电影院	25	增加电影上映天数[color=#d6621d]12[/color]天	1	12	0	0	0	0
102601	电影院	26	增加电影上映天数[color=#d6621d]13[/color]天	1	13	0	0	0	0
102701	电影院	27	增加电影上映天数[color=#d6621d]13[/color]天	1	13	0	0	0	0
