int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
id	城市名称	3级关注度道具	3级产出数量	3级产出单位时间	7级关注度道具	7级产出数量	7级产出单位时间	10级关注度道具	10级产出数量	10级产出单位时间	15级关注度道具	15级产出数量	15级产出单位时间	20级关注度道具	20级产出数量	20级产出单位时间
id	zh_cn_name	level_out_3	level_num_3	level_chance_3	level_out_7	level_num_7	level_chance_7	level_out_10	level_num_10	level_chance_10	level_out_15	level_num_15	level_chance_15	level_out_20	level_num_20	level_chance_20
1101	华盛顿	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1102	纽约	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1103	洛杉矶	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1104	芝加哥	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1105	休斯敦	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1106	费城	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1107	底特律	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1108	波士顿	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1109	旧金山	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1110	匹兹堡	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1111	亚特兰大	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1112	檀香山	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1113	阿拉斯加	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1114	西雅图	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1115	辛辛那提	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1116	克利夫兰	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1117	圣路易斯	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1118	麦迪逊	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1119	圣保罗	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1120	菲尼克斯	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1121	塞勒姆	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1122	哥伦布	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1123	达拉斯	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1124	法兰克福	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1125	夏威夷	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
