int	string	int	int	DTItemNum[]
id	策划备注	合成id	合成需求数量	拆分ID
id	name_tips	syn_item	num_req	split_list
6101	1星潮流耳机	6201	5	0
6102	1星雕塑	6202	5	0
6103	1星瓷器	6203	5	0
6104	1星领带	6204	5	0
6105	1星手提包	6205	5	0
6106	1星运动鞋	6206	5	0
6107	1星单反相机	6207	5	0
6108	1星油画	6208	5	0
6109	1星茶具	6209	5	0
6201	2星潮流耳机	6301	5	6101:5
6202	2星雕塑	6302	5	6102:5
6203	2星瓷器	6303	5	6103:5
6204	2星领带	6304	5	6104:5
6205	2星手提包	6305	5	6105:5
6206	2星运动鞋	6306	5	6106:5
6207	2星单反相机	6307	5	6107:5
6208	2星油画	6308	5	6108:5
6209	2星茶具	6309	5	6109:5
6301	3星潮流耳机	0	0	6201:5
6302	3星雕塑	0	0	6202:5
6303	3星瓷器	0	0	6203:5
6304	3星领带	0	0	6204:5
6305	3星手提包	0	0	6205:5
6306	3星运动鞋	0	0	6206:5
6307	3星单反相机	0	0	6207:5
6308	3星油画	0	0	6208:5
6309	3星茶具	0	0	6209:5
