int	string	int	int	int[]	int[]	int[]	int[]	int[]	DTItemNum[]
id	任务	星级	类型	任务参数1	任务参数2	任务参数3	任务参数4	任务参数5	奖励物品id
id	task_name	task_star	task_type	parameter1	parameter2	parameter3	parameter4	parameter5	reward_id
101	拍摄电影	1	1	2201;2202;2203;2204;2205;2206;2207;2208	0;1	0;10	0	0	2:1600;3:800
102	会议、公务、粉丝	1	2	2;3;4	0	0	0	0	2:1600;3:800
103	完成订单	1	3	1;2	0	0	0	0	2:1600;3:800
104	生产指定周边产品	1	4	4001;4002;4003;4004;4005;4006	1;2	0	0	0	2:1600;3:800
105	生产任意周边产品	1	5	2;3;4	0	0	0	0	2:1600;3:800
106	领取城市收益	1	6	1;2	0	0	0	0	2:1600;3:800
107	艺人培养	1	7	1	0	0	0	0	2:1600;3:800
108	消费钻石	1	8	10;20	0	0	0	0	2:1600;3:800
109	星探搜索	1	9	1	0	0	0	0	2:1600;3:800
110	剧本搜罗	1	10	1	0	0	0	0	2:1600;3:800
201	拍摄电影	2	1	2201;2202;2203;2204;2205;2206;2207;2208	0;2	0;20	0	0	2:2400;3:1200
202	会议、公务、粉丝	2	2	2;3;4	0	0	0	0	2:2400;3:1200
203	完成订单	2	3	1;2	0	0	0	0	2:2400;3:1200
204	生产指定周边产品	2	4	4001;4002;4003;4004;4005;4006	1;2	0	0	0	2:2400;3:1200
205	生产任意周边产品	2	5	2;3;4	0	0	0	0	2:2400;3:1200
206	领取城市收益	2	6	1;2	0	0	0	0	2:2400;3:1200
207	艺人培养	2	7	1	0	0	0	0	2:2400;3:1200
208	消费钻石	2	8	10;20	0	0	0	0	2:2400;3:1200
209	星探搜索	2	9	1	0	0	0	0	2:2400;3:1200
210	剧本搜罗	2	10	1	0	0	0	0	2:2400;3:1200
301	拍摄电影	3	1	2201;2202;2203;2204;2205;2206;2207;2208	0;3	0;30	0	0	2:3200;3:1600
302	会议、公务、粉丝	3	2	5;6;7	0	0	0	0	2:3200;3:1600
303	完成订单	3	3	3;4	0	0	0	0	2:3200;3:1600
304	生产指定周边产品	3	4	4001;4002;4003;4004;4005;4006	1;2	0	0	0	2:3200;3:1600
305	生产任意周边产品	3	5	3;4;5	0	0	0	0	2:3200;3:1600
306	领取城市收益	3	6	2;3	0	0	0	0	2:3200;3:1600
307	艺人培养	3	7	1	0	0	0	0	2:3200;3:1600
308	消费钻石	3	8	20;30	0	0	0	0	2:3200;3:1600
309	星探搜索	3	9	1	0	0	0	0	2:3200;3:1600
310	剧本搜罗	3	10	1	0	0	0	0	2:3200;3:1600
401	拍摄电影	4	1	2201;2202;2203;2204;2205;2206;2207;2208	0	0	0;2	0;2	2:4000;3:2000
402	会议、公务、粉丝	4	2	5;6;7	0	0	0	0	2:4000;3:2000
403	完成订单	4	3	3;4	0	0	0	0	2:4000;3:2000
404	生产指定周边产品	4	4	4001;4002;4003;4004;4005;4006	2;3	0	0	0	2:4000;3:2000
405	生产任意周边产品	4	5	3;4;5	0	0	0	0	2:4000;3:2000
406	领取城市收益	4	6	2;3	0	0	0	0	2:4000;3:2000
407	艺人培养	4	7	2	0	0	0	0	2:4000;3:2000
408	消费钻石	4	8	20;30	0	0	0	0	2:4000;3:2000
409	星探搜索	4	9	1	0	0	0	0	2:4000;3:2000
410	剧本搜罗	4	10	1	0	0	0	0	2:4000;3:2000
501	拍摄电影	5	1	2201;2202;2203;2204;2205;2206;2207;2208	0	0	0;3	0;3	2:4800;3:2400
502	会议、公务、粉丝	5	2	8;9;10	0	0	0	0	2:4800;3:2400
503	完成订单	5	3	5;6	0	0	0	0	2:4800;3:2400
504	生产指定周边产品	5	4	4001;4002;4003;4004;4005;4006	2;3	0	0	0	2:4800;3:2400
505	生产任意周边产品	5	5	4;5;6	0	0	0	0	2:4800;3:2400
506	领取城市收益	5	6	3;4	0	0	0	0	2:4800;3:2400
507	艺人培养	5	7	2	0	0	0	0	2:4800;3:2400
508	消费钻石	5	8	20;30;40	0	0	0	0	2:4800;3:2400
509	星探搜索	5	9	1	0	0	0	0	2:4800;3:2400
510	剧本搜罗	5	10	1	0	0	0	0	2:4800;3:2400
601	拍摄电影	6	1	2201;2202;2203;2204;2205;2206;2207;2208	0	0	0;3	0;3	2:5600;3:2800
602	会议、公务、粉丝	6	2	8;9;10	0	0	0	0	2:5600;3:2800
603	完成订单	6	3	5;6	0	0	0	0	2:5600;3:2800
604	生产指定周边产品	6	4	4001;4002;4003;4004;4005;4006	2;3	0	0	0	2:5600;3:2800
605	生产任意周边产品	6	5	4;5;6	0	0	0	0	2:5600;3:2800
606	领取城市收益	6	6	3;4	0	0	0	0	2:5600;3:2800
607	艺人培养	6	7	2	0	0	0	0	2:5600;3:2800
608	消费钻石	6	8	20;30;40	0	0	0	0	2:5600;3:2800
609	星探搜索	6	9	1	0	0	0	0	2:5600;3:2800
610	剧本搜罗	6	10	1	0	0	0	0	2:5600;3:2800
