int	int	string	string	int	int	int	DTItemNum[]	int	int
国家ID	国家编号	国家名称	国家名称-英文	城市数量	图标	国旗	通关国家奖励	前置国家0表示没有前置国家	下一个国家
id	number	zh_cn_name	en_name	city_num	icon	flag	reward	pre_id	next_country
101	1	美国	USA	40	6101	6101	1:500;5004:100;8:500	0	102
102	2	加拿大	Canada	40	6102	6102	1:500;5004:200;8:500	101	103
103	3	澳大利亚	Australia	40	6103	6103	1:500;5004:300;8:500	102	104
104	4	英国	England	40	6104	6104	1:500;5004:400;8:500	103	105
105	5	法国	France	40	6105	6105	1:500;5004:500;8:500	104	106
106	6	意大利	Italy	40	6106	6106	1:500;5004:600;8:500	105	107
107	7	德国	Germany	40	6107	6107	1:500;5004:700;8:500	106	108
108	8	日本	Japan	40	6108	6108	1:500;5004:800;8:500	107	0
