int	int	int	DTItemNum	string
id	签到周期	天数	奖励内容	说明
id	cycle	day	reward	info
1001	1	1	1:150	第1轮第1日签到奖励
1002	1	2	7:50	第1轮第2日签到奖励
1003	1	3	1:150	第1轮第3日签到奖励
1004	1	4	9002:50	第1轮第4日签到奖励
1005	1	5	1:150	第1轮第5日签到奖励
1006	1	6	1:200	第1轮第6日签到奖励
1007	1	7	7069:5	第1轮第7日签到奖励
1008	1	8	1:150	第1轮第8日签到奖励
1009	1	9	9001:50	第1轮第9日签到奖励
1010	1	10	1:150	第1轮第10日签到奖励
1011	1	11	1:150	第1轮第11日签到奖励
1012	1	12	7069:5	第1轮第12日签到奖励
1013	1	13	1:200	第1轮第13日签到奖励
1014	1	14	9003:50	第1轮第14日签到奖励
1015	1	15	1:150	第1轮第15日签到奖励
1016	1	16	1:150	第1轮第16日签到奖励
1017	1	17	7069:10	第1轮第17日签到奖励
1018	1	18	1:150	第1轮第18日签到奖励
1019	1	19	8002:50	第1轮第19日签到奖励
1020	1	20	1:200	第1轮第20日签到奖励
1021	1	21	1:150	第1轮第21日签到奖励
1022	1	22	7069:10	第1轮第22日签到奖励
1023	1	23	1:150	第1轮第23日签到奖励
1024	1	24	1:150	第1轮第24日签到奖励
1025	1	25	7069:10	第1轮第25日签到奖励
1026	1	26	1:200	第1轮第26日签到奖励
1027	1	27	1:150	第1轮第27日签到奖励
1028	1	28	1:150	第1轮第28日签到奖励
1029	1	29	1:200	第1轮第29日签到奖励
1030	1	30	6:5000	第1轮第30日签到奖励
2001	2	1	6:100	第2轮第1日签到奖励
2002	2	2	7:10	第2轮第2日签到奖励
2003	2	3	6:150	第2轮第3日签到奖励
2004	2	4	1:50	第2轮第4日签到奖励
2005	2	5	7075:10	第2轮第5日签到奖励
2006	2	6	6:200	第2轮第6日签到奖励
2007	2	7	7:15	第2轮第7日签到奖励
2008	2	8	6:250	第2轮第8日签到奖励
2009	2	9	1:80	第2轮第9日签到奖励
2010	2	10	8002:20	第2轮第10日签到奖励
2011	2	11	6:300	第2轮第11日签到奖励
2012	2	12	7:20	第2轮第12日签到奖励
2013	2	13	6:350	第2轮第13日签到奖励
2014	2	14	1:150	第2轮第14日签到奖励
2015	2	15	7075:10	第2轮第15日签到奖励
2016	2	16	6:400	第2轮第16日签到奖励
2017	2	17	7:25	第2轮第17日签到奖励
2018	2	18	6:450	第2轮第18日签到奖励
2019	2	19	1:200	第2轮第19日签到奖励
2020	2	20	7075:10	第2轮第20日签到奖励
2021	2	21	6:500	第2轮第21日签到奖励
2022	2	22	7:30	第2轮第22日签到奖励
2023	2	23	6:550	第2轮第23日签到奖励
2024	2	24	1:200	第2轮第24日签到奖励
2025	2	25	7075:10	第2轮第25日签到奖励
2026	2	26	6:600	第2轮第26日签到奖励
2027	2	27	7:30	第2轮第27日签到奖励
2028	2	28	6:800	第2轮第28日签到奖励
2029	2	29	1:200	第2轮第29日签到奖励
2030	2	30	7075:10	第2轮第30日签到奖励
3001	3	1	1:50	第3轮第1日签到奖励
3002	3	2	7:10	第3轮第2日签到奖励
3003	3	3	6:500	第3轮第3日签到奖励
3004	3	4	8002:20	第3轮第4日签到奖励
3005	3	5	1:100	第3轮第5日签到奖励
3006	3	6	1:50	第3轮第6日签到奖励
3007	3	7	7:15	第3轮第7日签到奖励
3008	3	8	5004:30	第3轮第8日签到奖励
3009	3	9	8905:10	第3轮第9日签到奖励
3010	3	10	1:100	第3轮第10日签到奖励
3011	3	11	1:50	第3轮第11日签到奖励
3012	3	12	7:20	第3轮第12日签到奖励
3013	3	13	6:500	第3轮第13日签到奖励
3014	3	14	8905:10	第3轮第14日签到奖励
3015	3	15	1:100	第3轮第15日签到奖励
3016	3	16	1:50	第3轮第16日签到奖励
3017	3	17	7:25	第3轮第17日签到奖励
3018	3	18	5004:30	第3轮第18日签到奖励
3019	3	19	8002:20	第3轮第19日签到奖励
3020	3	20	1:100	第3轮第20日签到奖励
3021	3	21	1:50	第3轮第21日签到奖励
3022	3	22	7:30	第3轮第22日签到奖励
3023	3	23	6:500	第3轮第23日签到奖励
3024	3	24	8905:15	第3轮第24日签到奖励
3025	3	25	1:100	第3轮第25日签到奖励
3026	3	26	1:50	第3轮第26日签到奖励
3027	3	27	7:35	第3轮第27日签到奖励
3028	3	28	6:500	第3轮第28日签到奖励
3029	3	29	8905:15	第3轮第29日签到奖励
3030	3	30	1:100	第3轮第30日签到奖励
4001	4	1	1:50	第4轮第1日签到奖励
4002	4	2	7:10	第4轮第2日签到奖励
4003	4	3	6:500	第4轮第3日签到奖励
4004	4	4	8002:20	第4轮第4日签到奖励
4005	4	5	1:100	第4轮第5日签到奖励
4006	4	6	1:50	第4轮第6日签到奖励
4007	4	7	7:15	第4轮第7日签到奖励
4008	4	8	5004:30	第4轮第8日签到奖励
4009	4	9	8905:10	第4轮第9日签到奖励
4010	4	10	1:100	第4轮第10日签到奖励
4011	4	11	1:50	第4轮第11日签到奖励
4012	4	12	7:20	第4轮第12日签到奖励
4013	4	13	6:500	第4轮第13日签到奖励
4014	4	14	8905:10	第4轮第14日签到奖励
4015	4	15	1:100	第4轮第15日签到奖励
4016	4	16	1:50	第4轮第16日签到奖励
4017	4	17	7:25	第4轮第17日签到奖励
4018	4	18	5004:30	第4轮第18日签到奖励
4019	4	19	8002:20	第4轮第19日签到奖励
4020	4	20	1:100	第4轮第20日签到奖励
4021	4	21	1:50	第4轮第21日签到奖励
4022	4	22	7:30	第4轮第22日签到奖励
4023	4	23	6:500	第4轮第23日签到奖励
4024	4	24	8905:15	第4轮第24日签到奖励
4025	4	25	1:100	第4轮第25日签到奖励
4026	4	26	1:50	第4轮第26日签到奖励
4027	4	27	7:35	第4轮第27日签到奖励
4028	4	28	6:500	第4轮第28日签到奖励
