int	int	int	DTPerformActoin[]	DTPerformSpeak[]	string
ID	模型类型|n|0助理|n|1NPC|n|2艺人|n|3观众	1时间|n|2移动到固定点X轴	动作|n|动作ID：持续时间(毫秒)：权重	说话气泡|n|文字ID：持续时间(毫秒)：权重|n|文字ID为0表示不说话	备注
id	model	type	action	speak	tips
1001	2	1	1004:800:10	0:800:10	短暂走路
1002	2	1	1015:4000:10	1011:4000:10;1012:4000:10;1013:4000:10;0:4000:10	跌倒
1003	2	1	1016:3000:10	1014:3000:10;1015:3000:10;1016:3000:10;0:3000:10	唱歌
1004	2	1	1019:4000:10	1017:4000:10;1018:4000:10;1019:4000:10;0:4000:10	跳舞
1005	2	1	1018:3000:10	1020:3000:10;1021:3000:10;1022:3000:10;1023:3000:10;0:3000:10	朗诵
1006	2	1	1006:3000:10	1024:3000:10;1025:3000:10;1026:3000:10;0:3000:10	欢呼
1007	2	1	1001:3000:10	1001:3000:10;1002:3000:10;1003:3000:10;1004:3000:10;1005:3000:10;1006:3000:10;0:3000:10	pose
1008	2	1	1002:3000:10;1002:4000:10;1002:5000:10;1002:6000:10;1002:7000:10;1002:8000:10	1007:3000:10;0:3000:50;1008:3000:10;0:3000:50;1009:3000:10;0:3000:50;1010:3000:10;0:3000:50	站立不动
1009	2	1	1004:1000:5;1004:1500:5;1004:2000:5;1004:2500:5;1004:3000:5	1007:3000:10;0:3000:50;1008:3000:10;0:3000:50;1009:3000:10;0:3000:50;1010:3000:10;0:3000:50	移动
1010	2	1	1002:2000:10	0:2000:10	不动后摇
3101	1	1	1013:2000:100	3101:2000:100	NPC探班
3102	2	1	0:2000:100	3102:2000:100	NPC探班
3103	1	1	1013:2000:100	3103:2000:100	NPC探班
3104	2	1	1001:2000:100	3104:2000:100	NPC探班
3105	1	1	1013:2000:100	3105:2000:100	NPC探班
3106	2	1	1001:2000:100	3106:2000:100	NPC探班
3201	1	1	1013:2000:100	3201:2000:100	NPC探班
3202	2	1	0:2000:100	3202:2000:100	NPC探班
3203	1	1	1013:2000:100	3203:2000:100	NPC探班
3204	2	1	1001:2000:100	3204:2000:100	NPC探班
3205	1	1	1013:2000:100	3205:2000:100	NPC探班
3206	2	1	1001:2000:100	3206:2000:100	NPC探班
3301	1	1	1013:2000:100	3301:2000:100	NPC探班
3302	2	1	0:2000:100	3302:2000:100	NPC探班
3303	1	1	1013:2000:100	3303:2000:100	NPC探班
3304	2	1	1001:2000:100	3304:2000:100	NPC探班
3305	1	1	1013:2000:100	3305:2000:100	NPC探班
3306	2	1	1001:2000:100	3306:2000:100	NPC探班
3401	1	1	1013:2000:100	3401:2000:100	NPC探班
3402	2	1	0:2000:100	3402:2000:100	NPC探班
3403	1	1	1013:2000:100	3403:2000:100	NPC探班
3404	2	1	1001:2000:100	3404:2000:100	NPC探班
3405	1	1	1013:2000:100	3405:2000:100	NPC探班
3406	2	1	1001:2000:100	3406:2000:100	NPC探班
3501	1	1	1013:2000:100	3501:2000:100	NPC探班
3502	2	1	0:2000:100	3502:2000:100	NPC探班
3503	1	1	1013:2000:100	3503:2000:100	NPC探班
3504	2	1	1001:2000:100	3504:2000:100	NPC探班
3505	1	1	1013:2000:100	3505:2000:100	NPC探班
3506	2	1	1001:2000:100	3506:2000:100	NPC探班
3601	1	1	1013:2000:100	3601:2000:100	NPC探班
3602	2	1	0:2000:100	3602:2000:100	NPC探班
3603	1	1	1013:2000:100	3603:2000:100	NPC探班
3604	2	1	1001:2000:100	3604:2000:100	NPC探班
3605	1	1	1013:2000:100	3605:2000:100	NPC探班
3606	2	1	1001:2000:100	3606:2000:100	NPC探班
3701	1	1	1013:2000:100	3701:2000:100	NPC探班
3702	2	1	0:2000:100	3702:2000:100	NPC探班
3703	1	1	1013:2000:100	3703:2000:100	NPC探班
3704	2	1	1001:2000:100	3704:2000:100	NPC探班
3705	1	1	1013:2000:100	3705:2000:100	NPC探班
3706	2	1	1001:2000:100	3706:2000:100	NPC探班
3801	1	1	1013:2000:100	3801:2000:100	NPC探班
3802	2	1	0:2000:100	3802:2000:100	NPC探班
3803	1	1	1013:2000:100	3803:2000:100	NPC探班
3804	2	1	1001:2000:100	3804:2000:100	NPC探班
3805	1	1	1013:2000:100	3805:2000:100	NPC探班
