int	int	string	int	string	int	int[]	int	DTItemNum[]	int	int[]	int[]	int
id	盈利等级	盈利名称	盈利图标	名称	订单数量	订单品质	期待值	固定掉落	掉落种类数量	掉落道具	道具数量	粉丝基数
id	gain_level	zh_cn_gain_name	gain_pic	zh_cn_name	order_num	oreder_qua	expect	fixed_drop	drop_num	drop_item	item_num	base_fans
10011	1	一般	6023	街区1档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006	2;4	500
10012	2	良好	6024	街区1档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006	3;6	1000
10013	3	大卖	6025	街区1档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006	6;12	7500
10014	4	超级大卖	6026	街区1档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006	7;14	9000
10015	5	传奇	6027	街区1档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006	8;16	10500
10016	6	神话	6028	街区1档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006	9;18	12000
10021	1	一般	6023	街区2档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012	4;6	1000
10022	2	良好	6024	街区2档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012	6;9	2000
10023	3	大卖	6025	街区2档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012	12;18	15000
10024	4	超级大卖	6026	街区2档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012	14;21	18000
10025	5	传奇	6027	街区2档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012	16;24	21000
10026	6	神话	6028	街区2档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012	18;27	24000
