int	string	int	int	float
id	备注	升级消耗道具类型	升级消耗道具数量	收益加成
id	tips	cost_id	cost_num	increase
1	关注度1级	5005	5	0.5
2	关注度2级	5005	10	1
3	关注度3级	5005	20	1.5
4	关注度4级	5005	35	2
5	关注度5级	5005	60	2.5
6	关注度6级	5005	95	3
7	关注度7级	5005	145	3.5
8	关注度8级	5005	210	4
9	关注度9级	5005	300	4.5
10	关注度10级	5005	400	5
11	关注度11级	5005	520	5.5
12	关注度12级	5005	665	6
13	关注度13级	5005	835	6.5
14	关注度14级	5005	1030	7
15	关注度15级	5005	1255	7.5
16	关注度16级	5005	1510	8
17	关注度17级	5005	1795	8.5
18	关注度18级	5005	2120	9
19	关注度19级	5005	2500	9.5
20	关注度20级	5005	0	10
