int	string	string	string
提示ID	key	所属模块	提示内容-中文
id	key	module	zh_cn_notice
-1	ERROR_OP	服务器引擎	重复操作
0	ERROR_OK	服务器引擎	没问题
1	ERROR_UNKNOWN	服务器引擎	未知错误
2	ERROR_CONFIG_DATA_NO_EXIST	服务器引擎	网络出了点小问题
3	ERROR_GAMEINFO_NO_EXIST	服务器引擎	您的网络有点小状况
4	ERROR_GAME_PLAYERLV_NO_ENOUGH	服务器引擎	玩家等级不足
5	ERROR_GAME_VIP_NO_ENOUGH	服务器引擎	玩家VIP等级不足
6	ERROR_FUNCTION_NOT_OPEN	服务器引擎	功能未开启
7	ERROR_TOO_MUCH_OPT	服务器引擎	重复操作
8	ERROR_GAME_STALL_LEVEL_NO	服务器引擎	玩家街区档位不足
9	ERROR_PASSWORD	服务器引擎	密码错误
10	ERROR_NOT_REGIST	服务器引擎	账号未注册
11	ERROR_SAME_NAME	服务器引擎	账号重名
1000	ERROR_INTERNAL_ERROR	玩家数据	网络开小差了！
1001	ERROR_UNIMPLEMENTED	玩家数据	未生效
1002	ERROR_NOT_FIND_UUID	玩家数据	哦，糟糕的网络！
1003	ERROR_GAME_STATE_ERROR	玩家数据	网络连接不太好
2001	ERROR_ERROR_INVALID_STAGE_ID	任务	找不到任务
2101	ERROR_INVALID_ITEM_ID	物品	无效的物品
2102	ERROR_ITEM_CANNOT_SELL	物品	该物品无法出售
2103	ERROR_ITEM_NOT_ENOUGH	物品	物品不足
2104	ERROR_ITEM_CANNOT_COMPOUND	物品	物品不能合成
2105	ERROR_ITEM_CANNOT_COMPOUND_ACTOR	物品	物品不能合成艺人
2106	ERROR_ITEM_CANNOT_USE	物品	该物品无法使用
2201	ERROR_MALL_INVALID_GOODS_ID	邮件	找不到商品
2202	ERROR_MALL_MONEY_NOT_ENOUGH	邮件	货币不足
2203	ERROR_MALL_MAX_BUY_LIMIT	邮件	已达到购买上限
2204	ERROR_MALL_CAN_NOT_BUY_NOW	邮件	当前无法购买
3002	ERROR_NOT_OPEN_PRE_FLOOR	楼层	没有开启上一层
3003	ERROR_NOT_OPEN_CUR_FLOOR	楼层	没有开启当前层
3004	ERROR_COMPANY_LEVEL_NOT_ENOUGH	楼层	公司等级不足
3005	ERROR_NOT_OCCUPY_CITY	楼层	没有占领指定城市
3006	ERROR_INVALID_CONFIG_ID	楼层	无效的房间
3007	ERROR_ROOM_ALREADY_EXIST	楼层	房间已经存在
3008	ERROR_ROOM_NOT_EXIST	楼层	房间不存在
3009	ERROR_PRE_ROOM_NOT_OPEN	楼层	前置建筑没有开启
3010	ERROR_NOT_HAVE_THIS_ROOM_TYPE	楼层	没有这个房间类型
3011	ERROR_ROOM_ALREADY_MAX_LEVEL	楼层	房间已经达到最大等级
3012	ERROR_ACTOR_NUM_REACH_LIMIT	艺人	艺人数量达到上限
3013	ERROR_HIDE_ACTOR_NUM_REACH_LIMIT	艺人	雪藏的艺人数量达到上限
3014	ERROR_NOSE_INFO_CD_COOLING_TIME	艺人	查探CD冷却时间
3015	ERROR_NOSE_INFO_COUNT_LIMIT	艺人	查探次数限制
3016	ERROR_NOT_HAVE_THIS_ACTOR	艺人	没有这个艺人
3017	ERROR_NOT_FIND_THIS_ACTOR	艺人	没有发现这个艺人
3018	ERROR_THIS_ACTOR_ALREADY_OVERDUE	艺人	这个艺人已经过期
3020	ERROR_MAX_LEVEL_LIMIT	艺人	最大等级限制
3021	ERROR_GIVE_ASSETS_COUNT_LIMIT	艺人	赠送资产次数限制
3022	ERROR_GIVE_ASSETS_LEVEL_NOT_CONFORM	艺人	赠送资产等级不匹配
3023	ERROR_GIVE_ASSETS_ITEM_NUM_LIMIT	艺人	赠送资产数量限制
3024	ERROR_ACTOR_ALREADY_HIDE	艺人	艺人已经被雪藏
3025	ERROR_NOT_HAVE_THIS_SKILL	艺人	没有这个技能
3026	ERROR_SKILL_NOT_ACTIVATE	艺人	技能没有激活
3027	ERROR_EXP_NOT_ENOUGH	艺人	经验不足
3028	ERROR_STAMINA_NOT_ENOUGH	艺人	体力不足
3029	ERROR_TRAIN_COUNT_LIMIT	艺人	培养次数限制
3030	ERROR_NAME_NOT_LEGAL	艺人	名字不合法
4001	ERROR_RENAME_LENGTH	重命名	名字长度过长
4002	ERROR_RENAME_NUMBER	重命名	名字不能是数字
4003	ERROR_RENAME_BLANK	重命名	名字不能有空格
4004	ERROR_RENAME_COMMON	重命名	改名字新旧名字相同
4006	ERROR_RENAME_SAME	重命名	该名字已被注册
4101	ERROR_PORTRAIT_NOT_ENOUGH	头像	解锁头像扣除资源不足
4102	ERROR_PORTRAIT_LOCK	头像	头像未解锁不能更换
4103	ERROR_PORTRAIT_EXIT	头像	头像不存在
4104	ERROR_PORTRAIT_SEX_ERR	头像	头像性别不对
4105	ERROR_PORTRAIT_HAD_BUY	头像	头像已经购买
4201	ERROR_STORY_FIND_TIME_NOT	剧本	剧本搜罗次数不足
4202	ERROR_STORY_FIND_TIMES_NOT	剧本	剧本搜罗时间未到
4203	ERROR_STORY_NO_ENOUGH	剧本	剧本消耗资源不足
4204	ERROR_STORY_RANDOM_NOT	剧本	随机不到剧本
4205	ERROR_STORY_NO_FIND	剧本	找不到该剧本
4206	ERROR_STORY_STAGE_LEVEL_NO	剧本	街区等级不足
4207	ERROR_STORY_FIND_SUIT_NO	剧本	找不到剧本组
4208	ERROR_STORY_REWARD_NO	剧本	未达成条件或者已经领取
4301	ERROR_CITY_SET_PRO_NO_REQUIRE	市场	宣传代言人不满足要求
4302	ERROR_CITY_NO_FIND_CITY_CONFIG	市场	没找到该城市的资料
4303	ERROR_CITY_PRO_PROGRESS_ENOUGH	市场	该街道的宣传进度满了
4304	ERROR_CITY_PRO_PROGRESS_NO_ENOUGH	市场	该城市的宣传进度未满
