int	int	int	int[]	string
ID	建筑类型|n|1电影院|n|2摄影棚|n|3艺人教室|n|4市场部|n|5宣传部|n|6仓库|n|7销售部|n|8商务部|n|9办公室|n|10接待室|n|11会议室|n|12财务部|n|13训练室|n|14全国商务部|n|15环球商务部|n|16收藏室	同一建筑内触发权重	事件顺序	备注
id	building	weight	event	tips
1001	2	20	1001:1002:1010	跌倒
1002	2	20	1003:1010	唱歌
1003	2	20	1004:1010	跳舞
1004	2	20	1005:1010	朗诵
1005	2	20	1006:1010	欢呼
1006	2	20	1007:1010	pose
1007	2	300	1008:1010	站立不动
1008	2	80	1009:1010	移动
1009	3	20	1001:1002:1010	跌倒
1010	3	20	1003:1010	唱歌
1011	3	20	1004:1010	跳舞
1012	3	20	1005:1010	朗诵
1013	3	20	1006:1010	欢呼
1014	3	20	1007:1010	pose
1015	3	300	1008:1010	站立不动
1016	3	80	1009:1010	移动
1017	4	20	1001:1002:1010	跌倒
1018	4	20	1003:1010	唱歌
1019	4	20	1004:1010	跳舞
1020	4	20	1005:1010	朗诵
1021	4	20	1006:1010	欢呼
1022	4	20	1007:1010	pose
1023	4	300	1008:1010	站立不动
1024	4	80	1009:1010	移动
1025	5	20	1001:1002:1010	跌倒
1026	5	20	1003:1010	唱歌
1027	5	20	1004:1010	跳舞
1028	5	20	1005:1010	朗诵
1029	5	20	1006:1010	欢呼
1030	5	20	1007:1010	pose
1031	5	300	1008:1010	站立不动
1032	5	80	1009:1010	移动
1033	6	20	1001:1002:1010	跌倒
1034	6	20	1003:1010	唱歌
1035	6	20	1004:1010	跳舞
1036	6	20	1005:1010	朗诵
1037	6	20	1006:1010	欢呼
1038	6	20	1007:1010	pose
1039	6	300	1008:1010	站立不动
1040	6	80	1009:1010	移动
1041	7	20	1001:1002:1010	跌倒
1042	7	20	1003:1010	唱歌
1043	7	20	1004:1010	跳舞
1044	7	20	1005:1010	朗诵
1045	7	20	1006:1010	欢呼
1046	7	20	1007:1010	pose
1047	7	300	1008:1010	站立不动
1048	7	80	1009:1010	移动
1049	8	20	1001:1002:1010	跌倒
1050	8	20	1003:1010	唱歌
1051	8	20	1004:1010	跳舞
1052	8	20	1005:1010	朗诵
1053	8	20	1006:1010	欢呼
1054	8	20	1007:1010	pose
1055	8	300	1008:1010	站立不动
1056	8	80	1009:1010	移动
1057	9	20	1001:1002:1010	跌倒
1058	9	20	1003:1010	唱歌
1059	9	20	1004:1010	跳舞
1060	9	20	1005:1010	朗诵
1061	9	20	1006:1010	欢呼
1062	9	20	1007:1010	pose
1063	9	300	1008:1010	站立不动
1064	9	80	1009:1010	移动
1065	10	20	1001:1002:1010	跌倒
1066	10	20	1003:1010	唱歌
1067	10	20	1004:1010	跳舞
1068	10	20	1005:1010	朗诵
1069	10	20	1006:1010	欢呼
1070	10	20	1007:1010	pose
1071	10	300	1008:1010	站立不动
1072	10	80	1009:1010	移动
1073	11	20	1001:1002:1010	跌倒
1074	11	20	1003:1010	唱歌
1075	11	20	1004:1010	跳舞
1076	11	20	1005:1010	朗诵
1077	11	20	1006:1010	欢呼
1078	11	20	1007:1010	pose
1079	11	300	1008:1010	站立不动
1080	11	80	1009:1010	移动
1081	12	20	1001:1002:1010	跌倒
1082	12	20	1003:1010	唱歌
1083	12	20	1004:1010	跳舞
1084	12	20	1005:1010	朗诵
1085	12	20	1006:1010	欢呼
1086	12	20	1007:1010	pose
1087	12	300	1008:1010	站立不动
1088	12	80	1009:1010	移动
1089	14	20	1001:1002:1010	跌倒
1090	14	20	1003:1010	唱歌
1091	14	20	1004:1010	跳舞
1092	14	20	1005:1010	朗诵
1093	14	20	1006:1010	欢呼
1094	14	20	1007:1010	pose
1095	14	300	1008:1010	站立不动
1096	14	80	1009:1010	移动
1097	15	20	1001:1002:1010	跌倒
1098	15	20	1003:1010	唱歌
1099	15	20	1004:1010	跳舞
1100	15	20	1005:1010	朗诵
1101	15	20	1006:1010	欢呼
1102	15	20	1007:1010	pose
1103	15	300	1008:1010	站立不动
1104	15	80	1009:1010	移动
1105	16	20	1001:1002:1010	跌倒
1106	16	20	1003:1010	唱歌
1107	16	20	1004:1010	跳舞
1108	16	20	1005:1010	朗诵
1109	16	20	1006:1010	欢呼
1110	16	20	1007:1010	pose
1111	16	300	1008:1010	站立不动
1112	16	80	1009:1010	移动
