int	int	int	int[]	string
ID	演戏类型	演戏参数	演戏顺序|n|调用event表格的ID	备注
id	type	data	event	tips
1001	1	11	1101	一般电影上映
1002	1	12	1201	普通电影上映
1003	1	13	1301	大卖电影上映
1004	1	14	1401	超卖电影上映
1005	1	15	1501	传奇电影上映
1006	1	16	1601	神话电影上映
1007	2	21	2101	拍摄电影
1008	2	22	2201	拍摄电影结束
1009	8	81	3101	探班1粉丝开场
1010	8	82	3201	探班2粉丝开场
1011	8	83	3301	探班3粉丝开场
1012	8	84	3401	探班4粉丝开场
1013	8	85	3501	探班5粉丝开场
1014	8	86	3601	探班6粉丝开场
1015	8	87	3701	探班7粉丝开场
1016	8	88	3801	探班8粉丝开场
1017	8	89	3901	探班9粉丝开场
1018	9	91	3102	探班1艺人开场
1019	9	92	3202	探班2艺人开场
1020	9	93	3302	探班3艺人开场
1021	9	94	3402	探班4艺人开场
1022	9	95	3502	探班5艺人开场
1023	9	96	3602	探班6艺人开场
1024	9	97	3702	探班7艺人开场
1025	9	98	3802	探班8艺人开场
1026	9	99	3902	探班9艺人开场
1027	3	31	3103:3104:3105:3106	探班1对话
1028	3	32	3203:3204:3205:3206	探班2对话
1029	3	33	3303:3304:3305:3306	探班3对话
1030	3	34	3403:3404:3405:3406	探班4对话
1031	3	35	3503:3504:3505:3506	探班5对话
1032	3	36	3603:3604:3605:3606	探班6对话
1033	3	37	3703:3704:3705:3706	探班7对话
1034	3	38	3803:3804:3805:3806	探班8对话
1035	3	39	3903:3904:3905:3906	探班9对话
1036	5	51	5101:5102	会议-开场
1037	5	52	5201:5202	会议-加价50%
1038	5	53	5301:5302	会议-加价200%
1039	5	54	5401:5402	会议-加价成功
1040	5	55	5501:5502	会议-加价失败
1041	4	41	4101	艺人训练
1042	7	71	7101:7102:7103:7104	主持人上场
1043	7	72	7105:7104	艺人表演后主持人小结
1044	7	75	7106:7107:7108:7107	主持人宣布路演成功
1045	7	76	7106:7107:7109:7107	主持人宣布路演失败
1046	7	74	7110	观众待机
1047	7	77	7111	观众摇摆或者欢呼
1048	7	73	7112:7113:7114	艺人表演
6001	6	61	6001	男主持上台
6002	6	62	6002	女主持上台
6003	6	63	6003;6004;6005;6006;6007;6009;6010	颁奖前主持人讲话
6004	6	64	6008	候选者上台
6005	6	65	6011;6012;6013;6014	选取获奖者前主持人说话
6006	6	66	6015	选取获奖者
6007	6	67	6016;6017;6018	恭贺获奖者
6008	6	68	6019	获奖者上台
6009	6	69	6020	获奖者感言
6010	6	610	6021;6022	奖项无候选人时主持人讲话
6011	6	611	6023;6024	颁奖结束主持人讲话
