int	int	DTItemNum	DTItemNum[]	int[]	int	int	int	int	int	int	int	int	int	int	DTItemNum	DTItemNum	DTItemNum	int	int	int	int
等级	粉丝数	剧本奖励1：2，1代表星级，2表示数量	升级奖励	订单品质权重=白；蓝；橙；紫	订单数量	培养次数上限增加	培养次数上限	艺人上限增加	艺人上限	雪藏艺人上限增加	雪藏艺人上限	影片上映天数上限	影片上映天数	会议恢复时间	会议消耗	月卡特别礼包	至尊月卡特别礼包	商店金币换算	商店美元换算	转盘金币下限	转盘金币上限
id	fans	story	reward	order_qua	order_num	train_max	train_count	actor_max	actor_count	hide_max	hide_count	day_max	day	meeting_cd	cost	mc_special_package1	mc_special_package2	shop_1003	shop_1004	Turntable_min	Turntable_max
1	50	0:0	2:50;1:10	100;50;25;12	0	0	0	3	3	6	6	11	11	900	3:2378	3:1000	3:1001	2200	3300	4400	17600
2	100	0:0	2:100;1:10	100;50;25;12	0	0	0	0	3	0	6	0	11	900	3:2436	3:1000	3:1001	2400	3600	4800	19200
3	150	0:0	2:150;1:10	100;50;25;12	0	0	0	0	3	0	6	0	11	900	3:2494	3:1000	3:1001	2600	3900	5200	20800
4	200	0:0	2:200;1:10	100;50;25;12	0	0	0	0	3	0	6	0	11	900	3:2552	3:1000	3:1001	2600	3900	5200	20800
5	250	1301:10	2:250;1:10	100;50;25;12	0	0	0	0	3	1	7	1	12	900	3:2610	3:1000	3:1001	2800	4200	5600	22400
6	300	0:0	2:300;1:10	100;50;25;12	0	0	0	0	3	0	7	0	12	900	3:2668	3:1000	3:1001	3000	4500	6000	24000
7	350	0:0	2:350;1:10	100;50;25;12	0	0	0	0	3	0	7	0	12	900	3:2726	3:1000	3:1001	3200	4800	6400	25600
8	400	1301:1	2:400;1:10	100;50;25;12	0	1	1	0	3	0	7	0	12	900	3:2784	3:1000	3:1001	3400	5100	6800	27200
9	450	0:0	2:450;1:10	100;50;25;12	0	0	1	0	3	0	7	0	12	900	3:2842	3:1000	3:1001	3600	5400	7200	28800
10	500	0:0	2:500;1:10	100;50;25;12	0	0	1	1	4	1	8	1	13	900	3:2900	3:1000	3:1001	3800	5700	7600	30400
11	600	0:0	2:550;1:10	100;50;25;12	0	0	1	0	4	0	8	0	13	900	3:2958	3:1000	3:1001	4000	6000	8000	32000
12	700	1302:1	2:600;1:10	100;50;25;12	0	0	1	0	4	0	8	0	13	900	3:3016	3:1000	3:1001	4200	6300	8400	33600
13	800	0:0	2:650;1:10	100;50;25;12	0	0	1	0	4	0	8	0	13	900	3:3074	3:1000	3:1001	4400	6600	8800	35200
14	900	0:0	2:700;1:10	100;50;25;12	0	0	1	0	4	0	8	0	13	900	3:3132	3:1000	3:1001	4600	6900	9200	36800
15	1000	0:0	2:750;1:10	100;50;25;12	0	0	1	0	4	1	9	1	14	900	3:3190	3:1000	3:1001	5000	7500	10000	40000
16	1100	1301:1	2:800;1:10	100;50;25;12	0	1	2	0	4	0	9	0	14	900	3:3248	3:1000	3:1001	5200	7800	10400	41600
17	1200	0:0	2:850;1:10	100;50;25;12	0	0	2	0	4	0	9	0	14	900	3:3306	3:1000	3:1001	5400	8100	10800	43200
18	1300	0:0	2:900;1:10	100;50;25;12	0	0	2	0	4	0	9	0	14	900	3:3364	3:1000	3:1001	5800	8700	11600	46400
19	1400	0:0	2:950;1:10	100;50;25;12	0	0	2	0	4	0	9	0	14	900	3:3422	3:1000	3:1001	6000	9000	12000	48000
20	1500	1303:1	2:1000;1:10	75;60;40;25	0	0	2	1	5	1	10	1	15	900	3:3480	3:1000	3:1001	6400	9600	12800	51200
21	1700	0:0	2:1050;1:10	100;50;25;12	2	0	2	0	5	0	10	0	15	900	3:3538	3:1000	3:1001	6600	9900	13200	52800
22	1900	0:0	2:1100;1:10	100;50;25;12	2	0	2	0	5	0	10	0	15	900	3:3596	3:1000	3:1001	7000	10500	14000	56000
23	2100	0:0	2:1150;1:10	100;50;25;12	2	0	2	0	5	0	10	0	15	900	3:3654	3:1000	3:1001	7400	11100	14800	59200
24	2300	1301:1	2:1200;1:10	100;50;25;12	2	1	3	0	5	0	10	0	15	900	3:3712	3:1000	3:1001	7600	11400	15200	60800
