int	DTItemNum	int[]
生产线等级	升级消耗	升级建筑限制
id	cost	limit_grade
1	2:1000	0:0:0
2	2:1500	0:0:0
3	2:2500	0:0:0
4	2:5000	0:0:0
5	2:17000	0:0:0
6	2:25000	8002:14002:15002
7	2:34000	8003:14003:15003
8	2:42000	8004:14004:15004
9	2:120000	8005:14005:15005
10	2:140000	8006:14006:15006
11	2:160000	8007:14007:15007
12	2:180000	8008:14008:15008
13	2:300000	8009:14009:15009
14	2:330000	8010:14010:15010
15	2:360000	8011:14011:15011
16	2:390000	8012:14012:15012
17	2:500000	8013:14013:15013
18	2:540000	8014:14014:15014
19	2:580000	8015:14015:15015
20	2:620000	8016:14016:15016
21	2:700000	8017:14017:15017
22	2:750000	8018:14018:15018
23	2:800000	8019:14019:15019
24	2:850000	8020:14020:15020
25	2:900000	8021:14021:15021
26	2:960000	8022:14022:15022
27	2:1020000	8023:14023:15023
28	2:1080000	8024:14024:15024
29	2:1200000	8025:14025:15025
30	2:1270000	8026:14026:15026
31	2:1340000	8027:14027:15027
32	2:1410000	8028:14028:15028
33	2:1500000	8029:14029:15029
34	2:1580000	8030:14030:15030
35	2:1660000	8031:14031:15031
36	2:1740000	8032:14032:15032
37	2:1800000	8033:14033:15033
38	2:1890000	8034:14034:15034
39	2:1980000	8035:14035:15035
40	2:2070000	8036:14036:15036
41	2:2200000	8037:14037:15037
42	2:2300000	8038:14038:15038
43	2:2400000	8039:14039:15039
44	2:2500000	8040:14040:15040
45	2:2600000	8041:14041:15041
46	2:2650000	8042:14042:15042
47	2:27000000	8043:14043:15043
48	2:27500000	8044:14044:15044
49	2:29000000	8045:14045:15045
50	2:30000000	8046:14046:15046
51	2:31000000	8047:14047:15047
52	2:32000000	8048:14048:15048
53	2:33000000	8049:14049:15049
54	2:34000000	8050:14050:15050
55	2:35000000	8051:14051:15051
