int	int	int	int[]	int	string
ID|n|类型*1000+等级	升级类型|n|1:队列数量|n|2:存储上限|n|3:生产时长|n|4:每次产出	类型等级	升级类型效果	生产线等级限制	备注
id	type	lv	effect	produce_lv	tips
1001	1	1	1	1	
1002	1	2	2	1	
1003	1	3	3	1	
1004	1	4	4	11	
1005	1	5	5	21	
1006	1	6	6	31	
1007	1	7	7	41	
1008	1	8	8	50	
2001	2	1	10	4	
2002	2	2	20	4	
2003	2	3	30	4	
2004	2	4	40	11	
2005	2	5	50	11	
2006	2	6	60	11	
2007	2	7	70	21	
2008	2	8	80	21	
2009	2	9	90	21	
2010	2	10	100	31	
2011	2	11	110	31	
2012	2	12	120	31	
2013	2	13	130	41	
2014	2	14	140	41	
2015	2	15	150	41	
2016	2	16	160	51	
2017	2	17	170	51	
2018	2	18	180	51	
2019	2	19	190	55	
2020	2	20	200	55	
3001	3	1	0	4	
3002	3	2	60	4	
3003	3	3	120	4	
3004	3	4	180	11	
3005	3	5	240	11	
3006	3	6	300	11	
3007	3	7	360	21	
3008	3	8	420	21	
3009	3	9	480	21	
3010	3	10	540	31	
3011	3	11	600	31	
3012	3	12	660	31	
3013	3	13	720	41	
3014	3	14	780	41	
3015	3	15	840	41	
3016	3	16	900	51	
3017	3	17	960	51	
3018	3	18	1020	51	
3019	3	19	1080	55	
3020	3	20	1140	55	
4001	4	1	2;0	4	
4002	4	2	4;150	4	
4003	4	3	6;150	4	
4004	4	4	8;150	11	
4005	4	5	10;150	11	
4006	4	6	12;150	11	
4007	4	7	14;150	21	
4008	4	8	16;150	21	
4009	4	9	18;150	21	
4010	4	10	20;150	31	
4011	4	11	22;150	31	
4012	4	12	24;150	31	
4013	4	13	26;150	41	
4014	4	14	28;150	41	
4015	4	15	30;150	41	
4016	4	16	32;150	51	
4017	4	17	34;150	51	
4018	4	18	36;150	51	
4019	4	19	38;150	55	
4020	4	20	40;150	55	
