int	int	int	string
ID	触发条件|n|1派遣城市|n|2执行生产|n|3参与拍摄|n|4演员升级和培养|n|5和拥有某种特性的艺人一起拍摄电影|n|6参与拍摄某种剧本风格时|n|7参与拍摄某种拍摄类型时	条件参数	备注
id	trigger	value	tips
1001	1	0	在城市中担任形象大使时生效
1002	2	0	派遣到生产线中生效
1003	3	0	该艺人拍摄电影是生效
1004	4	0	演员升级和培养时生效
1005	5	1101	女性
1006	5	1102	男性
1007	5	1201	美国
1008	5	1202	欧洲
1009	5	1203	亚洲
1010	5	1401	演技派
1011	5	1402	偶像派
1012	5	1501	青春型
1013	5	1502	成熟型
1014	5	1901	军人
1015	5	1902	青春
1016	5	1903	机灵
1017	5	1904	高颜值
1018	5	1905	花花公子
1019	5	1906	艺术家
1020	5	1907	强壮
1021	5	1908	学生
1022	5	1909	贵族
1023	5	1910	领导者
1024	5	1911	罪犯
1025	5	1912	神职人员
1026	5	1913	超能力
1027	5	1914	警察
1028	5	1915	大亨
1029	5	1916	侠客
1030	5	1917	搞笑
1031	5	1918	海盗
1032	5	1919	佣兵
1033	5	1920	残酷
1034	5	1921	沧桑
1035	5	1922	高智商
1036	5	1923	反派
1037	5	1924	车手
1038	5	1925	枪手
1039	5	1926	打斗
1040	5	1927	口才好
1041	5	1928	忠诚
1042	5	1929	无常识
1043	5	1930	疯狂
1044	5	1931	忧郁
1045	5	1932	性感
1046	5	1933	教师
1047	5	1934	硬汉
1048	5	1935	痴情
1049	5	1936	赌徒
1050	5	1937	间谍
1051	5	1938	失忆
1052	5	1939	医生
1053	5	1940	拜金
1054	5	1941	长者
1055	5	1942	天真
1056	5	1943	阴谋家
1057	5	1944	童星
1058	5	1945	颓废
1059	5	1946	学者
1060	5	1947	记者
1061	5	1948	功夫
1062	5	1949	政客
1063	6	1701	战争片
1064	6	1702	科幻片
1065	6	1703	现代片
1066	6	1704	励志片
1067	6	1705	犯罪片
1068	6	1706	奇幻片
1069	6	1707	谍战片
1070	6	1708	冒险片
1071	6	1709	古装片
1072	6	1710	灾难片
1073	7	2201	歌舞
1074	7	2202	爱情
1075	7	2203	喜剧
1076	7	2204	叙事
1077	7	2205	动作
1078	7	2206	恐怖
1079	7	2207	动画
1080	7	2208	悬疑
