int	string	string	string
ID	英文文字	中文文字	备注
id	en_speak	cn_speak	tips
1001		什么时候才能得到小金人啊	楼层站立
1002		昨天差一点就获得小金人了,好可惜	楼层站立
1003		今天要健身减肥	楼层站立
1004		今天太累了,不想拍电影了	楼层站立
1005		今天有影迷要找我吗	楼层站立
1006		我拍的电影一定大卖	楼层站立
1007		那家伙摔倒了,很滑稽	楼层站立
1008		听说来了个很厉害的新人,我要恶搞一下	楼层站立
1009		又有人在唱歌扰民了	楼层站立
1010		楼上的家伙安静点	楼层站立
1011		谁丢的香蕉皮,希望没人看到	楼层摔倒
1012		哎呀，我摔倒了，要人扶才能起来~	楼层摔倒
1013		我的这次假摔可是奥斯卡影帝级别的	楼层摔倒
1014		大家都说我唱的比贾斯丁比伯好听	楼层唱歌
1015		今年还有99场演唱会,我会累死的	楼层唱歌
1016		我去参加好声音,就没其他选手什么事情了	楼层唱歌
1017		跟着音乐一起跳舞	楼层跳舞
1018		跟着我的节拍,再来一次	楼层跳舞
1019		我的舞姿就像天鹅	楼层跳舞
1020		如果再也不能见到你，祝你早安，午安，晚安。	楼层朗诵
1021		生活就像一盒巧克力，你永远不知道下一块会是什么味道。	楼层朗诵
1022		当你最认为困难的时候，其实就是你最接近成功的时候。	楼层朗诵
1023		你跳，我也跳	楼层朗诵
1024		加油!肯定会大卖的	楼层欢呼
1025		一往无前！	楼层欢呼
1026		为了小金人,冲啊	楼层欢呼
3101		就要看到{0}了，真激动！	粉丝探班1
3102		听说有粉丝来了	粉丝探班1
3103		呀，终于看到你了！	粉丝探班1
3104		咦，是你！上次首演我看到你了。	粉丝探班1
3105		对对对，是我是我，你竟然记得我！	粉丝探班1
3106		我记得我的每一个粉丝	粉丝探班1
3201		为了今天我特地穿了最喜欢的衣服！	粉丝探班2
3202		我的粉丝是最棒的！	粉丝探班2
3203		{0}，请接受我的鲜花！	粉丝探班2
3204		来就来嘛，怎么不多带点鲜花	粉丝探班2
3205		今天花店没打折，下次打折我多买点过来	粉丝探班2
3206		竟然要买打折货？！	粉丝探班2
3301		好激动，这次终于能看到{0}了。	粉丝探班3
3302		有种不好的感觉	粉丝探班3
3303		是我是我，你还记得我吗？	粉丝探班3
3304		不好意思不记得，你是？	粉丝探班3
3305		上次，晚上，就是我跟踪你的！	粉丝探班3
3306		啊，原来是你，保安！保安！	粉丝探班3
3401		忍不住了，我想变身！	粉丝探班4
3402		感觉到熟悉的气息	粉丝探班4
3403		qaparHa'	粉丝探班4
3404		你说啥？	粉丝探班4
3405		呀，一个不小心说出M87星语了	粉丝探班4
3406		我也是M87星的！	粉丝探班4
3501		奶奶，我就要看到你最喜欢的{0}了！	粉丝探班5
3502		今天的红酒真好喝！	粉丝探班5
3503		{0}，我奶奶说她从小就很喜欢你！	粉丝探班5
3504		啊，我有那么老吗？	粉丝探班5
3505		呸呸，我是说我奶奶看到你就像回到小时候！	粉丝探班5
3506		代我谢谢你奶奶！	粉丝探班5
3601		待会儿要怎么说呢？	粉丝探班6
3602		今天心情真好！	粉丝探班6
3603		{0}快跑，这里快要发生地震了！	粉丝探班6
3604		真的吗？那要往哪逃？	粉丝探班6
3605		跟我走，我刚找到一个很隐蔽的地窖！	粉丝探班6
3606		怎么有种不好的感觉？	粉丝探班6
3701		刚才那道题怎么解来着？	粉丝探班7
3702		头疼，今天真不舒服	粉丝探班7
3703		{0}，可以帮我一个忙吗？	粉丝探班7
3704		好的呀，你要做什么？	粉丝探班7
3705		这是我今天的家庭作业，帮我做一下呗！	粉丝探班7
3706		啊，头晕，不好意思我先撤了。	粉丝探班7
3801		能不能找到工作就看这一把了！	粉丝探班8
3802		哪个粉丝这么有眼光？	粉丝探班8
3803		{0}，我可以帮你工作吗？	粉丝探班8
3804		好的呀，你会做什么？	粉丝探班8
3805		我会吃！	粉丝探班8
3806		不好意思，这个我也会。	粉丝探班8
3901		今天天气好晴朗~	粉丝探班9
3902		好像听到谁在唱歌。	粉丝探班9
3903		{0}，我唱歌好不好听！	粉丝探班9
3904		好听好听，简直比我演唱会还棒！	粉丝探班9
3905		嘻嘻，我就知道你会这么说，虽然我也这么觉得	粉丝探班9
3906		呵呵，你开心就好！	粉丝探班9
5101		你好！	
5102		我喜欢你们的会议室！	
5201		你开的条件我觉得有些问题！	
5202		细节可以慢慢谈嘛！	
5301		你开的条件太差了！	
5302		这是漫天要价，你真的想谈判么？	
5401		合作愉快！	
5402		真高兴谈判成功！	
5501		你们太没有诚意了	
5502		这没什么好谈的，再见	
1101		我是谁，我在哪，我刚刚看了个啥？	
1102		作为一个复仇记来说也太平淡无味了	
1103		这片真是凭一己之力拉低了整个档期的评分！	
1104		我的内心毫无波动，甚至有点想笑	
1105		喜欢的演员和剧本本该是双份的喜悦，可…	
1201		空调太冷不好睡，先走了…	
1202		后悔了，把看这片的时间拿来敲代码多好	
1203		你说有钱多好，我要有钱也这么拍烂片玩儿	
1204		引起生理不适，举报了！	
1205		没有主题，剧情混乱，不知所云	
1301		无功无过，杀时间之选	
