int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
角色id	剧本id	角色序号	角色名称	角色类型|n|(2101：主角|n|2102：男主角|n|2103：女主角|n|2104：配角|n|2105：男配角|n|2106：女配角|n|2107：反派）	角色类型图片（0：儿童，1：女，2：男）	角色性别要求|n|（0：无要求|n|1101：女|n|1102：男）	角色国籍要求|n|（0：无要求|n|1201：美国|n|1202：欧洲|n|1203：亚洲）	表演类型|n|（0：无要求|n|1401演技派|n|1402偶像派）	年龄类型|n|（0：无要求|n|1501青春型|n|1502成熟型）	角色擅长类型需求（property表1901-1949）	剧本属性需求（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）	角色介绍
id	story_id	character_num	zh_cn_name	type	type_pic	sex	country	show_type	age_type	tags	effect	zh_cn_introduction
1001	1001	1	苏珊	2103	1	1101	1202	0	1501	1902;1920;1943;1904;1922	1601;1602	苏珊（主角），全家被德军屠杀的女孩，侥幸逃脱多年后，又因机缘而卷入了对德国元首的暗杀行动中。
1002	1001	2	奥尔多	2102	2	1102	1201	1402	0	1934;1937;1910;1907;1926	1602;1605	奥尔多（主角），美军陆军中尉，因需要戴罪立功而被派往德国进行一系列暗杀行动
1003	1001	3	弗兰克	2104	2	0	0	0	0	1920;1930;1943;1901;1928	1601;1603	弗兰克（配角），当年执行屠杀行动的德国上校，是苏珊和奥尔多共同的复仇对象。
1004	1002	1	戴瑞	2102	2	1102	0	0	1501	1902;1928;1903;1942;1901	1601;1602	戴瑞（主角），虔诚的基督徒、军医，因为信仰而拒绝拿起武器，但即使如此依然在冲绳岛上救出75个伤员。
1005	1002	2	汤姆	2104	2	0	0	1401	0	1910;1901;1934;1907;1921	1603;1605	汤姆（配角），戴瑞的上司，认为拒绝持枪的戴瑞是个懦夫，试图让军事法庭依此让戴瑞必须随身携带武器。
1006	1002	3	拉里	2104	2	0	0	0	0	1901;1928;1907;1934;1931	1601;1605	拉里（配角），刚开始总是欺负“懦夫”戴瑞的新兵训练官，最后在战场上被戴瑞救回一命。
1007	1003	1	巴克	2102	2	1102	0	0	0	1901;1907;1934;1910;1926	1601;1602	巴克（主角），铁血真汉子，久经沙场的特种兵领袖，绝招是左轮连发。
1008	1003	2	神秘雇主L	2101	2	0	0	0	0	1949;1901;1907;1934;1926	1603;1601	神秘雇主L（主角），伪装成CIA高官的保镖头子。
1009	1003	3	克里斯	2104	2	0	0	0	0	1919;1926;1925;1907;1911	1603;1605	克里斯（配角），热血奔放的超一流雇佣军，善使飞刀，刀刀致命。
1010	1003	4	杰伊	2104	2	0	0	0	0	1919;1926;1925;1907;1911	1601;1604	杰伊（配角），曾服役于某不可描述部队的亚洲人，有着过人的战术头脑。
1011	1003	5	尼克	2107	2	0	0	1401	0	1943;1920;1907;1923;1930	1601;1602	尼克（反派），冷血残酷，不择手段压榨着淳朴善良的员工。
1012	1004	1	瑞克	2102	2	1102	1201	1401	0	1915;1930;1911;1922;1935	1601;1603	瑞克（主角），在担任维和部队翻译时，偶然间将枪支倒卖给民间武装，这开启了他的军火生意生涯。
1013	1004	2	伊芙	2103	1	1101	1201	0	1501	1904;1928;1932;1935;1940	1605;1601	伊芙（主角），在非洲遇见瑞克后就爱上了他，两人迅速结婚并有了一个孩子，在她面前，瑞克是个完美的居家男人。
1014	1004	3	拉瑞	2105	2	1102	0	1401	0	1930;1920;1929;1945;1902	1602;1604	拉瑞（配角），瑞克的弟弟，跟随哥哥一起贩卖军火，因无法忍受内心的谴责而吸毒，最终死于恐怖组织之手。
1015	1004	4	本	2104	2	0	0	0	0	1915;1940;1943;1930;1920	1601;1603	本（配角），国际警察，恪尽职守想要将军火贩子瑞克绳之以法，最终却无法得到他想要的结果。
1016	1004	5	尼克	2104	2	0	0	1402	1501	1914;1928;1926;1931;1907	1602;1601	尼克（配角），同样作为军火贩子的他视后起之秀瑞克为眼中钉。
1017	1005	1	奥克特	2102	2	1102	1202	0	0	1915;1921;1922;1910;1927	1603;1604	奥科特（主角），德国商人，本意利用二战大发战争财，却出于良知与人性散尽家财庇护了1100多的犹太人。
1018	1005	2	爱丽	2101	2	0	0	0	0	1902;1903;1944;1931;1942	1601;1603	爱丽（主角），犹太小女孩，她的父亲请求奥克特从无情的屠杀中挽救她的生命。
1019	1005	3	汉斯	2107	2	0	0	0	0	1901;1930;1920;1943;1923	1602;1604	汉斯（反派），党卫军军官，负责奥科特所在地区的集中营。
1020	1006	1	达瑞	2102	2	1102	0	1401	1502	1901;1928;1925;1910;1931	1602;1603	达瑞（主角），普通的空降师士兵，三个兄长都在战争中阵亡，因此指挥部希望将其撤出前线。
1021	1006	2	汤姆	2102	2	1102	1201	0	0	1901;1928;1925;1902;1907	1603;1602	汤姆（主角），接受寻找达瑞任务的上尉，在他心里军令如山，从未考虑任务值得与否的问题。
