int	int	int	int	int	int	int	DTItemNum[]	string
剧本目标id	剧本id	街区档次	剧本目标1（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）（Property.xlsx)	目标1值	剧本目标2（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）（Property.xlsx)	目标2值	剧本属性目标达成奖励	备注
id	storyid	rank	property1	value1	property2	value2	reward	info
10011001	1001	1001	1601	159	1602	168	6108:1	无耻混蛋
10011002	1001	1002	1601	508	1602	548	6109:1	无耻混蛋
10011003	1001	1003	1601	835	1602	941	6109:2	无耻混蛋
10011004	1001	1004	1601	1257	1602	1419	6108:2	无耻混蛋
10011005	1001	1005	1601	1766	1602	2010	6102:3	无耻混蛋
10011006	1001	1006	1601	2362	1602	2699	6104:3	无耻混蛋
10011007	1001	1007	1601	3038	1602	3486	6107:4	无耻混蛋
10011008	1001	1008	1601	3801	1602	4372	6107:4	无耻混蛋
10011009	1001	1009	1601	4659	1602	5342	6101:5	无耻混蛋
10011010	1001	1010	1601	5604	1602	6425	6106:5	无耻混蛋
10012001	1001	2001	1601	8309	1602	9560	6207:1	无耻混蛋
10012002	1001	2002	1601	9704	1602	11162	6207:1	无耻混蛋
10012003	1001	2003	1601	11194	1602	12906	6201:2	无耻混蛋
10012004	1001	2004	1601	12807	1602	14763	6204:2	无耻混蛋
10012005	1001	2005	1601	13652	1602	15733	6209:3	无耻混蛋
10012006	1001	2006	1601	14516	1602	16745	6203:3	无耻混蛋
10012007	1001	2007	1601	15418	1602	17785	6205:4	无耻混蛋
10012008	1001	2008	1601	16341	1602	18854	6207:4	无耻混蛋
10012009	1001	2009	1601	17286	1602	19950	6202:5	无耻混蛋
10012010	1001	2010	1601	18267	1602	21089	6209:5	无耻混蛋
10013001	1001	3001	1601	23167	1602	26742	6301:1	无耻混蛋
10013002	1001	3002	1601	24410	1602	28175	6307:1	无耻混蛋
10013003	1001	3003	1601	25682	1602	29652	6301:2	无耻混蛋
10013004	1001	3004	1601	26982	1602	31156	6309:2	无耻混蛋
10013005	1001	3005	1601	28321	1602	32703	6302:3	无耻混蛋
10013006	1001	3006	1601	29694	1602	34291	6301:3	无耻混蛋
10013007	1001	3007	1601	31090	1602	35909	6301:4	无耻混蛋
10013008	1001	3008	1601	32529	1602	37567	6302:4	无耻混蛋
10013009	1001	3009	1601	33991	1602	39269	6308:5	无耻混蛋
10013010	1001	3010	1601	35487	1602	41011	6308:5	无耻混蛋
10014001	1001	4001	1601	37022	1602	42783	6304:1	无耻混蛋
10014002	1001	4002	1601	38585	1602	44583	6307:1	无耻混蛋
10014003	1001	4003	1601	40177	1602	46439	6301:2	无耻混蛋
10014004	1001	4004	1601	41805	1602	48323	6303:2	无耻混蛋
10014005	1001	4005	1601	43470	1602	50235	6303:3	无耻混蛋
10014006	1001	4006	1601	45156	1602	52203	6308:3	无耻混蛋
10014007	1001	4007	1601	46886	1602	54200	6302:4	无耻混蛋
10014008	1001	4008	1601	48638	1602	56238	6302:4	无耻混蛋
10014009	1001	4009	1601	50426	1602	58305	6303:5	无耻混蛋
10014010	1001	4010	1601	52251	1602	60415	6308:5	无耻混蛋
10015001	1001	5001	1601	54105	1602	62565	6302:1	无耻混蛋
10015002	1001	5002	1601	55987	1602	64745	6308:1	无耻混蛋
10015003	1001	5003	1601	57899	1602	66966	6306:2	无耻混蛋
10015004	1001	5004	1601	59847	1602	69230	6309:2	无耻混蛋
10015005	1001	5005	1601	61839	1602	71521	6309:3	无耻混蛋
10015006	1001	5006	1601	63845	1602	73856	6302:3	无耻混蛋
10015007	1001	5007	1601	65895	1602	76232	6301:4	无耻混蛋
10015008	1001	5008	1601	67981	1602	78650	6307:4	无耻混蛋
10015009	1001	5009	1601	70089	1602	81097	6304:5	无耻混蛋
10015010	1001	5010	1601	72234	1602	83571	6305:5	无耻混蛋
10021001	1002	1001	1601	147	1605	102	6102:1	血战钢锯岭
10021002	1002	1002	1601	470	1605	350	6107:1	血战钢锯岭
10021003	1002	1003	1601	782	1605	599	6106:2	血战钢锯岭
10021004	1002	1004	1601	1179	1605	915	6101:2	血战钢锯岭
10021005	1002	1005	1601	1656	1605	1289	6105:3	血战钢锯岭
10021006	1002	1006	1601	2212	1605	1730	6106:3	血战钢锯岭
10021007	1002	1007	1601	2847	1605	2239	6108:4	血战钢锯岭
10021008	1002	1008	1601	3561	1605	2804	6102:4	血战钢锯岭
10021009	1002	1009	1601	4367	1605	3437	6102:5	血战钢锯岭
10021010	1002	1010	1601	5246	1605	4138	6101:5	血战钢锯岭
10022001	1002	2001	1601	7781	1605	6151	6206:1	血战钢锯岭
10022002	1002	2002	1601	9080	1605	7180	6204:1	血战钢锯岭
10022003	1002	2003	1601	10481	1605	8299	6204:2	血战钢锯岭
