int	string	int
剧本id	剧本名称	产出权重
id	name	rate
1018	铁线虫入侵	5
1048	蝴蝶效应	10
1050	亚瑟王：斗兽争霸	10
1057	女巫季节	5
1062	赛车总动员	10
1067	生化危机	5
1069	木乃伊	5
1078	她	10
1089	自杀小队	5
1111	成为简·奥斯汀	10
1115	武则天	10
1128	香水	10
1142	狙击电话亭	10
1144	美国骗局	10
1162	特工绍特	10
1002	血战钢锯岭	20
1003	敢死队	100
1005	辛德勒名单	50
1007	敦刻尔克	50
1008	战马	100
1009	冷山	100
1011	比利林恩的中场战事	20
1014	釜山行	50
1016	迷雾	50
1019	进击的巨人	20
1020	我是传奇	50
1021	大白鲨	100
1022	异形	20
1023	僵尸世界大战	20
1025	林中小屋	100
1026	摩登时代	50
1028	七年之痒	100
1030	红磨坊	20
1031	爱乐之城	50
1032	假结婚	20
1033	诺丁山	100
1034	出租车司机	100
1037	初恋50次	50
1039	卡罗尔	50
1040	风月俏佳人	20
1041	遇见你之前	100
1044	使女的故事	20
1045	瑞士军刀男	100
1047	哈利波特	50
1049	重返17岁	100
1052	本杰明巴顿奇事	20
1053	刀锋战士	100
1054	你的名字	50
1055	嗜血破晓	20
1056	潘神的迷宫	20
1058	权力的游戏	50
1059	驯龙高手	100
1063	饥饿游戏	50
1064	飞屋环游记	20
1065	加勒比海盗	20
1066	楚门的世界	20
1068	死侍	100
1070	V字仇杀队	50
1071	刺客信条	100
1073	疯狂动物城	50
1074	西西里的美丽传说	50
1077	肖申克的救赎	20
1080	三傻大闹宝莱坞	20
1081	达拉斯买家俱乐部	100
1082	百万美元宝贝	20
1084	当幸福来敲门	100
1085	国王的演讲	100
1086	叫我第一名	50
1088	逃出克隆岛	100
1092	钢铁侠	20
1093	终结者	20
1094	阿凡达	50
1095	星球大战	100
1098	牛仔和外星人	20
1101	黑客帝国	50
1102	火星救援	100
1105	回到未来	50
1106	我，机器人	20
1107	银翼杀手	100
1108	银河系漫游指南	100
1109	安德的游戏	50
1110	勇敢的心	50
1112	埃及艳后	20
1114	艺伎回忆录	50
1118	戴珍珠耳环的少女	100
1119	卡萨诺瓦	20
1120	另一个波琳家的女孩	100
1121	疯狂的麦克斯	20
1122	这个杀手不太冷	100
1123	蝙蝠侠：黑暗骑士	50
1124	大逃杀	50
1127	七宗罪	50
1129	时间规划局	100
1130	搏击俱乐部	20
1131	电锯惊魂	20
1132	沉默的羔羊	20
1133	邮差总按两次铃	100
1134	越狱	20
1135	消失的爱人	50
1138	龙纹身的女孩	100
1139	洛城机密	50
1140	机械师	50
1143	人类清除计划	100
1147	玩命快递	100
1149	史密斯夫妇	100
1150	王牌特工	50
1151	间谍同盟	50
1152	夜班经理	50
1154	黑衣人	100
1156	达芬奇密码	20
1158	国家公敌	20
1160	西北偏北	20
1161	游客	100
