int	int	int	int	int	int	int	string	int	string	string	string	string	string	string	int	DTItemNum[]
id|n|剧情组*100+顺序	触发条件|n|1新建账号初次登录游戏|n|2点击按钮|n|3点击icon|n|4选择完初始演员|n|5完成街道宣传|n|6完成城市路演|n|7完成建造|n|8完成前置引导|n|9打开界面|n|10第一次拍摄,点击提交后|n|11第一部电影上映|n|12完成前置剧情|n|13第一次进入奥斯卡|n|14选择剧本或拍摄片酬不够|n|15领取主线任务奖励|n|16拍摄第一次出现5星剧本|n|17探查第一次出现已拥有4星艺人|n|18拍摄步骤	触发条件参数|n|1无|n|2无|n|3无|n|4无|n|5街道ID|n|6城市ID|n|7建筑ID|n|8引导ID|n|9界面ID|n|10无|n|11无|n|12剧情组ID|n|13奥斯卡状态|n|14无|n|15主线任务ID|n|16无|n|17无|n|18步骤ID	是否触发引导|n|0=否|n|1=引导|n|2=剧情	触发引导id	剧情组	顺序	调用半身像id|n|{name}=主角半身像|n|{actor}=初始艺人半身像|n|{repeatactor}=重复探查艺人	调用界面|n|0=无|n|1=人物介绍|n|2=初始艺人界面|n|3=海报界面	界面内容|n|{name}主角名字	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	content|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称|n|{repeatactor}=重复探查艺人	Avatar name	半身像位置:|n|1=左中|n|2=右中	剧情产出收益:|n|物品id，物品数量
id	trigger	value	guide_type	guide_id	group	order	type_id	ui_type	cn_ui_content	en_ui_content	cn_content	en_content	cn_name	en_name	anchor	reward
100101	1				1001	1	9991				你过来啦，公司的开业准备已经做好了，就等你一句话了哦！		特蕾西		1	
100102					1001	2	9991	1	你演艺生涯中合作过多次的制片人，她已经受够了传统电影业的折磨，因为你提出想要改变整个电影制片业的规则而决心加入你的公司来帮助你				特蕾西		1	
100103			1	100101	1001	3	{name}				事不宜迟，那让我们现在就开始吧！		{name}		2	
100201	8	100101			1002	1	9991				公司终于正式开业啦，我们需要一笔启动资金来支持公司的运作哦。		特蕾西		1	
100202					1002	2	{name}				当然，我可不是毫无准备。资金已经到位啦。		{name}		2	2:5000;9001:10
100203			2	999901	1002	3	{name}				而且，我已经说服一个关系不错的演员朋友签约我们公司了，要不要猜猜看会是谁？		{name}		2	
999901	12	1002			9999	1		2	选择初始艺人界面						1	
100401	4				1004	1	9991				没想到一开始就有这么棒的帮手，真让人信心百倍啊！那么接下来，让我们继续影院的基础设施建造吧！		特蕾西		1	
100501	7	1			1005	1	9991				影业协会过来考察之后，给了我们一笔专门面对新兴公司的补助金哦！		特蕾西		1	2:5000
100502					1005	2	{name}				正好，这笔资金可以用来筹拍我们的第一部电影了。		{name}		2	
100601	18	2			1006	1	{name}				几个剧本都挺有意思的，嗯……还真有点难以抉择啊。		{name}		1	
100602					1006	2	9991				不同的剧本有不同的受众类型，根据市场调查选择符合当前受众类型的剧本，获得成功的几率也会更大喔！		特蕾西		2	
100603					1006	3	{name}				嗯，我明白。不过，我们现在还没有市场部呢，看来只能发挥一下我的敏锐直觉啦。		{name}		1	
100701	18	5			1007	1	9991				诶？这部剧本设定有两个角色，可我们现在只有一位艺人。看来我们只能先招个临时演员顶替一下了？		特蕾西		1	
100702					1007	2	{name}				不行，第一部电影对我们来说是很重要的，临时演员对电影品质可没有任何帮助。别担心，我可不是白在影视圈待了这些年哦。		{name}		2	
100703					1007	3	1102				你这家伙每次找我基本都是有麻烦事，你还真是看准了我不会拒绝啊。		巨石强森	Rock Jones	1	
100801	11	1102			1008	1	9991				（小声）诶，我还以为你是直接把巨石强森给挖过来了呢……		特蕾西		1	
100802					1008	2	{name}				（苦笑）我倒是想呀。不过他现在的合约还没到期呢。等他合约期满，我肯定就把他签过来啦！		{name}		2	
100803					1008	3	1102	1	跟你关系很不错的当红演员，答应在你的第一部电影中作为主角出演。但由于目前还有合约在身，不能再参与你公司的其他电影。先完成所有的引导任务，到那时就可以与他签订正式合约，让他加入公司了哦！				巨石强森		1	
100901					1009	1	{actor}				我们终于要有新艺人了，很期待将要跟我演对手戏的会是怎样一个演员呢？		{actor}		1	
101001	8	101003			1010	1	9991				你以前应该也有参加过主创团队为了电影做的巡回宣传吧！不过，现在你的身份可不一样啦！		特蕾西		1	
101002					1010	2	{name}				是啊，以前我确实没太关注过具体的活动筹划，毕竟我只要准时出席就好。不过，我相信你肯定已经有计划了吧？		{name}		2	
101003					1010	3	9991				当然啦，虽说你的影响力很大，但我们公司作为一家电影公司还是刚刚起步呢。就让我们按照最基础的方式在这座城市进行宣传吧！		特蕾西		1	
101101	8	101304			1011	1	9991				说起来，考虑到我们公司目前基本所有事情都是你亲力亲为，真担心你会透支自己呢。也许我们可以雇一个专业的秘书帮你分担一些工作哦！		特蕾西		1	
