int	string	int	int	int	int	int	DTItemNum[]	int	int	int
编号	任务名称	解锁建筑	任务要求:|n|1建造建筑|n|2升级建筑|n|3升级艺人|n|4招募艺人|n|5街道宣传|n|6进行路演|n|7占领城市|n|8拍摄电影|n|9查看电影收益|n|10领取电影收益次数|n|11提升关注度|n|12任命形象大使|n|13选择重点宣传城市|n|14领取城市收益|n|15进行生产|n|16完成订单|n|17处理公务|n|18接待粉丝|n|19领取电影收益数量|n|20打开排行榜	要求参数|n|1建筑ID|n|2建筑ID|n|3艺人等级|n|4拥有艺人数量|n|5街道ID|n|6城市ID|n|7城市ID|n|8拍摄电影数量|n|9打开收益界面|n|10领取收益次数|n|11电影关注度次数|n|12城市ID|n|13宣传城市ID|n|14领取城市收益数量|n|15生产次数|n|16完成订单数量|n|17处理公务数量|n|18接待粉丝次数|n|19领取电影收益数量|n|20打开排行榜次数	副要求参数|n|2建筑等级|n|3艺人数量|n|12形象大使数量	任务类型|n|1=日程|n|2=成就|n|3=剧本成就|n|4=主线任务	奖励	完成度奖励	前置任务ID|n|主线任务为后置任务ID	调用引导
id	zh_cn_name	unlock	require	goal	s_goal	type	reward	Complete	pre_id	guide
1001	拍摄5部电影	2001		5		1	3:20000	10	0	200101
1002	升级艺人10次	3001		10		1	3:20000	10	0	200201
1003	培养艺人1次	3001		1		1	3:20000	5	0	200301
1004	赠送艺人礼物10个	3001		10		1	3:20000	5	0	200401
1005	让3名艺人完成技能训练	13001		3		1	3:20000	5	0	200501
1006	升级艺人技能1次	13001		1		1	3:20000	5	0	200601
1007	完成公务30次	9001		30		1	3:20000	5	0	200701
1008	完成会议10次	11001		10		1	3:20000	5	0	200801
1009	接见粉丝10次	10001		10		1	3:20000	5	0	200901
1010	城市宣传20次	4001		20		1	3:20000	5	0	201001
1011	领取城市收益5次	4001		5		1	3:20000	5	0	201101
1012	祝贺总排行榜1次	1002		1		1	3:20000	5	0	201201
1013	祝贺影片排行榜1次	1002		1		1	3:20000	5	0	201301
1014	领取比赛礼包1次	1002		1		1	3:20000	5	0	201401
1015	升级宝物1次	15050		1		1	3:20000	5	0	
1016	领取10次生产	6001		10		1	3:20000	5	0	201601
