int	int[]	int[]	int	int[]	int[]	int	DTItemNum
ID	开始时间	结束时间	接待艺人	真心话艺人碎片	大冒险艺人碎片	积分	奖励
id	start	end	Reception	actor1	actor2	integral	reward
1001	2018:09:03:00:00:00	2018:09:09:23:59:59	5001	7080:7085	7090:7095	600	7070:6
1002	2018:09:03:00:00:00	2018:09:09:23:59:59	5001	7080:7085	7090:7095	1500	7070:4
1003	2018:09:03:00:00:00	2018:09:09:23:59:59	5001	7080:7085	7090:7095	4000	7070:11
1004	2018:09:03:00:00:00	2018:09:09:23:59:59	5001	7080:7085	7090:7095	7000	7070:14
1005	2018:09:03:00:00:00	2018:09:09:23:59:59	5001	7080:7085	7090:7095	10000	7070:18
1006	2018:09:10:00:00:00	2018:09:16:23:59:59	5002	7081:7086	7091:7096	600	7071:6
1007	2018:09:10:00:00:00	2018:09:16:23:59:59	5002	7081:7086	7091:7096	1500	7071:4
1008	2018:09:10:00:00:00	2018:09:16:23:59:59	5002	7081:7086	7091:7096	4000	7071:11
1009	2018:09:10:00:00:00	2018:09:16:23:59:59	5002	7081:7086	7091:7096	7000	7071:14
1010	2018:09:10:00:00:00	2018:09:16:23:59:59	5002	7081:7086	7091:7096	10000	7071:18
1011	2018:09:17:00:00:00	2018:09:23:23:59:59	5003	7082:7087	7092:7097	600	7072:6
1012	2018:09:17:00:00:00	2018:09:23:23:59:59	5003	7082:7087	7092:7097	1500	7072:4
1013	2018:09:17:00:00:00	2018:09:23:23:59:59	5003	7082:7087	7092:7097	4000	7072:11
1014	2018:09:17:00:00:00	2018:09:23:23:59:59	5003	7082:7087	7092:7097	7000	7072:14
1015	2018:09:17:00:00:00	2018:09:23:23:59:59	5003	7082:7087	7092:7097	10000	7072:18
1016	2018:09:24:00:00:00	2018:09:30:23:59:59	5004	7083:7088	7093:7098	600	7073:6
1017	2018:09:24:00:00:00	2018:09:30:23:59:59	5004	7083:7088	7093:7098	1500	7073:4
1018	2018:09:24:00:00:00	2018:09:30:23:59:59	5004	7083:7088	7093:7098	4000	7073:11
1019	2018:09:24:00:00:00	2018:09:30:23:59:59	5004	7083:7088	7093:7098	7000	7073:14
1020	2018:09:24:00:00:00	2018:09:30:23:59:59	5004	7083:7088	7093:7098	10000	7073:18
1021	2018:10:01:00:00:00	2018:10:07:23:59:59	5005	7084:7089	7094:7099	600	7074:6
1022	2018:10:01:00:00:00	2018:10:07:23:59:59	5005	7084:7089	7094:7099	1500	7074:4
1023	2018:10:01:00:00:00	2018:10:07:23:59:59	5005	7084:7089	7094:7099	4000	7074:11
1024	2018:10:01:00:00:00	2018:10:07:23:59:59	5005	7084:7089	7094:7099	7000	7074:14
1025	2018:10:01:00:00:00	2018:10:07:23:59:59	5005	7084:7089	7094:7099	10000	7074:18
