int	string	string	int	int	int	int	int[]	int	bool	int	int	int	int	string	int
id	名称	道具描述	图标	星级	类型	最大堆叠数量	获取途径	关联rewardid	是否可出售	出售价格	资产合成id	艺人id	艺人合成数量需求	获取途径说明	打点判断
id	zh_cn_name	zh_cn_item_des	icon	star	type	max_num	get_way	rewardid	can_sell	price	syn_id	actor_id	actor_num	zh_cn_get_way_explain	User_item_info
1	钻石	用于游戏内消费	2001	0	1	0	22	0	0	0	0	0	0	通过充值获得	1
2	金币	用于建筑、艺人升级	2002	0	2	0	5;52	0	0	0	0	0	0	占领市场可获得大量金币，订单中也会获得一些	1
4	行动力	用于拍摄消耗	2004	0	10	0	0	0	0	0	0	0	0	每隔一段时间电影协会都会发放一张	0
5	经验	粉丝数量越多，公司等级越高	2003	0	11	0	0	0	0	0	0	0	0	市场占领，拍摄电影都会获得	1
14	奖杯	每天22点由奥斯卡颁发的奖杯，奖杯越多，比赛档次越高	2005	0	14	0	0	0	0	0	0	0	0	奥斯卡颁发的奖杯，大卖电影越多，获得的奖杯越多	1
6101	1星滑板	可以送给偶像派艺人增加忠诚度。在仓库可合成为高星资产	2211	1301	6	9999	3;7	0	1	10	6101	0	0	完成订单后可以获得艺人资产	1
6102	1星小提琴	可以送给欧洲艺人增加忠诚度。在仓库可合成为高星资产	2221	1301	6	9999	3;7	0	1	10	6102	0	0	完成订单后可以获得艺人资产	1
6103	1星折扇	可以送给亚洲艺人增加忠诚度。在仓库可合成为高星资产	2231	1301	6	9999	3;7	0	1	10	6103	0	0	完成订单后可以获得艺人资产	1
6104	1星烟斗	可以送给男性艺人增加忠诚度。在仓库可合成为高星资产	2241	1301	6	9999	3;7	0	1	10	6104	0	0	完成订单后可以获得艺人资产	1
6201	2星滑板	可以送给偶像派艺人增加忠诚度。在仓库可分解为低星资产，合成为高星资产	2212	1302	6	9999	3;7	0	1	10	6201	0	0	完成订单后可以获得艺人资产	1
