int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	DTActorSkill[]	DTActorStory[]	DTActorFeature[]	DTActorCharacter[]	int	DTItemNum	DTItemNum[]	DTItemNum	int	int	int	int	int	int	string	string
ID	英文名字	中文名字	随机名字|n|调用GameRandomName表格中的ID	星级|n|1301一星|n|1302二星|n|1303三星|n|1304四星|n|1305五星|n|1306六星	性别|n|1101女|n|1102男	国籍     1201美国   1202欧洲   1203亚洲	表演类型    1401演技派    1402偶像派	年龄类型   1501青春型   1502成熟型	美术资源ID	场面	表演	剧情	艺术	娱乐	技能  技能组id：开放等级	擅长剧本风格ID   剧本风格：擅长等级：加成属性	擅长剧本元素 ID   剧本元素 ：擅长等级：加成属性	擅长角色类型ID    角色类型：擅长等级：加成属性	神秘擅长ID	招募消耗                 物品ID：物品数量	重复招募奖励|n|物品ID：物品数量|n|第一个为艺人合同，第二个为资产物品	启用雪藏艺人消耗	星探随机值	初始经验	初始片酬	初始体力	初始培养次数	初始赠送资产次数	英文描述	中文描述
id	en_name	cn_name	random_name	star	sex	country	show_type	age_type	avatar	spectacle	perform	plot	art	entertainment	skill	story_type	story_feature	character	surprise	cost	recruit_reward	enable_cost	random_value	exp	paycheck	stamina	culture	assets	en_tips	cn_tips
9998	Assistant	助理	0	0	0	0	0	0	9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	临时演员
9999	Performer	临时演员	0	0	0	0	0	0	6046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	临时演员
1001	Stephen Zach	斯昆	2001	1301	1102	1201	1401	1502	1014	4	4	8	0	4	1001:31;1042:101;1017:201	1702:1:1601	1806:1:1601;1815:1:1603	1910:1:1601;1922:2:1601	1901	6:500	7001:10;6102:60	6:50	100	0	100	100	30	100	A pretty nice guy but often is a little blunt and abrupt on first meeting. But once you get to know him, you can tell he does have empathy for others.	出于某种神秘的原因，他跟人打招呼时都会用一个很奇怪的手势。更奇怪的是，这个手势并不是每个人都能做的出来…
1002	Hunter Charles	查姆	2002	1301	1102	1202	1402	1501	1050	4	8	4	0	4	1002:31;1026:101;1025:201	1706:2:1603	1801:1:1601;1808:1:1603	1910:1:1603;1907:1:1602	1901	6:500	7002:10;6108:60	6:50	100	0	100	100	30	100	He grew up as the son of a biker gang member. He was able to travel with his dad and see the country eventually developing an affinity for speaking to people in bars and storytelling. When he finally decided to start his own life, he turned away from the motorcycles and headed to film to continue telling stories.	“路过的男孩哟，你掉的是这把金剑呢，还是这把银剑呢？”“不，我掉的是一把咖喱棒！“这段对话被路过的星探听到了，十分欣赏他的诚实，就把他带回了公司。不过，事情好像并没有这么简单…
1003	Patrick Jims	谢波	2003	1301	1102	1201	1401	1501	1072	8	4	4	0	4	1005:31;1018:101;1024:201	1703:1:1603	1812:2:1601;1803:1:1601	1922:1:1602;1929:1:1601	1901	6:500	7003:10;6102:60	6:50	100	0	100	100	30	100	A boy genius that became a biophysicist before he turned 18. Despite his sheer intellect in the biophysics field, he wanted to bring some recognition to the field outside of science. He though becoming an actor was the best way to get in touch with the general populace,	智商跟情商成反比的他至今已经成功气走了19个室友了，目测受害人数还要持续增加。但他本人似乎完全没有自觉，让经纪人也颇为无奈。
1004	Remy Jeans	斯诺	2004	1301	1102	1202	1401	1502	1082	4	8	4	4	0	1001:31;1060:101;1018:201	1705:2:1601	1809:1:1601;1808:1:1602	1911:1:1602;1921:1:1602	1901	6:500	7004:10;6108:60	6:50	100	0	100	100	30	100	A tall man, he was often cast in roles that he didn't necessarily want to play but made his acting count. His work ethic ensured he got more work and eventually had a few big hits that put him in people's memories forever.	天生体温比正常人高的他在冬天非常受欢迎，大家都知道这个演员不太冷。但是到了夏天…看着大家都对他避之不及，还是感觉有点可怜呢~
1005	Yi Zhang	章芬	2005	1301	1101	1203	1402	1501	1055	4	4	8	4	0	1001:31;1032:101;1022:201	1709:1:1602	1804:1:1602;1805:1:1603	1932:2:1601;1948:1:1603	1901	6:500	7005:10;6103:60	6:50	100	0	100	100	30	100	A girl who grew up writing her memoirs in a notebook after growing up in an abusive household. She learned that she had a way with words and that writing them down are not the only way to express them. She got into acting and now express her memoirs on screen.	在拍过多部电影之后，突然发现自己的真实兴趣，其实是写回忆录？不过据本人说拍电影可以为回忆录增加素材，所以目前并没有退出演艺事业的打算。
1006	Arissa Hadwell	凯特	2006	1301	1101	1202	1402	1501	1097	4	8	4	0	4	1003:31;1053:101;1050:201	1702:1:1602	1809:1:1603;1817:2:1603	1937:1:1601;1910:1:1602	1901	6:500	7006:10;6108:60	6:50	100	0	100	100	30	100	A tough actress with a prowess for stunts and acrobatic moves. She makes complicated moves look easy and can take down a man two times her size in less than 5 seconds.	大家都觉得打架是件跟优雅沾不上边的事，她用自己的表演给了所有人一个不同的答案：打架，也可以不失优雅。
