int	string	int	string	int	float	float	float	float	float
id	名称（内部用）	建筑等级（查看用）	效果说明	效果	效果参数1	效果参数2	效果参数3	效果参数4	效果参数5
id	tips	level	zh_cn_effect_des	effect	par1	par2	par3	par4	par5
100101	电影院	1	增加电影上映天数0天	1	0	0	0	0	0
100201	电影院	2	增加电影上映天数1天	1	1	0	0	0	0
100301	电影院	3	增加电影上映天数1天	1	1	0	0	0	0
100401	电影院	4	增加电影上映天数2天	1	2	0	0	0	0
100501	电影院	5	增加电影上映天数2天	1	2	0	0	0	0
100601	电影院	6	增加电影上映天数3天	1	3	0	0	0	0
100701	电影院	7	增加电影上映天数3天	1	3	0	0	0	0
100801	电影院	8	增加电影上映天数4天	1	4	0	0	0	0
100901	电影院	9	增加电影上映天数4天	1	4	0	0	0	0
101001	电影院	10	增加电影上映天数5天	1	5	0	0	0	0
101101	电影院	11	增加电影上映天数5天	1	5	0	0	0	0
101201	电影院	12	增加电影上映天数6天	1	6	0	0	0	0
101301	电影院	13	增加电影上映天数6天	1	6	0	0	0	0
101401	电影院	14	增加电影上映天数7天	1	7	0	0	0	0
101501	电影院	15	增加电影上映天数7天	1	7	0	0	0	0
101601	电影院	16	增加电影上映天数8天	1	8	0	0	0	0
101701	电影院	17	增加电影上映天数8天	1	8	0	0	0	0
101801	电影院	18	增加电影上映天数9天	1	9	0	0	0	0
101901	电影院	19	增加电影上映天数9天	1	9	0	0	0	0
102001	电影院	20	增加电影上映天数10天	1	10	0	0	0	0
102101	电影院	21	增加电影上映天数10天	1	10	0	0	0	0
102201	电影院	22	增加电影上映天数11天	1	11	0	0	0	0
102301	电影院	23	增加电影上映天数11天	1	11	0	0	0	0
102401	电影院	24	增加电影上映天数12天	1	12	0	0	0	0
102501	电影院	25	增加电影上映天数12天	1	12	0	0	0	0
102601	电影院	26	增加电影上映天数13天	1	13	0	0	0	0
102701	电影院	27	增加电影上映天数13天	1	13	0	0	0	0
102801	电影院	28	增加电影上映天数14天	1	14	0	0	0	0
102901	电影院	29	增加电影上映天数14天	1	14	0	0	0	0
103001	电影院	30	增加电影上映天数15天	1	15	0	0	0	0
103101	电影院	31	增加电影上映天数15天	1	15	0	0	0	0
103201	电影院	32	增加电影上映天数16天	1	16	0	0	0	0
103301	电影院	33	增加电影上映天数16天	1	16	0	0	0	0
103401	电影院	34	增加电影上映天数17天	1	17	0	0	0	0
103501	电影院	35	增加电影上映天数17天	1	17	0	0	0	0
103601	电影院	36	增加电影上映天数18天	1	18	0	0	0	0
103701	电影院	37	增加电影上映天数18天	1	18	0	0	0	0
103801	电影院	38	增加电影上映天数19天	1	19	0	0	0	0
