int	string	int	int	DTItemNum[]	int	DTBuildingReq[]	int	int[]	bool	int[]	string	string	int
id	建筑名称	建筑类型	建筑等级	消耗材料	需求等级	前置建筑	街区档位需求	开启功能	是否界面提示	效果	建筑作用	升级效果	楼层缩略图
id	zh_cn_name	type	level	cost	level_req	type_level	block_req	function_open	UI	effect_id	zh_cn_effect_tips	zh_cn_level_tips	building_small
1001	电影院	1	1	9001:22;2:705	1	1:0	1001	0	0	100101;100102	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1002	电影院	1	2	9001:25;2:1535	1	1:1	1001	0	0	100201;100202	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1003	电影院	1	3	9001:28;2:5000	1	1:2	1001	0	0	100301;100302	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1004	电影院	1	4	9001:31;2:19000	1	1:3	1001	0	0	100401;100402	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1005	电影院	1	5	9001:35;2:48000	1	1:4	1001	0	0	100501;100502	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1006	电影院	1	6	9001:42;2:64000	1	1:5	1001	0	0	100601;100602	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1007	电影院	1	7	9001:45;2:72000	1	1:6	1001	0	0	100701;100702	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1008	电影院	1	8	9001:49;2:96000	1	1:7	1001	0	0	100801;100802	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1009	电影院	1	9	9001:52;2:109000	1	1:8	1001	0	0	100901;100902	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1010	电影院	1	10	9001:56;2:146000	1	1:9	1001	0	0	101001;101002	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1011	电影院	1	11	9001:72;2:164000	1	1:10	1001	0	0	101101;101102	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1012	电影院	1	12	9001:80;2:218000	1	1:11	1001	0	0	101201;101202	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1013	电影院	1	13	9001:88;2:326000	1	1:12	1001	0	0	101301;101302	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1014	电影院	1	14	9001:96;2:434000	1	1:13	1001	0	0	101401;101402	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1015	电影院	1	15	9001:104;2:542000	1	1:14	1001	0	0	101501;101502	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1016	电影院	1	16	9001:120;2:758000	1	1:15	1001	0	0	101601;101602	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1017	电影院	1	17	9001:128;2:974000	1	1:16	1001	0	0	101701;101702	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1018	电影院	1	18	9001:137;2:1190000	1	1:17	1001	0	0	101801;101802	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1019	电影院	1	19	9001:145;2:1406000	1	1:18	1001	0	0	101901;101902	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1020	电影院	1	20	9001:154;2:1622000	1	1:19	1001	0	0	102001;102002	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1021	电影院	1	21	9001:174;2:2054000	1	1:20	1001	0	0	102101;102102	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1022	电影院	1	22	9001:192;2:2486000	1	1:21	1001	0	0	102201;102202	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1023	电影院	1	23	9001:210;2:2918000	1	1:22	1001	0	0	102301;102302	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1024	电影院	1	24	9001:228;2:3350000	1	1:23	1001	0	0	102401;102402	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1025	电影院	1	25	9001:246;2:3782000	1	1:24	1001	0	0	102501;102502	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1026	电影院	1	26	9001:281;2:4646000	1	1:25	1001	0	0	102601;102602	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1027	电影院	1	27	9001:300;2:5510000	1	1:26	1001	0	0	102701;102702	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1028	电影院	1	28	9001:320;2:6374000	1	1:27	1001	0	0	102801;102802	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1029	电影院	1	29	9001:339;2:7238000	1	1:28	1001	0	0	102901;102902	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1030	电影院	1	30	9001:358;2:8102000	1	1:29	1001	0	0	103001;103002	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1031	电影院	1	31	9001:401;2:9830000	1	1:30	1001	0	0	103101;103102	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1032	电影院	1	32	9001:421;2:11558000	1	1:31	1001	0	0	103201;103202	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1033	电影院	1	33	9001:442;2:13286000	1	1:32	1001	0	0	103301;103302	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1034	电影院	1	34	9001:462;2:15014000	1	1:33	1001	0	0	103401;103402	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1035	电影院	1	35	9001:482;2:16742000	1	1:34	1001	0	0	103501;103502	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1036	电影院	1	36	9001:532;2:18470000	1	1:35	1001	0	0	103601;103602	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1037	电影院	1	37	9001:554;2:20198000	1	1:36	1001	0	0	103701;103702	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1038	电影院	1	38	9001:576;2:21926000	1	1:37	1001	0	0	103801;103802	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1039	电影院	1	39	9001:597;2:23654000	1	1:38	1001	0	0	103901;103902	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1040	电影院	1	40	9001:619;2:25382000	1	1:39	1001	0	0	104001;104002	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1041	电影院	1	41	9001:676;2:27110000	1	1:40	1001	0	0	104101;104102	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1042	电影院	1	42	9001:699;2:28838000	1	1:41	1001	0	0	104201;104202	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1043	电影院	1	43	9001:722;2:30566000	1	1:42	1001	0	0	104301;104302	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1044	电影院	1	44	9001:744;2:32294000	1	1:43	1001	0	0	104401;104402	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1045	电影院	1	45	9001:767;2:34022000	1	1:44	1001	0	0	104501;104502	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1046	电影院	1	46	9001:832;2:35750000	1	1:45	1001	0	0	104601;104602	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1047	电影院	1	47	9001:856;2:37478000	1	1:46	1001	0	0	104701;104702	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1048	电影院	1	48	9001:880;2:39206000	1	1:47	1001	0	0	104801;104802	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1049	电影院	1	49	9001:904;2:40934000	1	1:48	1001	0	0	104901;104902	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
1050	电影院	1	50	9001:928;2:42662000	1	1:49	1001	0	0	105001;105002	解锁“放映”功能	提升电影上映时间和下映后的持续收益	2201
2001	摄影棚	2	1	9001:8;2:705	1	2:0;1:1	1001	3	1	200101;200102;200103;200104;200105	解锁“拍摄”功能	提升电影的属性	2202
2002	摄影棚	2	2	9001:13;2:1535	1	2:1	1001	0	0	200201;200202;200203;200204;200205	解锁“拍摄”功能	提升电影的属性	2202
2003	摄影棚	2	3	9001:17;2:5000	1	2:2	1001	0	0	200301;200302;200303;200304;200305	解锁“拍摄”功能	提升电影的属性	2202
2004	摄影棚	2	4	9001:22;2:19000	1	2:3	1001	0	0	200401;200402;200403;200404;200405	解锁“拍摄”功能	提升电影的属性	2202
