int	string	string	int	int	int	int	int[]	bool	int	DTItemNum[]	bool	int	int	int	int	string
id	名称	道具描述	图标	星级	类型	最大堆叠数量	获取途径	是否可使用	使用类型	使用奖励	是否可出售	出售价格	资产合成id	艺人id	艺人合成数量需求	获取途径说明
id	zh_cn_name	zh_cn_item_des	icon	star	type	max_num	get_way	can_use	use_type	reward	can_sell	price	syn_id	actor_id	actor_num	zh_cn_get_way_explain
1	钻石	钻石	2001	0	1	0	6;10	0	0		0	0	0	0	0	施工中
2	金币	金币	2002	0	2	0	2;5;15	0	0		0	0	0	0	0	施工中
3	美元	美元	2003	0	3	0	0	0	0		0	0	0	0	0	施工中
4	拍摄许可证	拍摄许可证	2004	0	10	2	0	0	0		0	0	0	0	0	施工中
5	粉丝	粉丝	2043	0	11	0	0	0	0		0	0	0	0	0	施工中
6	点赞	点赞	2044	0	12	0	0	0	0		0	0	0	0	0	施工中
7	生产图纸	生产图纸	2045	0	5	9999	0	0	0		0	0	0	0	0	施工中
8	期待	期待	2047	0	13	0	0	0	0		0	0	0	0	0	施工中
9	小秘书	小秘书	5038	0	0	0	0	0	0		0	0	0	0	0	施工中
14	奖杯	奖杯	2052	0	14	0	0	0	0		0	0	0	0	0	施工中
4001	飞船模型	飞船模型	2005	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4002	魔法杖	魔法杖	2006	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4003	笔记本电脑	笔记本电脑	2007	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4004	鸭舌帽	鸭舌帽	2008	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4005	破损头盔	破损头盔	2009	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4006	丛林部落雕像	丛林部落雕像	2010	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4007	盾牌	盾牌	2011	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4008	匕首	匕首	2012	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4009	黑色宽檐帽	黑色宽檐帽	2013	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4010	对讲机	对讲机	2014	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
4011	日记本	日记本	2015	0	4	9999	51;3	0	0		0	0	0	0	0	拍摄电影有时会得到周边产品，也可以通过完成生产能获得
