int	string	string	int	int	int	int	int	int	string	string	string	string	string	string	DTItemNum[]	int	bool	int
id	名称	name	触发条件|n|1等级|n|2播放完剧情	触发条件参数	任务要求:|n|1建造建筑|n|2升级建筑|n|3升级艺人|n|4招募艺人|n|5街道宣传|n|6进行路演|n|7占领城市|n|8拍摄电影|n|9查看电影收益|n|10领取电影收益次数|n|11提升关注度|n|12任命形象大使|n|13选择重点宣传城市|n|14领取城市收益|n|15进行生产|n|16完成订单|n|17处理公务|n|18接待粉丝|n|19领取电影收益数量	要求参数|n|1建筑ID|n|2建筑ID|n|3艺人等级|n|4拥有艺人数量|n|5街道ID|n|6城市ID|n|7城市ID|n|8拍摄电影数量|n|9打开收益界面|n|10领取收益次数|n|11电影关注度次数|n|12城市ID|n|13宣传城市ID|n|14领取城市收益数量|n|15生产次数|n|16完成订单数量|n|17处理公务数量|n|18接待粉丝次数|n|19领取电影收益数量	副要求参数|n|2建筑等级|n|3艺人数量|n|12形象大使数量	任务目标	简介	info	任务完成简介	completeinfo	内容	content	奖励	前置任务id	是否触发引导|n|0=否|n|1=是	引导id
id	cn_name	en_name	trigger	t_value	require	r_value	s_r_value	goal	cn_info	en_info	cn_cinfo	en_cinfo	cn_content	en_content	reward	pre_quest	guide	guide_id
1100	建造电影院		2	100302	1	1		1	打造属于我们自己的电影公司，从建造电影院开始~	B	电影院建好啦，这是我们伟大征程的第一步！	B	建造电影院	Bulid	9001:30;3:2000	0	1	100201
1101	建造摄影棚				1	2		1	建造摄影棚，踏出属于自己的影业生涯的第一步！		摄影棚建好啦，这是我们电影梦想的启航！		建造摄影棚		3:2000	1100	1	100301
1102	拍摄第一部电影				8	1		1	这是值得纪念的一天——亲手拍摄自己的第一部电影		亲自操刀负责的第一部电影拍摄完成，这是值得纪念的第一次。		拍摄第一部电影		2:2000	1101	1	100401
1103	查看电影持续收益				9	1		1	电影上映之后会随着上映天数而产生持续收益，所以记得定时去查看一下哦~		电影的持续收益在上映期间会不断增长，所以记得要定时查看一下喔~		查看电影持续收益		3:2000;9001:40	1102	1	100501
1104	领取电影持续收益				10	1		1	电影持续收益来自在不同地区上映、电影周边以及相关活动授权等多个方面。		电影上映地区、电影周边贩售以及合作活动都能带来收益，所以要记得定期去收取喔~		领取电影持续收益		3:2000;9004:30	1103	1	100601
1105	招募1个新艺人				1	3		1	要想拍出市场认可的高质量影片，我们需要招募更多的艺人！		更多的艺人就意味着我们有更大的可能拍出高质量的影片了！		招募1个新艺人		6:1000;3:2000	1104	1	100701
1106	将一位艺人升到5级				4	2		1	艺人招募成功才只是开始，我们还需要不断提升他们的实力，这样才能拍出更好的电影~		艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~		将一位艺人升到5级		2:2000;9001:40	1105	1	100801
1107	在星光大道完成宣传				3	5	1	1	酒香也怕巷子深，想要获取更高的关注度，我们必须主动出击~		从一个小街区开始，我们的影响力最终将会扩展至全球！		在星光大道完成宣传		9002:15;2:2000	1106	1	100901
