int	string	string	string	string	string
提示ID	key	所属模块	提示名称	提示内容-中文	提示内容-英文
id	key	module	name	zh_cn_notice	en_notice
1000	Msg_test	测试	测试	test	test
1001	account_name_long	账号信息	名称长度不对	名称规定长度为【4-18】	Name must by between 4-18 characters
1002	account_name_num	账号信息	名称为纯数字	名称不能为纯数字	Name cannot only be numerical
1003	account_name_space	账号信息	名称开头和结尾有空格	名称开头和结尾不能有空格	Name cannot start with a space
1004	account_name_repeat	账号信息	名称与原名相同	名称与原名相同	Name needs to be different from the original
1005	account_name_blockword	账号信息	名称中有屏蔽词	名称中有非法字符	Name has illegal characters
1006	account_name_repeatothers	账号信息	名称与其他玩家重名	该名称已被使用	Name already taken
1007	account_name_ok	账号信息	公司重命名成功	您的公司已更名为	Your company name is now:
1008	account_name_often	账号信息	频繁修改个性签名提示	个性签名每分钟只能修改一次	Personal intro can be changed once every minute
1009	produce_one_click	生产	一键生产	一共增加了{0}个生产队列	{0} product(s) added to the production line
1010	produce_warehouse_max	生产	一键领取达仓库上限	仓库已满，请提升仓库容量	Warehouse is at capacity - please upgrade
1011	produce_recvip_less	生产	街区等级不够	需要升到街区4档才能使用一键领取功能	Street Rank 4 required to use this function
1012	produce_item_less	生产	没有足够的道具	没有可以领取的道具，请先进行生产	No items to collect
1013	produce_paper_less	生产	没有足够的图纸	生产图纸不足	Insufficient blueprints
1014	produce_item_max	生产	生产线累计奖励到达上限	请先领取累计奖励	Please collect items first
1015	produce_line_max	生产	生产线队列到达上限	该生产线队列已达上限，请提升生产线等级	Production line max reached - please upgrade
1016	produce_pre_unlock	生产	前置生产线未解锁	需解锁前一生产线	Please unlock previous production line first
1017	produce_diamond_less	生产	钻石不足	钻石不足	Insufficient Diamonds
1018	produce_gold_less	生产	金币不足	金币不足	Insufficient Coins
1019	produce_provip_less	生产	街区等级不够	需要升到街区6档才能使用一键生产功能	
1020	produce_lines_max	生产	所有生产线队列到达上限	所有生产线队列已达上限，请提升生产线等级	All production lines have all reached capacity - please upgrade
1021	non_midia_visit	拍摄	未开启媒体访问提示	收到了几家综艺节目的通告邀请，打算上这部电影的主演上节目宣传，但是因为[商务部不足3级]，暂时无法接受邀请	Commece Department level 3 required to accept more invites
1022	movie_non_suitable_actor	拍摄	没有符合条件的艺人	此角色没有合适的艺人扮演	No qualified actors for this character
1023	movie_non_enough_actor	拍摄	没有足够数量的艺人	您需要更多的艺人扮演此角色	Hire more actors to fulfill more diverse roles
1024	movie_actor_recruit	拍摄	艺人招募提示	可在“星探”招募更多艺人	Hire more actors at the Talent Agency
1025	ranking_list_reset	拍摄	比赛排行重置提示	颁奖后重新分组并重置排名	Rerank and regroup after awards
1026	movie_stop_tips	拍摄	提前下映提示	提前结束只能领取剩余时间{0}%收益，您确定要提前结束吗？	You will only collect {0}% of your earnings. Are you sure you want to claim them early?
1027	ranking_list_tips1	排行	排行榜滚动文字1	好电影不一定大卖，烂电影基本都扑街	Good scripts may not always do well, but bad ones will always be a disappointment
1028	ranking_list_tips2	排行	排行榜滚动文字2	好的市场，如果遇到好电影，票房将难以想象	The right movie in the right market will do wonders
1029	movie_ranking_list_hidden	排行	票房排行隐藏显示提示	更多影片信息已隐藏	Movie details hidden
1030	block_upgrade_requirement	街区	街区升档需求提示	提升到{0}需要：	Rise to {0} requires:
1031	trophy_tips	街区	奖杯获取提示	每天22点奥斯卡可获得奖杯	Oskar rewards can be claimed at 22:00 everyday
1032	trophy_tips2	街区	奖杯获取补充提示	(每天比赛排名越高，票房大卖电影越多，奖杯就越多)	The higher your rank, the more movies you can shoot and the more trophies you can earn
1033	finished_block	街区	完成街区提示	您已经完成本档次的比赛，并获得下列奖励	Level complete! Below are your rewards
1034	cinema_sign	院线	院线签约	恭喜您签约{0}({1})，您可上映的院线数量增加至{2}家	Congrats! You've signed with {0}({1}), now your movie can be show in {2} theaters
1035	ranking_list_instruction1	排行榜	奖励说明1	每周一到周六，根据排名奖励钻石、羽毛笔、喇叭	Regular rank diamond, pen and trumpet awards are sent everyday Monday to Saturday
1036	ranking_list_instruction2	排行榜	奖励说明2	(前三名更有机会获得稀有5星艺人哈雷介绍信礼包)	Place in the top 3 and get an increased chance for a 5 star actor's contract pack
1037	ranking_list_instruction3	排行榜	奖励说明3	周日，根据排名奖励大量钻石和羽毛笔；第一名还拥有本服冠名权	Weekly rank diamond, pen and trumpet rewards are calculated on Sundays. The top ranked player will be able to rename the server for the week
1038	change_server_name	排行榜	修改服务器名称	请输入一个个性化的名称吧，每周只可修改一次哦！	Choose a name. Note that it can only be changed once a week
1039	choose_cinema	影城签约	未选择签约影城	请选择一个影城进行签约	Please choose a theater to sign a contract with
1040	movie_get_tips	拍摄	领取收益提示	最多只能有{0}部持续收益的电影，我们处理一下已经收益完毕的电影吧	You can only show {0} movies in theaters at the same time. Manage your currently showing movies first
1041	movie_story_coordination	拍摄	剧本契合提示	剧本不算难，应该可以演好	The script is straight forward, it'll be no problem
1042	movie_character_coordination	拍摄	角色契合提示	看同事演过这样的角色，应该没有问题	I've seen similar scripts, I'll be able to do it
1043	movie_story_character_coordination	拍摄	剧本角色契合提示	剧本和角色看起来并不算难，应该不会出岔子	The script looks interesting, I'll do it
1044	movie_none_coordination	拍摄	剧本角色无契合	第一次拍摄这样的电影，好紧张好期待啊！	I'm ready to try something new, let's get the show on the road
1049	movie_drop_tips	拍摄	电影掉落提示	这部电影票房{0}，我们获得了：	Movie sales: {0}. Here are you associated rewards:
1050	movie_too_much	拍摄	玩家拍摄次数过多	拍了太多相似的电影了	We've shot too many movies of this type right now
1051	movie_critical1	拍摄	市场风向暴击1	演员太疲劳，影响了电影质量	Our actors tiredness are affecting our movies' quality
1052	movie_critical2	拍摄	市场风向暴击2	最近市场上的同类电影似乎有点多	Too many similar movie types on the market right now
1053	movie_critical3	拍摄	市场风向暴击3	好像赶上了市场的潮流	We've captured the market's attention
1054	movie_critical4	拍摄	市场风向暴击4	突然间就火爆了起来	Our movie is an instant hit!
1060	movie_target_fail	拍摄	剧本目标未达成	拍摄目标没达成，无法获得影业协会颁发的奖励	Movie shooting goal was not met - cannot claim Movie Association reward
1061	movie_big_sell_tips	拍摄	电影未大卖提示	因为电影没有大卖，收藏家协会不予颁发宝物奖励	Movie sales were insufficient - cannot calim Collectors' Association reward
1062	earnings_over	拍摄	持续收益结束提示	收益已结束（比赛档次越高，持续收益就越高）	Earnings period ended (The higher your rank, the higher your earnings)
1063	oscar_non_rank_tips	奥斯卡	票房未入榜提示	未进入前50名	Top 50 not reached
1064	oscar_non_rank_tips2	奥斯卡	总票房未入榜提示	未进入前30名	Top 30 not reached
1065	oscar_non_movie_tips	奥斯卡	未拍摄电影提示	没有拍摄电影	No movies shot
1066	oscar_non_bigsell_tips	奥斯卡	未大卖提示	没有大卖电影	No popular selling movies
1067	oscar_non_target_tips	奥斯卡	未完成目标提示	未达成目标	Incomplete
1068	block_upgrade_msg	街区	街区升档提示	比赛档次提升，获得奖励	Rank up! Here are your rewards
1070	movie_big_sell1	拍摄	电影大卖报纸1	小制作大票房，{0}新片《{1}》剑指奥斯卡	An independent movie by {0}. We look forward o seeing {1} at the Oskars!
1071	movie_big_sell2	拍摄	电影大卖报纸2	{0}和{1}擦出火花，{2}新片{3}大受欢迎	We see sparks between {0} and {1}! {2}'s {3} is what everyone's talking about!
1072	movie_big_sell3	拍摄	电影大卖报纸3	{0}的新片{1}点燃市场	{0}'s new movie ,{1}, gives the market something to get excited about
1080	oscar_non_actor	奥斯卡	奥斯卡男演员无提名	很遗憾，并未有演员参加最佳男演员的候选，所以我们将不会颁发该奖项	Due to no nominations in this category, there will be no best actor award
1081	oscar_non_actress	奥斯卡	奥斯卡女演员无提名	很遗憾，并未有演员参加最佳女演员的候选，所以我们将不会颁发该奖项	Due to no nominations in this category, there will be no best actress award
1082	oscar_non_performance	奥斯卡	奥斯卡最佳表演无提名	很遗憾，并未有电影参加最佳表演电影的候选，所以我们将不会颁发该奖项	Due to no nominations in this category, there will be no best performance award
1083	oscar_non_art	奥斯卡	奥斯卡最佳艺术无提名	很遗憾，并未有电影参加最佳艺术电影的候选，所以我们将不会颁发该奖项	Due to no nominations in this category, there will be no best art film award
1084	oscar_non_popular	奥斯卡	奥斯卡最受欢迎无提名	很遗憾，并未有电影参加最受欢迎电影的候选，所以我们将不会颁发该奖项	Due to no nominations in this category, there will be no most popular film award
1085	oscar_actor	奥斯卡	奥斯卡最佳男演员	最佳男演员	Best Actor
1086	oscar_actress	奥斯卡	奥斯卡最佳女演员	最佳女演员	Best Actress
1087	oscar_performance	奥斯卡	奥斯卡最佳表演电影	最佳表演电影	Best Performance Film
1088	oscar_art	奥斯卡	奥斯卡最佳艺术电影	最佳艺术电影	Best Art Film
1089	oscar_popular	奥斯卡	奥斯卡最受欢迎电影	最受欢迎电影	Most Popular Film
1090	oscar_forbid_movie	拍摄	奥斯卡前禁止拍摄电影	为保证公平，奥斯卡颁奖前5分钟禁止拍摄电影	You cannot shoot a new movie 5 minutes before the Oskars
1091	non_deletable_mail	邮件	没有可删除的邮件	没有可删除的邮件	No mail to delete
1092	non_can_receive_mail	邮件	没有可领取的邮件	没有可领取的邮件	No gift to receive
1093	non_mail	邮件	空邮箱	您的收件箱中没有邮件！	Mail box is empty
1094	story_target_tips	拍摄	剧本有目标	有剧本目标奖励	Script goal rewards available
1095	story_non_target_tips	拍摄	剧本没有目标	没有目标奖励（需2星以上剧本）	No script goal (Requres 2+ stars)
1096	story_midia_tips	拍摄	媒体评价提示	评价越高，点赞数越多，电影节越容易获奖。（有时还能提升票房）	High reviews and lots of likes gives a higher chance of a filmfest reward
1097	null_id	合作	id无效	无效的id	Invalid ID
1098	cooperated_player	合作	目标玩家已合作	该玩家已有合作伙伴！	This player already has a partner
1099	no_cooperation_num	合作	本周合作次数不足	本周合作伙伴太多了，请等待下周吧！	Weekly cooperation max reached
1100	no_cooperation_orders	合作	没有未完成的订单	没有未完成的订单	All orders completed
1101	relieve_cooperation	合作	解除合作	是否解除合作关系？|n|注意：每周只能和三家不同的公司进行合作	Are you sure you want to end this cooperation? |n| remember: you can only cooperate with 3 different companies a week
1102	repetition_cooperation	合作	重复邀请	邀请已发送，请等待对方回应	Invite sent, awaiting a reply
1103	null_actor_send	仓库	赠送资产	请选择艺人	Choose an actor
1104	build_confirm	建筑	建造确认	是否建造{0}？	Construct {0}?
1105	build_non_material	建筑	材料不足	{0}数量不足	Insufficient {0}
1106	build_non_level	建筑	等级不足	需要公司等级{0}	Requires company level {0}
1107	build_non_prebuilding	建筑	没有前置建筑	需要建造{0}{1}	Requires {0} {1}
1108	build_non_block	建筑	街区档次不足	需要提升到{0}	Requires rank {0}
1109	build_be_builded	建筑	房间已建造提示	已建造	Already constructed
1110	movie_market_bad1	拍摄	剧本与市场观众对比差1	目前关于我们要拍摄的《{0}》的消息转发数量并不多，感觉题材和观众喜好有点不匹配	Our {0} movie post was shared very rarely. It seems the content did connect with the audience
1111	movie_market_bad2	拍摄	剧本与市场观众对比差2	对我们准备拍摄的《{0}》的报道有点少，感觉和当前观众想看的有点偏差……	There's only a few positive comments for {0}, it seems the idea didn't take too well with people
1112	movie_market_good1	拍摄	剧本和市场观众对比好1	很多观众打电话和我们确认是不是真的要拍《{0}》，感觉大家都很期待这个题材的电影！	A lot of people are asking about {0}, it seems a lot of buzz is going around!
