int	int	string	DTItemNum[]	DTItemNum	string	DTItemNum	int
编号	所属大类	道具名称	道具ID，数量	售价	时间段购买	限购1=每日2=每周	特殊处理1=普通2=等级表“商店金币换算”3=等级表“商店美元换算”
id	type	zh_cn_name	item	cost	period	limit	special
1001	1	许可证	4:1	1:180	18:00-20:00	1:1	1
1002	1	点赞数	6:500	1:150	0	1:10	1
1003	1	宣传册	2:2200	1:50	0	1:10	2
1004	1	图纸	3:3300	1:50	0	1:10	3
1005	1	钢材	5005:30	1:60	0	1:20	1
1006	1	水泥	7:10	1:80	0	1:10	1
1007	1	涂料	9001:10	1:80	0	1:10	1
1008	1	砖头	9003:10	1:80	0	1:10	1
1009	1	培养手册	9002:10	1:80	0	1:10	1
1010	1	改名卡	9004:10	1:300	0	1:5	1
1011	1	忠诚奖章	5001:1	1:150	0	2:10	1
1012	1	星探放大镜	5008:1	1:280	0	2:1	1
1013	1	点赞数特惠礼包	5003:1	1:300	0	2:10	1
1014	1	建材特惠礼包	5007:1	6:1000	0	1:5	1
1015	2	性别资产礼包	6:5000;5001:5;5005:100	1:2000	0	2:25	1
1016	2	国籍资产礼包	9001:50;9003:50;9002:50;9004:50	1:2250	0	2:25	1
1017	2	类型资产礼包	6105:250;6104:250;7:20;5005:100	1:2000	0	2:25	1
1018	2	年龄资产礼包	6103:180;6109:180;6102:180;7:20;5005:100	1:2000	0	2:25	1
1019	2	类型资产礼包	6108:250;6106:250;7:20;5005:100	1:2000	0	2:25	1
1020	2	年龄资产礼包	6107:250;6101:250;7:20;5005:100	1:2000	0	2:25	1
