int	int	int	int	string	string	string	string	string	string	int	int[]	int	float	int
ID|n|技能主ID*100+技能等级	技能组ID	技能等级	升级经验	英文名字	中文名字	技能描述	中文描述	英文效果文字	中文效果文字	技能ICON	触发条件|n|多个条件时，满足一个就会触发	技能效果	效果参数	体力消耗
id	group_id	lv	exp	en_name	cn_name	en_tips	cn_tips	en_effecttext	cn_effecttext	icon	trigger	effect	value	stamina
100101	1001	1	10	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	2.5	0
100102	1001	2	20	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	5	0
100103	1001	3	30	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	7.5	0
100104	1001	4	40	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	10	0
100105	1001	5	50	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	12.5	0
100106	1001	6	60	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	15	0
100107	1001	7	70	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	17.5	0
100108	1001	8	80	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	20	0
100109	1001	9	90	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	22.5	0
100110	1001	10	100	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	25	0
100111	1001	11	110	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	27.5	0
100112	1001	12	120	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	30	0
100113	1001	13	130	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	32.5	0
100114	1001	14	140	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	35	0
100115	1001	15	150	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	37.5	0
100116	1001	16	160	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	40	0
100117	1001	17	170	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	42.5	0
100118	1001	18	180	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	45	0
100119	1001	19	190	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	47.5	0
100120	1001	20	200	Money Attractor	吸金达人	Increase {0}% of the speed of earning coins when send actors to cities	当派遣演员去城市时,赚取金币速度+{0}%	Increase {0}% of coin earning speed	赚取金币速度+{0}%	1501	1001	1001	50	0
100201	1002	1	10	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	0.5	0
100202	1002	2	20	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	1	0
100203	1002	3	30	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	1.5	0
100204	1002	4	40	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	2	0
100205	1002	5	50	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	2.5	0
100206	1002	6	60	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	3	0
100207	1002	7	70	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	3.5	0
100208	1002	8	80	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	4	0
100209	1002	9	90	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	4.5	0
100210	1002	10	100	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	5	0
100211	1002	11	110	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	5.5	0
