int	string	string	string
ID	英文文字	中文文字	备注
id	en_speak	cn_speak	tips
1001	When can I get an Oskar award…	什么时候才能得到小金人啊	楼层站立
1002	I'm that close to the award yeasterday!	昨天差一点就获得小金人了,好可惜	楼层站立
1003	I'm gonna do exercise today!	今天要健身减肥	楼层站立
1004	I'm too tired to shoot movies today…	今天太累了,不想拍电影了	楼层站立
1005	Do I have visitor today?	今天有影迷要找我吗	楼层站立
1006	I'm the guarantee of box-office!	我拍的电影一定大卖	楼层站立
1007	This guy looks funny when he slipped	那家伙摔倒了,很滑稽	楼层站立
1008	I heard we have a new actor, I'm gonna try him out!	听说来了个很厉害的新人,我要恶搞一下	楼层站立
1009	Someone is singing and it's disturbing	又有人在唱歌扰民了	楼层站立
1010	Hey can you be quiet, upstairs?	楼上的家伙安静点	楼层站立
1011	Who tossed the banana peel here? Hope no one got slipped	谁丢的香蕉皮,希望没人看到	楼层摔倒
1012	You saw me fall and don't help me up?	看到我摔倒了还不快扶我起来	楼层摔倒
1013	I should win a Oskar by this flopping	我的这次假摔可是奥斯卡影帝级别的	楼层摔倒
1014	Everybody thinks I can sing better than Justin Bieber!	大家都说我唱的比贾斯丁比伯好听	楼层唱歌
1015	I'm gonna be worned out by the never ending concerts to come…	今年还有99场演唱会,我会累死的	楼层唱歌
1016	I got no comptitor if I'm a singer!	我去参加好声音,就没其他选手什么事情了	楼层唱歌
1017	Come on! Let's dance to the beats!	跟着音乐一起跳舞	楼层跳舞
1018	Follow my step and try again!	跟着我的节拍,再来一次	楼层跳舞
1019	I'm as elegant as a swan when I'm dancing	我跳舞的时候,就像一只天鹅	楼层跳舞
1020	Good morning, and in case I don't see you, good afternoon, good evening, and good night!	如果再也不能见到你，祝你早安，午安，晚安。	楼层朗诵
1021	Life was a box of chocolates,you never know what you're gonna get	生活就像一盒巧克力，你永远不知道下一块会是什么味道。	楼层朗诵
1022	When you think it is most difficult, it is when you are closest to success.	当你最认为困难的时候，其实就是你最接近成功的时候。	楼层朗诵
1023	You jump ,I jump.	You jump ,I jump.	楼层朗诵
1024	We're gonna get big sell on this!	加油!肯定会大卖的	楼层欢呼
1025	Just do it	just do it	楼层欢呼
1026	Let's take Oskar by this!	为了小金人,冲啊	楼层欢呼
3101	I'm about to see {0}! So excited!	就要看到{0}了，真激动！	粉丝探班1
3102	Heard there's fans visiting?	听说有粉丝来了	粉丝探班1
3103	I finally got to see you!	呀，终于看到你了！	粉丝探班1
3104	It's you! I remember you from last show	咦，是你！上次首演我看到你了。	粉丝探班1
3105	Yeah it's me!!! OMG you remember me!	对对对，是我是我，你竟然记得我！	粉丝探班1
3106	I remember every fans!	我记得我的每一个粉丝	粉丝探班1
3201	I'm wearing my best suit for today!	为了今天我特地穿了最喜欢的衣服！	粉丝探班2
3202	My fans are the best!	我的粉丝是最棒的！	粉丝探班2
3203	This rose represents my love for you，{0}!	{0}，请接受我的鲜花！	粉丝探班2
3204	Well roses are always welcome!	来就来嘛，怎么不多带点鲜花	粉丝探班2
3205	Well there's no discount in flower shop today…I'll buy more when next time they are on sale!	今天花店没打折，下次打折我多买点过来	粉丝探班2
3206	You only buy flowers for me when it's on sale?!	竟然要买打折货？！	粉丝探班2
3301	This day finaaaally comes! I'm going to see {0} in reality!	好激动，这次终于能看到{0}了。	粉丝探班3
3302	I have a bad feeling…	有种不好的感觉	粉丝探班3
3303	Do you remember me?	是我是我，你还记得我吗？	粉丝探班3
3304	I'm sorry, but you are…?	不好意思不记得，你是？	粉丝探班3
3305	I stalked you last night! Did you forget?	上次，晚上，就是我跟踪你的！	粉丝探班3
3306	What! Guards! Guards!	啊，原来是你，保安！保安！	粉丝探班3
3401	Oh my gosh!!!	忍不住了，我想变身！	粉丝探班4
3402	That feels familiar	感觉到熟悉的气息	粉丝探班4
3403	wE!" y17$T 7UPC NT$E- El&v-	wE!" j17$T 7MPC NU$E- Ej&v-	粉丝探班4
3404	I beg you pardon?	你说啥？	粉丝探班4
3405	Oh please forgive me, that's what we say in M87 planet	呀，一个不小心说出M87星语了	粉丝探班4
3406	NT$E-I'm from M87 planet too!	NU$E- Ej&v-，我也是M87星的！	粉丝探班4
3501	Grandma, I'm gonna see your favorite actor—{0} today!	奶奶，我就要看到你最喜欢的{0}了！	粉丝探班5
3502	The wine is really good	今天的红酒真好喝！	粉丝探班5
3503	{0}, you've been my grandma's idol since she's a little kid!	{0}，我奶奶说她从小就很喜欢你！	粉丝探班5
3504	umm…am I that old?	啊，我有那么老吗？	粉丝探班5
3505	No I mean your spirit makes my grandma feel younger too!	呸呸，我是说我奶奶看到你就像回到小时候！	粉丝探班5
3506	Well would you send her my regards?	代我谢谢你奶奶！	粉丝探班5
3601	What should I say?	待会儿要怎么说呢？	粉丝探班6
3602	It's a wonderful day~	今天心情真好！	粉丝探班6
3603	Run! {0}! There's gonna be a earthquake cause my love for you can shake the ground!	{0}快跑，这里快要发生地震了！	粉丝探班6
3604	okay then well should I run to?	真的吗？那要往哪逃？	粉丝探班6
