int	int	int	int	int	int	int	string	int	string	string	string	string	string	string	int	DTItemNum
id|n|剧情组*100+顺序	触发条件|n|1新建账号初次登录游戏|n|2点击按钮|n|3点击icon|n|4选择完初始演员|n|5完成街道宣传|n|6完成城市路演|n|7完成建造|n|8完成前置引导|n|9打开界面|n|10第一次拍摄,点击提交后|n|11第一部电影上映|n|12完成前置剧情	触发条件参数|n|1无|n|2无|n|3无|n|4无|n|5街道ID|n|6城市ID|n|7建筑ID|n|8引导ID|n|9界面ID|n|10无|n|11无|n|12剧情组ID	是否触发引导|n|0=否|n|1=引导|n|2=剧情	触发引导id	剧情组	顺序	调用半身像id|n|{name}=主角半身像|n|{actor}=初始艺人半身像	调用界面|n|0=无|n|1=人物介绍|n|2=初始艺人界面|n|3=海报界面	界面内容|n|{name}主角名字	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	content|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称	Avatar name	半身像位置:|n|1=左中|n|2=右中	剧情产出收益:|n|物品id，物品数量
id	trigger	value	guide_type	guide_id	group	order	type_id	ui_type	cn_ui_content	en_ui_content	cn_content	en_content	cn_name	en_name	anchor	reward
100101	1				1001	1	1001				哟，你过来啦！这是按照你的要求买下的影院，我们的事业就要从这开始啦。看来你对这件事真的是认真的。	哟，你过来啦！这是按照你的要求买下的影院，我们的事业就要从这开始啦。看来你对这件事真的是认真的。	柏妮塔	Bonita	1	
100102					1001	2	1001	1	Bonita Fernandez|n|你演艺生涯中合作过多次的制片人，她已经受够了传统电影业的折磨，因为你提出想要改变整个电影制片业的规则而决心加入你的公司来帮助你	Bonita Fernandez|n|你演艺生涯中合作过多次的制片人，她已经受够了传统电影业的折磨，因为你提出想要改变整个电影制片业的规则而决心加入你的公司来帮助你			柏妮塔	Bonita	1	
100103					1001	3	{name}				哈哈，那当然。我们的准备工作如何了？	哈哈，那当然。我们的准备工作如何了？	{name}	{name}	2	
100104					1001	4	1001				影院本身的设施都还能用，就是打扫可费了一番功夫呢~ 接下来就等你决定什么时候正式开业啦！	影院本身的设施都还能用，就是打扫可费了一番功夫呢~ 接下来就等你决定什么时候正式开业啦！	柏妮塔	Bonita	1	
100105					1001	5	{name}				好的，辛苦你了。那我们这就开始吧！	好的，辛苦你了。那我们这就开始吧！	{name}	{name}	2	
100106			1	100101	1001	6	1001				好，就等你这句话啦！	好，就等你这句话啦！	柏妮塔	Bonita	1	
100201					1002	1	1001				不过，有一个很现实的问题摆在我们面前...巨星影业知道了你的打算，已经要挟跟他们有合作关系的发行方都不能把影片交给我们放映，也不允许放我们摄制的电影。	不过，有一个很现实的问题摆在我们面前...巨星影业知道了你的打算，已经要挟跟他们有合作关系的发行方都不能把影片交给我们放映，也不允许放我们摄制的电影。	柏妮塔	Bonita	1	
100202					1002	2	{name}				呵，没事，既然这样，那我们就自己拍自己放。将来他们就得过来求我们把影片给他们去放映了！还好我当演员也攒下了不少积蓄，让我们开工吧！	呵，没事，既然这样，那我们就自己拍自己放。将来他们就得过来求我们把影片给他们去放映了！还好我当演员也攒下了不少积蓄，让我们开工吧！	{name}	{name}	2	2:5000
100203					1002	3	1001		获得启动资金	获得启动资金					1	
100204					1002	4	{name}				你还真是说做就做，不过我也就是看中这一点才跟着你干啦。那我们先把电影院建起来吧！	你还真是说做就做，不过我也就是看中这一点才跟着你干啦。那我们先把电影院建起来吧！	柏妮塔	Bonita	2	
100205					1002	5	1001				okay，那么电影院的建造就交给你来安排，我去负责招募我们的第一批演员。	okay，那么电影院的建造就交给你来安排，我去负责招募我们的第一批演员。	{name}	{name}	1	
100206			2	999901	1002	6	{name}				说到这个，我想既然巨星影业能做出让发行方不给我们上映影片的行径，肯定也给演员们都下了禁令吧。	说到这个，我想既然巨星影业能做出让发行方不给我们上映影片的行径，肯定也给演员们都下了禁令吧。	柏妮塔	Bonita	2	
999901	12	1002			9999	1		2	选择初始艺人界面							
100301	4				1003	1	{name}				好啦，你看，我们的第一个演员已经到啦！	好啦，你看，我们的第一个演员已经到啦！	{name}	{name}	1	
100302					1003	2	1001				哟，你还真是挺能干的嘛！嗯…看起来是挺专业的样子。希望表现也能同样专业就行~那我们来看看电影院的建造吧！	哟，你还真是挺能干的嘛！嗯…看起来是挺专业的样子。希望表现也能同样专业就行~那我们来看看电影院的建造吧！	柏妮塔	Bonita	2	
100401					1004	1		3	传闻{name}公司,进军影视业							
100402					1004	2	1001				好，我也联系了一些投资人，他们对你的新生意很感兴趣，所以也给了我们一笔启动资金，算是初始投资。	好，我也联系了一些投资人，他们对你的新生意很感兴趣，所以也给了我们一笔启动资金，算是初始投资。	柏妮塔	Bonita	2	2:5000
100403					1004	3	{name}		获得启动资金	获得启动资金					1	
100404					1004	4	1001				哈，还算他们有眼光	哈，还算他们有眼光	{name}	{name}	2	
100405					1004	5	{name}				他们还表示随着我们的发展会考虑追加投资喔，之后我也会及时提醒你这些事宜啦。	他们还表示随着我们的发展会考虑追加投资喔，之后我也会及时提醒你这些事宜啦。	柏妮塔	Bonita	1	
100406					1004	6	1001				谢谢，真是太可靠啦~	谢谢，真是太可靠啦~	{name}	{name}	2	
100407					1004	7	{name}				那当然，这也是我的工作之一嘛。	那当然，这也是我的工作之一嘛。	柏妮塔	Bonita	1	
100408					1004	8	1001				好，那我们就从拍第一部电影开始，相信我们迟早能打败巨星影业！	好，那我们就从拍第一部电影开始，相信我们迟早能打败巨星影业！	{name}	{name}	2	
100501					1005	1	1001				行了，演员就位，摄影棚也好了，让我们开始拍摄电影吧！	行了，演员就位，摄影棚也好了，让我们开始拍摄电影吧！	柏妮塔	Bonita	1	
100601					1006	1	{name}				这几个剧本看起来都还不错，你觉得呢？	这几个剧本看起来都还不错，你觉得呢？	{name}	{name}	1	
100602					1006	2	1001				不同的剧本有不同的受众类型，我们拍摄当然也要根据当前市场调查情况来进行选择。	不同的剧本有不同的受众类型，我们拍摄当然也要根据当前市场调查情况来进行选择。	柏妮塔	Bonita	2	
100603					1006	3	1001				不过，目前我们还没有自己的市场部，只能先凭直觉选一部了吧。	不过，目前我们还没有自己的市场部，只能先凭直觉选一部了吧。	柏妮塔	Bonita	2	
100604					1006	4	{name}				凭感觉？那就交给我吧~就借助面具的力量来看看哪个剧本的潜力最高好了！	凭感觉？那就交给我吧~就借助面具的力量来看看哪个剧本的潜力最高好了！	{name}	{name}	1	
100701					1007	1	1001				现在我们要开始考虑选角啦，虽说我们以前都有过诸如“这部戏要是换成某某某演肯定要好的多了”这种想法，我可要提醒你，别全凭个人喜好来决定喔！	现在我们要开始考虑选角啦，虽说我们以前都有过诸如“这部戏要是换成某某某演肯定要好的多了”这种想法，我可要提醒你，别全凭个人喜好来决定喔！	柏妮塔	Bonita	1	
100702					1007	2	{name}				你清醒一点…就算我想，我们现在也才只有一个艺人啊，难不成你想让我把我自己也算上？那你可不能说我偏袒自己啦~	你清醒一点…就算我想，我们现在也才只有一个艺人啊，难不成你想让我把我自己也算上？那你可不能说我偏袒自己啦~	{name}	{name}	2	
100703					1007	3	1001				也是…诶，那没得挑了，直接让我们唯一的演员上吧！	也是…诶，那没得挑了，直接让我们唯一的演员上吧！	柏妮塔	Bonita	1	
100704					1007	4	{name}				哈哈，虽然目前只有一个，但我们这位唯一的演员可是很有爆发力的哦！	哈哈，虽然目前只有一个，但我们这位唯一的演员可是很有爆发力的哦！	{name}	{name}	2	
100801	10				1008	1	{name}				我们现在旗下签约演员不够，所以剧本里其他角色只能先让临时演员顶一下了。	我们现在旗下签约演员不够，所以剧本里其他角色只能先让临时演员顶一下了。	{name}	{name}	1	
100802					1008	2	1001				从好的方面想，我们不用给临时演员付片酬。	从好的方面想，我们不用给临时演员付片酬。	柏妮塔	Bonita	2	
100803					1008	3	{name}				况且，有了那个面具，每个演员能给电影各项属性做出多少贡献都一目了然…）	况且，有了那个面具，每个演员能给电影各项属性做出多少贡献都一目了然…）	{name}	{name}	1	
100804					1008	4	1001				果然是大明星不差钱~ 我当然明白啦，毕竟好剧本加好演员才能对影片质量有所保证嘛。	果然是大明星不差钱~ 我当然明白啦，毕竟好剧本加好演员才能对影片质量有所保证嘛。	柏妮塔	Bonita	2	
100901	11				1009	1	1001				好啦，一部电影基本到现在就算拍摄完成了，感觉如何？	好啦，一部电影基本到现在就算拍摄完成了，感觉如何？	柏妮塔	Bonita	1	
100902					1009	2	{name}				以前还真没完整体验过整个拍摄流程…不管怎么说，等这部电影上映我们要尽快招募更多艺人啦，至少下次另一位主角不能再用临时演员顶替了。	以前还真没完整体验过整个拍摄流程…不管怎么说，等这部电影上映我们要尽快招募更多艺人啦，至少下次另一位主角不能再用临时演员顶替了。	{name}	{name}	2	
100903					1009	3	{actor}				终于杀青了，希望上映后能吸引来我们的第一批粉丝	终于杀青了，希望上映后能吸引来我们的第一批粉丝	{actor}	{actor}	1	
