int	int	int	string	string	string	string	string	string	DTItemNum[]	int
编号	调用NPC的ID	是否携带鲜花，1=携带0=不携带	粉丝开场白	艺人开场白	粉丝第一句话	艺人第一句话	粉丝第二句话	艺人第二句话	普通奖励	期待奖励
id	fans	flower	zh_cn_fans_speak0	zh_cn_actor_speak0	zh_cn_fans_speak1	zh_cn_actor_speak1	zh_cn_fans_speak2	zh_cn_actor_speak2	reward	expect
1001	101	0	就要看到{0}了，真激动！	听说有粉丝来了	呀，终于看到你了！	咦，是你！上次首演我看到你了。	对对对，是我是我，你竟然记得我！	我记得我的每一个粉丝	9001:3	6
1002	102	1	为了今天我特地穿了最喜欢的衣服！	我的粉丝是最棒的！	{0}，请接受我的鲜花！	来就来嘛，怎么不多带点鲜花	今天花店没打折，下次打折我多买点过来	竟然要买打折货？！	9002:3	7
1003	101	0	好激动，这次终于能看到{0}了。	有种不好的感觉	是我是我，你还记得我吗？	不好意思不记得，你是？	上次，晚上，就是我跟踪你的！	啊，原来是你，保安！保安！	9001:3	8
1004	102	1	忍不住了，我想变身！	感觉到熟悉的气息	wE!" j17$T 7MPC NU$E- Ej&v-	你说啥？	呀，一个不小心说出M87星语了	NU$E- Ej&v-，我也是M87星的！	9002:3	9
1005	101	0	奶奶，我就要看到你最喜欢的{0}了！	今天的红酒真好喝！	{0}，我奶奶说她从小就很喜欢你！	啊，我有那么老吗？	呸呸，我是说我奶奶看到你就像回到小时候！	代我谢谢你奶奶！	9001:3	7
1006	102	1	待会儿要怎么说呢？	今天心情真好！	{0}快跑，这里快要发生地震了！	真的吗？那要往哪逃？	跟我走，我刚找到一个很隐蔽的地窖！	怎么有种不好的感觉？	9001:3	8
1007	101	0	刚才那道题怎么解来着？	头疼，今天真不舒服	{0}，可以帮我一个忙吗？	好的呀，你要做什么？	这是我今天的家庭作业，帮我做一下呗！	啊，头晕，不好意思我先撤了。	9002:3	9
1008	102	1	能不能找到工作就看这一把了！	哪个粉丝这么有眼光？	{0}，我可以帮你工作吗？	好的呀，你会做什么？	我会吃！	不好意思，这个我也会。	9002:3	7
1009	101	0	今天天气好晴朗~~	好像听到谁在唱歌。	{0}，我唱歌好不好听！	好听好听，简直比我演唱会还棒！	嘻嘻，我就知道你会这么说，虽然我也这么觉得	呵呵，你开心就好！	9002:3	8
