int	string
ID|n|星级*10000+助理类型*1000+等级	助理英文名字
id	name
13011000	Public Relationship
13011001	Public Relationship
13011002	Public Relationship
13011003	Public Relationship
13011004	Public Relationship
13011005	Public Relationship
13011006	Public Relationship
13011007	Public Relationship
13011008	Public Relationship
13011009	Public Relationship
13011010	Public Relationship
13011011	Public Relationship
13011012	Public Relationship
13011013	Public Relationship
13011014	Public Relationship
13011015	Public Relationship
13011016	Public Relationship
13011017	Public Relationship
13011018	Public Relationship
13011019	Public Relationship
13011020	Public Relationship
13011021	Public Relationship
13011022	Public Relationship
13011023	Public Relationship
13011024	Public Relationship
13011025	Public Relationship
13011026	Public Relationship
13011027	Public Relationship
13011028	Public Relationship
13011029	Public Relationship
13011030	Public Relationship
13011031	Public Relationship
13011032	Public Relationship
13011033	Public Relationship
13011034	Public Relationship
13011035	Public Relationship
13011036	Public Relationship
13011037	Public Relationship
13011038	Public Relationship
13011039	Public Relationship
13011040	Public Relationship
13011041	Public Relationship
13011042	Public Relationship
13011043	Public Relationship
13011044	Public Relationship
13011045	Public Relationship
13011046	Public Relationship
13011047	Public Relationship
13011048	Public Relationship
13011049	Public Relationship
13011050	Public Relationship
13011051	Public Relationship
13011052	Public Relationship
13011053	Public Relationship
13011054	Public Relationship
13011055	Public Relationship
13011056	Public Relationship
13011057	Public Relationship
13011058	Public Relationship
13011059	Public Relationship
13011060	Public Relationship
13011061	Public Relationship
13011062	Public Relationship
13011063	Public Relationship
13011064	Public Relationship
13011065	Public Relationship
13011066	Public Relationship
13011067	Public Relationship
13011068	Public Relationship
13011069	Public Relationship
13011070	Public Relationship
13011071	Public Relationship
13011072	Public Relationship
13011073	Public Relationship
13011074	Public Relationship
13011075	Public Relationship
13011076	Public Relationship
13011077	Public Relationship
13011078	Public Relationship
13011079	Public Relationship
13011080	Public Relationship
13011081	Public Relationship
13011082	Public Relationship
13011083	Public Relationship
13011084	Public Relationship
13011085	Public Relationship
13011086	Public Relationship
13011087	Public Relationship
13011088	Public Relationship
13011089	Public Relationship
13011090	Public Relationship
13011091	Public Relationship
13011092	Public Relationship
13011093	Public Relationship
13011094	Public Relationship
13011095	Public Relationship
13011096	Public Relationship
13011097	Public Relationship
13011098	Public Relationship
13011099	Public Relationship
13011100	Public Relationship
13012000	Style
13012001	Style
13012002	Style
13012003	Style
13012004	Style
13012005	Style
13012006	Style
13012007	Style
13012008	Style
13012009	Style
13012010	Style
13012011	Style
13012012	Style
13012013	Style
13012014	Style
13012015	Style
13012016	Style
13012017	Style
13012018	Style
13012019	Style
13012020	Style
13012021	Style
13012022	Style
13012023	Style
13012024	Style
13012025	Style
13012026	Style
13012027	Style
13012028	Style
13012029	Style
13012030	Style
13012031	Style
13012032	Style
13012033	Style
13012034	Style
13012035	Style
13012036	Style
13012037	Style
13012038	Style
13012039	Style
13012040	Style
13012041	Style
13012042	Style
13012043	Style
13012044	Style
13012045	Style
13012046	Style
13012047	Style
13012048	Style
13012049	Style
13012050	Style
13012051	Style
13012052	Style
13012053	Style
13012054	Style
13012055	Style
13012056	Style
13012057	Style
13012058	Style
13012059	Style
13012060	Style
13012061	Style
13012062	Style
13012063	Style
13012064	Style
13012065	Style
13012066	Style
13012067	Style
13012068	Style
13012069	Style
13012070	Style
13012071	Style
13012072	Style
13012073	Style
13012074	Style
13012075	Style
13012076	Style
13012077	Style
13012078	Style
13012079	Style
13012080	Style
13012081	Style
13012082	Style
13012083	Style
13012084	Style
13012085	Style
13012086	Style
13012087	Style
13012088	Style
13012089	Style
13012090	Style
13012091	Style
13012092	Style
13012093	Style
13012094	Style
13012095	Style
13012096	Style
13012097	Style
13012098	Style
13012099	Style
13012100	Style
13013000	Lifestyle
13013001	Lifestyle
13013002	Lifestyle
13013003	Lifestyle
13013004	Lifestyle
13013005	Lifestyle
13013006	Lifestyle
13013007	Lifestyle
13013008	Lifestyle
13013009	Lifestyle
13013010	Lifestyle
13013011	Lifestyle
13013012	Lifestyle
13013013	Lifestyle
13013014	Lifestyle
13013015	Lifestyle
13013016	Lifestyle
13013017	Lifestyle
13013018	Lifestyle
13013019	Lifestyle
13013020	Lifestyle
13013021	Lifestyle
13013022	Lifestyle
13013023	Lifestyle
13013024	Lifestyle
13013025	Lifestyle
13013026	Lifestyle
13013027	Lifestyle
13013028	Lifestyle
13013029	Lifestyle
13013030	Lifestyle
13013031	Lifestyle
13013032	Lifestyle
13013033	Lifestyle
13013034	Lifestyle
13013035	Lifestyle
13013036	Lifestyle
13013037	Lifestyle
13013038	Lifestyle
13013039	Lifestyle
13013040	Lifestyle
13013041	Lifestyle
13013042	Lifestyle
13013043	Lifestyle
13013044	Lifestyle
13013045	Lifestyle
13013046	Lifestyle
13013047	Lifestyle
13013048	Lifestyle
13013049	Lifestyle
13013050	Lifestyle
13013051	Lifestyle
13013052	Lifestyle
13013053	Lifestyle
13013054	Lifestyle
13013055	Lifestyle
13013056	Lifestyle
13013057	Lifestyle
13013058	Lifestyle
13013059	Lifestyle
13013060	Lifestyle
13013061	Lifestyle
13013062	Lifestyle
13013063	Lifestyle
