int	string	string
ID|n|艺人ID+培养次数+培养类型	培养名称	界面名称
id	name	scene_name
100101	Realization	Training Room
100102	Basic Attributes	Training Room
100103	Major Project	Training Room
100104	Path to Stardom	Training Room
100201	Realization	Training Room
100202	Basic Attributes	Training Room
100203	Major Project	Training Room
100204	Path to Stardom	Training Room
100301	Realization	Training Room
100302	Basic Attributes	Training Room
100303	Major Project	Training Room
100304	Path to Stardom	Training Room
100401	Realization	Training Room
100402	Basic Attributes	Training Room
100403	Major Project	Training Room
100404	Path to Stardom	Training Room
100501	Realization	Training Room
100502	Basic Attributes	Training Room
100503	Major Project	Training Room
100504	Path to Stardom	Training Room
100601	Realization	Training Room
100602	Basic Attributes	Training Room
100603	Major Project	Training Room
100604	Path to Stardom	Training Room
200101	Realization	Training Room
200102	Basic Attributes	Training Room
200103	Major Project	Training Room
200104	Path to Stardom	Training Room
200201	Realization	Training Room
200202	Basic Attributes	Training Room
200203	Major Project	Training Room
200204	Path to Stardom	Training Room
200301	Realization	Training Room
200302	Basic Attributes	Training Room
200303	Major Project	Training Room
200304	Path to Stardom	Training Room
200401	Realization	Training Room
200402	Basic Attributes	Training Room
200403	Major Project	Training Room
200404	Path to Stardom	Training Room
200501	Realization	Training Room
200502	Basic Attributes	Training Room
200503	Major Project	Training Room
200504	Path to Stardom	Training Room
200601	Realization	Training Room
200602	Basic Attributes	Training Room
200603	Major Project	Training Room
200604	Path to Stardom	Training Room
200701	Realization	Training Room
200702	Basic Attributes	Training Room
200703	Major Project	Training Room
200704	Path to Stardom	Training Room
200801	Realization	Training Room
200802	Basic Attributes	Training Room
200803	Major Project	Training Room
200804	Path to Stardom	Training Room
200901	Realization	Training Room
200902	Basic Attributes	Training Room
200903	Major Project	Training Room
200904	Path to Stardom	Training Room
201001	Realization	Training Room
201002	Basic Attributes	Training Room
201003	Major Project	Training Room
201004	Path to Stardom	Training Room
201101	Realization	Training Room
201102	Basic Attributes	Training Room
201103	Major Project	Training Room
201104	Path to Stardom	Training Room
201201	Realization	Training Room
201202	Basic Attributes	Training Room
201203	Major Project	Training Room
201204	Path to Stardom	Training Room
201301	Realization	Training Room
201302	Basic Attributes	Training Room
201303	Major Project	Training Room
201304	Path to Stardom	Training Room
201401	Realization	Training Room
201402	Basic Attributes	Training Room
201403	Major Project	Training Room
201404	Path to Stardom	Training Room
201501	Realization	Training Room
201502	Basic Attributes	Training Room
201503	Major Project	Training Room
201504	Path to Stardom	Training Room
300101	Realization	Training Room
300102	Basic Attributes	Training Room
300103	Major Project	Training Room
300104	Path to Stardom	Training Room
300201	Realization	Training Room
300202	Basic Attributes	Training Room
300203	Major Project	Training Room
300204	Path to Stardom	Training Room
300301	Realization	Training Room
300302	Basic Attributes	Training Room
300303	Major Project	Training Room
300304	Path to Stardom	Training Room
300401	Realization	Training Room
300402	Basic Attributes	Training Room
300403	Major Project	Training Room
300404	Path to Stardom	Training Room
300501	Realization	Training Room
300502	Basic Attributes	Training Room
300503	Major Project	Training Room
300504	Path to Stardom	Training Room
300601	Realization	Training Room
300602	Basic Attributes	Training Room
300603	Major Project	Training Room
300604	Path to Stardom	Training Room
300701	Realization	Training Room
300702	Basic Attributes	Training Room
300703	Major Project	Training Room
300704	Path to Stardom	Training Room
300801	Realization	Training Room
300802	Basic Attributes	Training Room
300803	Major Project	Training Room
300804	Path to Stardom	Training Room
300901	Realization	Training Room
300902	Basic Attributes	Training Room
300903	Major Project	Training Room
300904	Path to Stardom	Training Room
301001	Realization	Training Room
301002	Basic Attributes	Training Room
301003	Major Project	Training Room
301004	Path to Stardom	Training Room
