int	string
id	效果说明
id	effect_des
100101	[color=#e3b121]0&nbsp;[/color] day(s) added to movie's showing time
100102	Movie earnings increased by  [color=#e3b121]&nbsp;1%&nbsp;[/color]
100201	[color=#e3b121]1&nbsp;[/color] day(s) added to movie's showing time
100202	Movie earnings increased by  [color=#e3b121]&nbsp;2%&nbsp;[/color]
100301	[color=#e3b121]1&nbsp;[/color] day(s) added to movie's showing time
100302	Movie earnings increased by  [color=#e3b121]&nbsp;3%&nbsp;[/color]
100401	[color=#e3b121]2&nbsp;[/color] day(s) added to movie's showing time
100402	Movie earnings increased by  [color=#e3b121]&nbsp;4%&nbsp;[/color]
100501	[color=#e3b121]2&nbsp;[/color] day(s) added to movie's showing time
100502	Movie earnings increased by  [color=#e3b121]&nbsp;5%&nbsp;[/color]
100601	[color=#e3b121]3&nbsp;[/color] day(s) added to movie's showing time
100602	Movie earnings increased by  [color=#e3b121]&nbsp;6%&nbsp;[/color]
100701	[color=#e3b121]3&nbsp;[/color] day(s) added to movie's showing time
100702	Movie earnings increased by  [color=#e3b121]&nbsp;7%&nbsp;[/color]
100801	[color=#e3b121]4&nbsp;[/color] day(s) added to movie's showing time
100802	Movie earnings increased by  [color=#e3b121]&nbsp;8%&nbsp;[/color]
100901	[color=#e3b121]4&nbsp;[/color] day(s) added to movie's showing time
100902	Movie earnings increased by  [color=#e3b121]&nbsp;9%&nbsp;[/color]
101001	[color=#e3b121]5&nbsp;[/color] day(s) added to movie's showing time
101002	Movie earnings increased by  [color=#e3b121]&nbsp;10%&nbsp;[/color]
101101	[color=#e3b121]5&nbsp;[/color] day(s) added to movie's showing time
101102	Movie earnings increased by  [color=#e3b121]&nbsp;11%&nbsp;[/color]
101201	[color=#e3b121]6&nbsp;[/color] day(s) added to movie's showing time
101202	Movie earnings increased by  [color=#e3b121]&nbsp;12%&nbsp;[/color]
101301	[color=#e3b121]6&nbsp;[/color] day(s) added to movie's showing time
101302	Movie earnings increased by  [color=#e3b121]&nbsp;13%&nbsp;[/color]
101401	[color=#e3b121]7&nbsp;[/color] day(s) added to movie's showing time
101402	Movie earnings increased by  [color=#e3b121]&nbsp;14%&nbsp;[/color]
101501	[color=#e3b121]7&nbsp;[/color] day(s) added to movie's showing time
101502	Movie earnings increased by  [color=#e3b121]&nbsp;15%&nbsp;[/color]
