int	string	string	string
id	建筑名称	建筑作用	升级效果
id	name	effect_tips	level_tips
1001	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1002	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1003	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1004	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1005	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1006	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1007	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1008	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1009	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1010	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1011	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1012	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1013	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1014	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1015	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1016	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1017	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1018	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1019	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1020	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1021	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1022	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1023	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1024	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1025	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1026	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1027	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1028	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1029	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1030	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1031	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1032	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1033	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1034	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1035	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1036	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1037	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1038	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1039	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1040	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1041	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1042	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1043	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1044	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1045	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
1046	Cinema	Unlock Theater Showings for films	Extends film theater showing dates and increases earnings once films have stopped showing
