int	string
id	院线名称
id	name
1001	BMD Cinemas
1002	BMD Cinemas
1003	BMD Cinemas
1004	BMD Cinemas
1005	BMD Cinemas
2001	Cinemen
2002	Cinemen
2003	Cinemen
2004	Cinemen
2005	Cinemen
3001	Katmike Cinemas
3002	Katmike Cinemas
3003	Katmike Cinemas
3004	Katmike Cinemas
3005	Katmike Cinemas
4001	Royalight Entertainment
4002	Royalight Entertainment
4003	Royalight Entertainment
4004	Royalight Entertainment
4005	Royalight Entertainment
5001	The Kings Cinemas
5002	The Kings Cinemas
5003	The Kings Cinemas
5004	The Kings Cinemas
5005	The Kings Cinemas
6001	Triplaza Cinemas
6002	Triplaza Cinemas
6003	Triplaza Cinemas
6004	Triplaza Cinemas
6005	Triplaza Cinemas
7001	Odin Theaters
7002	Odin Theaters
7003	Odin Theaters
7004	Odin Theaters
7005	Odin Theaters
8001	TQHQ Cinemas
8002	TQHQ Cinemas
8003	TQHQ Cinemas
8004	TQHQ Cinemas
8005	TQHQ Cinemas
9001	Treant Cinemas
9002	Treant Cinemas
9003	Treant Cinemas
9004	Treant Cinemas
9005	Treant Cinemas
10001	Queendom Theaters
10002	Queendom Theaters
10003	Queendom Theaters
10004	Queendom Theaters
10005	Queendom Theaters
11001	People Cinemas
11002	People Cinemas
11003	People Cinemas
11004	People Cinemas
11005	People Cinemas
12001	Cryztal Cinemas
12002	Cryztal Cinemas
12003	Cryztal Cinemas
12004	Cryztal Cinemas
12005	Cryztal Cinemas
13001	Neonmo Cinemas
13002	Neonmo Cinemas
13003	Neonmo Cinemas
13004	Neonmo Cinemas
13005	Neonmo Cinemas
14001	HOT Cinemas
14002	HOT Cinemas
14003	HOT Cinemas
14004	HOT Cinemas
14005	HOT Cinemas
15001	United Theatres
15002	United Theatres
15003	United Theatres
15004	United Theatres
15005	United Theatres
16001	Superpoly Theatres
16002	Superpoly Theatres
16003	Superpoly Theatres
16004	Superpoly Theatres
16005	Superpoly Theatres
17001	KDR Cinemas
17002	KDR Cinemas
17003	KDR Cinemas
17004	KDR Cinemas
17005	KDR Cinemas
18001	Blackwing Theatres
18002	Blackwing Theatres
18003	Blackwing Theatres
18004	Blackwing Theatres
18005	Blackwing Theatres
19001	Panthion Theaters
19002	Panthion Theaters
19003	Panthion Theaters
19004	Panthion Theaters
19005	Panthion Theaters
