int	string	string	string
id	名称	道具描述	获取途径说明
id	name	item_des	get_way_explain
1	Diamonds	Needed to purchase to purchase items	Gain by top-up
2	Coins	Needed to upgrade buildings and actors	Gain by occupying cities and completing orders
3	MovieDollars	Needed in market advertise and occupy	Gain by flming movies and dealing business
4	License	Needed to filming movies	Movie Association will send out regularly
5	Fans	The more your fans, the higher your company level	Gain by filming movies and occupy cities
6	Likes	Needed to recruite actors and search scripts	Better reviews bring more likes!
7	Blueprint	Needed to produce merchandise	Gain by filming movies and completing Meeting and business
8	Expectation	Increase movie's box-office	Gain by orders, business, fans visiting and Meeting
9	Secretary	Secretary	Top-up to purchase
14	Trophy	Receive from Oskar at 22:00 everyday. The more trophies you won, the higher your rank are.	Gain by Oskar, the more sell movies you film, the more trophies you get
15	Energy	Needed to use skills	Needed to use skills
1015	Call Me By Your Name	A famed ship leaves harbor with thousands of passengers on board. Eager about the future they will meet in America, a young couple falls into a forbidden love. Everything changes when the ship hits a whale.	Gain by events
1091	Young, Old Soldier	The world is at war and America struggles to keep the fight going. Fortunately, scientists have been working on a secret weapon. A super soldier with incredible speed and defense. Can he bring the soldiers back home to live in peace?	Gain by events
4001	Model Spaceship	Often show in star battles, this spaceship with newly developed laser launcher is lethal than ever	You may get merchandise by filming movies or producing
4002	Wand	The ending of this wand's master is rather become the chosen king or die in chaos. Well, now here it is , in your hands…	You may get merchandise by filming movies or producing
4003	Laptop	Symbol of up-class elites	You may get merchandise by filming movies or producing
4004	Peak Cap	Used to be a Paralympic champion's favorite, but the printing seems faded after washing.	You may get merchandise by filming movies or producing
4005	Cracked Helmet	The owner of this medal saved 198 soldiers' life in the battlefield	You may get merchandise by filming movies or producing
4006	Jungle Figurine	Dr.wood believes this figurine is his lucky charm, so everytime he runs into danger, his first instinct is to protect it	You may get merchandise by filming movies or producing
4007	Shield	A shield that keeps its owner safe through countless battlefields	You may get merchandise by filming movies or producing
4008	Dagger	The dagger used by criminals during the biggest bank robbery in history	You may get merchandise by filming movies or producing
4009	Bowler Hat	As top agent 008's hat, it can be used as GPS, wireless digital receiver and dictograph…just kidding.	You may get merchandise by filming movies or producing
4010	Interphone	With lighting, ignition, solar charging, waterproof and other functions, you surely wouldn't mind its lack of communication part when disaster happens, right?	You may get merchandise by filming movies or producing
4011	Diary	Every girl and boy should have their own diary, and here's yours	You may get merchandise by filming movies or producing
4012	Clown Shoes	Well how can anyone resist the urge to put their feet into these shoes?	You may get merchandise by filming movies or producing
4013	Boxing Gloves	An outright remake of the gloves that a martial arts genius used	You may get merchandise by filming movies or producing
4014	Heart Balloon	Almost appears in every romantic scene, usually with fireworks and lovesongs	You may get merchandise by filming movies or producing
4015	Record Player	Play the audio you like, again and again, and…again	You may get merchandise by filming movies or producing
4016	White Glove	Experience the same panic and helplessness as the protagonist, except you don’t need to solve the puzzle to get the key	You may get merchandise by filming movies or producing
4017	Mask	Wear this mask, be that man	You may get merchandise by filming movies or producing
4018	Doll	It's cute. Super cute. Just pinch it and you'll like it	You may get merchandise by filming movies or producing
5001	Training Manual	You can spend one to add training times if you already used all training times today	You can purchase this in shop or receive from rank up rewards
5002	Invitation	Needed for actors to go to activities	Gain by dealing business
5003	Medal of Loyalty	Add max amount of gifts this actor can receive	Gain by rank up
5004	Training Voucher	Items needed to train actor	Gain by completing orders
5005	Brochure	Brochures can raise movie's attention degree which increases earnings	Gain by Oskar and completing orders
5006	Trumpet	N/A	N/A
5007	Magnifier	Spend one to use Talent Scout right away	You can purchase this in shop or receive from rank up rewards
5008	Rename Card	Item needed to change player name	You can purchase this in shop
