int	string	string
id	盈利名称	名称
id	gain_name	name
10011	Average	Block Rank 1
10012	Good	Block Rank 1
10013	Great	Block Rank 1
10014	Teriffic	Block Rank 1
10015	Epic	Block Rank 1
10016	Perfect	Block Rank 1
10021	Average	Block Rank 2
10022	Good	Block Rank 2
10023	Great	Block Rank 2
10024	Teriffic	Block Rank 2
10025	Epic	Block Rank 2
10026	Perfect	Block Rank 2
10031	Average	Block Rank 3
10032	Good	Block Rank 3
10033	Great	Block Rank 3
10034	Teriffic	Block Rank 3
10035	Epic	Block Rank 3
10036	Perfect	Block Rank 3
10041	Average	Block Rank 4
10042	Good	Block Rank 4
10043	Great	Block Rank 4
10044	Teriffic	Block Rank 4
10045	Epic	Block Rank 4
10046	Perfect	Block Rank 4
10051	Average	Block Rank 5
10052	Good	Block Rank 5
10053	Great	Block Rank 5
10054	Teriffic	Block Rank 5
10055	Epic	Block Rank 5
10056	Perfect	Block Rank 5
10061	Average	Block Rank 6
10062	Good	Block Rank 6
10063	Great	Block Rank 6
10064	Teriffic	Block Rank 6
10065	Epic	Block Rank 6
10066	Perfect	Block Rank 6
10071	Average	Block Rank 7
10072	Good	Block Rank 7
10073	Great	Block Rank 7
10074	Teriffic	Block Rank 7
10075	Epic	Block Rank 7
10076	Perfect	Block Rank 7
10081	Average	Block Rank 8
10082	Good	Block Rank 8
10083	Great	Block Rank 8
10084	Teriffic	Block Rank 8
10085	Epic	Block Rank 8
10086	Perfect	Block Rank 8
10091	Average	Block Rank 9
10092	Good	Block Rank 9
10093	Great	Block Rank 9
10094	Teriffic	Block Rank 9
10095	Epic	Block Rank 9
10096	Perfect	Block Rank 9
10101	Average	Block Rank 10
10102	Good	Block Rank 10
10103	Great	Block Rank 10
10104	Teriffic	Block Rank 10
10105	Epic	Block Rank 10
10106	Perfect	Block Rank 10
20011	Average	City Rank 1
20012	Good	City Rank 1
20013	Great	City Rank 1
20014	Teriffic	City Rank 1
20015	Epic	City Rank 1
20016	Perfect	City Rank 1
20021	Average	City Rank 2
20022	Good	City Rank 2
20023	Great	City Rank 2
20024	Teriffic	City Rank 2
20025	Epic	City Rank 2
20026	Perfect	City Rank 2
20031	Average	City Rank 3
20032	Good	City Rank 3
20033	Great	City Rank 3
20034	Teriffic	City Rank 3
20035	Epic	City Rank 3
20036	Perfect	City Rank 3
20041	Average	City Rank 4
20042	Good	City Rank 4
20043	Great	City Rank 4
20044	Teriffic	City Rank 4
20045	Epic	City Rank 4
20046	Perfect	City Rank 4
20051	Average	City Rank 5
20052	Good	City Rank 5
20053	Great	City Rank 5
20054	Teriffic	City Rank 5
20055	Epic	City Rank 5
20056	Perfect	City Rank 5
20061	Average	City Rank 6
20062	Good	City Rank 6
20063	Great	City Rank 6
20064	Teriffic	City Rank 6
20065	Epic	City Rank 6
20066	Perfect	City Rank 6
20071	Average	City Rank 7
20072	Good	City Rank 7
20073	Great	City Rank 7
20074	Teriffic	City Rank 7
20075	Epic	City Rank 7
20076	Perfect	City Rank 7
20081	Average	City Rank 8
20082	Good	City Rank 8
20083	Great	City Rank 8
20084	Teriffic	City Rank 8
20085	Epic	City Rank 8
20086	Perfect	City Rank 8
20091	Average	City Rank 9
20092	Good	City Rank 9
20093	Great	City Rank 9
20094	Teriffic	City Rank 9
20095	Epic	City Rank 9
20096	Perfect	City Rank 9
20101	Average	City Rank 10
20102	Good	City Rank 10
20103	Great	City Rank 10
20104	Teriffic	City Rank 10
20105	Epic	City Rank 10
20106	Perfect	City Rank 10
30011	Average	State Rank 1
30012	Good	State Rank 1
30013	Great	State Rank 1
30014	Teriffic	State Rank 1
30015	Epic	State Rank 1
30016	Perfect	State Rank 1
30021	Average	State Rank 2
30022	Good	State Rank 2
30023	Great	State Rank 2
30024	Teriffic	State Rank 2
30025	Epic	State Rank 2
30026	Perfect	State Rank 2
30031	Average	State Rank 3
30032	Good	State Rank 3
30033	Great	State Rank 3
30034	Teriffic	State Rank 3
30035	Epic	State Rank 3
30036	Perfect	State Rank 3
30041	Average	State Rank 4
30042	Good	State Rank 4
30043	Great	State Rank 4
30044	Teriffic	State Rank 4
30045	Epic	State Rank 4
30046	Perfect	State Rank 4
30051	Average	State Rank 5
30052	Good	State Rank 5
30053	Great	State Rank 5
30054	Teriffic	State Rank 5
30055	Epic	State Rank 5
30056	Perfect	State Rank 5
30061	Average	State Rank 6
30062	Good	State Rank 6
30063	Great	State Rank 6
30064	Teriffic	State Rank 6
30065	Epic	State Rank 6
30066	Perfect	State Rank 6
30071	Average	State Rank 7
30072	Good	State Rank 7
30073	Great	State Rank 7
30074	Teriffic	State Rank 7
30075	Epic	State Rank 7
30076	Perfect	State Rank 7
30081	Average	State Rank 8
30082	Good	State Rank 8
30083	Great	State Rank 8
30084	Teriffic	State Rank 8
30085	Epic	State Rank 8
30086	Perfect	State Rank 8
30091	Average	State Rank 9
30092	Good	State Rank 9
30093	Great	State Rank 9
30094	Teriffic	State Rank 9
30095	Epic	State Rank 9
30096	Perfect	State Rank 9
30101	Average	State Rank 10
30102	Good	State Rank 10
30103	Great	State Rank 10
30104	Teriffic	State Rank 10
30105	Epic	State Rank 10
30106	Perfect	State Rank 10
40011	Average	Country Rank 1
40012	Good	Country Rank 1
40013	Great	Country Rank 1
40014	Teriffic	Country Rank 1
40015	Epic	Country Rank 1
40016	Perfect	Country Rank 1
40021	Average	Country Rank 2
40022	Good	Country Rank 2
40023	Great	Country Rank 2
40024	Teriffic	Country Rank 2
40025	Epic	Country Rank 2
40026	Perfect	Country Rank 2
40031	Average	Country Rank 3
40032	Good	Country Rank 3
40033	Great	Country Rank 3
40034	Teriffic	Country Rank 3
40035	Epic	Country Rank 3
40036	Perfect	Country Rank 3
40041	Average	Country Rank 4
40042	Good	Country Rank 4
40043	Great	Country Rank 4
40044	Teriffic	Country Rank 4
40045	Epic	Country Rank 4
40046	Perfect	Country Rank 4
40051	Average	Country Rank 5
40052	Good	Country Rank 5
40053	Great	Country Rank 5
40054	Teriffic	Country Rank 5
40055	Epic	Country Rank 5
40056	Perfect	Country Rank 5
40061	Average	Country Rank 6
40062	Good	Country Rank 6
40063	Great	Country Rank 6
40064	Teriffic	Country Rank 6
40065	Epic	Country Rank 6
40066	Perfect	Country Rank 6
40071	Average	Country Rank 7
40072	Good	Country Rank 7
40073	Great	Country Rank 7
40074	Teriffic	Country Rank 7
40075	Epic	Country Rank 7
40076	Perfect	Country Rank 7
40081	Average	Country Rank 8
40082	Good	Country Rank 8
40083	Great	Country Rank 8
40084	Teriffic	Country Rank 8
40085	Epic	Country Rank 8
40086	Perfect	Country Rank 8
40091	Average	Country Rank 9
40092	Good	Country Rank 9
40093	Great	Country Rank 9
40094	Teriffic	Country Rank 9
40095	Epic	Country Rank 9
40096	Perfect	Country Rank 9
40101	Average	Country Rank 10
40102	Good	Country Rank 10
40103	Great	Country Rank 10
40104	Teriffic	Country Rank 10
40105	Epic	Country Rank 10
40106	Perfect	Country Rank 10
50011	Average	Global Rank 1
50012	Good	Global Rank 1
50013	Great	Global Rank 1
50014	Teriffic	Global Rank 1
50015	Epic	Global Rank 1
50016	Perfect	Global Rank 1
50021	Average	Global Rank 2
50022	Good	Global Rank 2
50023	Great	Global Rank 2
50024	Teriffic	Global Rank 2
50025	Epic	Global Rank 2
50026	Perfect	Global Rank 2
50031	Average	Global Rank 3
50032	Good	Global Rank 3
50033	Great	Global Rank 3
50034	Teriffic	Global Rank 3
50035	Epic	Global Rank 3
50036	Perfect	Global Rank 3
50041	Average	Global Rank 4
50042	Good	Global Rank 4
50043	Great	Global Rank 4
50044	Teriffic	Global Rank 4
50045	Epic	Global Rank 4
50046	Perfect	Global Rank 4
50051	Average	Global Rank 5
50052	Good	Global Rank 5
50053	Great	Global Rank 5
50054	Teriffic	Global Rank 5
50055	Epic	Global Rank 5
50056	Perfect	Global Rank 5
50061	Average	Global Rank 6
50062	Good	Global Rank 6
50063	Great	Global Rank 6
50064	Teriffic	Global Rank 6
50065	Epic	Global Rank 6
50066	Perfect	Global Rank 6
50071	Average	Global Rank 7
50072	Good	Global Rank 7
50073	Great	Global Rank 7
50074	Teriffic	Global Rank 7
50075	Epic	Global Rank 7
50076	Perfect	Global Rank 7
50081	Average	Global Rank 8
50082	Good	Global Rank 8
50083	Great	Global Rank 8
50084	Teriffic	Global Rank 8
50085	Epic	Global Rank 8
50086	Perfect	Global Rank 8
50091	Average	Global Rank 9
50092	Good	Global Rank 9
50093	Great	Global Rank 9
50094	Teriffic	Global Rank 9
50095	Epic	Global Rank 9
50096	Perfect	Global Rank 9
50101	Average	Global Rank 10
50102	Good	Global Rank 10
50103	Great	Global Rank 10
50104	Teriffic	Global Rank 10
50105	Epic	Global Rank 10
50106	Perfect	Global Rank 10
