int	string
id	媒体名称
id	name
1001	Night Live Now!
1002	Night Live Now!
1003	Night Live Now!
1004	Night Live Now!
1005	Night Live Now!
1006	Night Live Now!
1007	Night Live Now!
1008	Night Live Now!
1009	Night Live Now!
1010	Night Live Now!
1011	Night Live Now!
1012	Night Live Now!
1013	Night Live Now!
1014	Night Live Now!
1015	Night Live Now!
1016	Night Live Now!
1017	Night Live Now!
1018	Night Live Now!
1019	Night Live Now!
1020	Night Live Now!
2001	America's Got Gift
2002	America's Got Gift
2003	America's Got Gift
2004	America's Got Gift
2005	America's Got Gift
2006	America's Got Gift
2007	America's Got Gift
2008	America's Got Gift
2009	America's Got Gift
2010	America's Got Gift
2011	America's Got Gift
2012	America's Got Gift
2013	America's Got Gift
2014	America's Got Gift
2015	America's Got Gift
2016	America's Got Gift
2017	America's Got Gift
2018	America's Got Gift
2019	America's Got Gift
2020	America's Got Gift
3001	Keep up with Oskar
3002	Keep up with Oskar
3003	Keep up with Oskar
3004	Keep up with Oskar
3005	Keep up with Oskar
3006	Keep up with Oskar
3007	Keep up with Oskar
3008	Keep up with Oskar
3009	Keep up with Oskar
3010	Keep up with Oskar
3011	Keep up with Oskar
3012	Keep up with Oskar
3013	Keep up with Oskar
3014	Keep up with Oskar
3015	Keep up with Oskar
3016	Keep up with Oskar
3017	Keep up with Oskar
3018	Keep up with Oskar
3019	Keep up with Oskar
3020	Keep up with Oskar
4001	Rising Star
4002	Rising Star
4003	Rising Star
4004	Rising Star
4005	Rising Star
4006	Rising Star
4007	Rising Star
4008	Rising Star
4009	Rising Star
4010	Rising Star
4011	Rising Star
4012	Rising Star
4013	Rising Star
4014	Rising Star
4015	Rising Star
4016	Rising Star
4017	Rising Star
4018	Rising Star
4019	Rising Star
4020	Rising Star
5001	The Allen Show
5002	The Allen Show
5003	The Allen Show
5004	The Allen Show
5005	The Allen Show
5006	The Allen Show
5007	The Allen Show
5008	The Allen Show
5009	The Allen Show
5010	The Allen Show
5011	The Allen Show
5012	The Allen Show
5013	The Allen Show
5014	The Allen Show
5015	The Allen Show
5016	The Allen Show
5017	The Allen Show
5018	The Allen Show
5019	The Allen Show
5020	The Allen Show
6001	Initial D(irector)
6002	Initial D(irector)
6003	Initial D(irector)
6004	Initial D(irector)
6005	Initial D(irector)
6006	Initial D(irector)
6007	Initial D(irector)
6008	Initial D(irector)
6009	Initial D(irector)
6010	Initial D(irector)
6011	Initial D(irector)
6012	Initial D(irector)
6013	Initial D(irector)
6014	Initial D(irector)
6015	Initial D(irector)
6016	Initial D(irector)
6017	Initial D(irector)
6018	Initial D(irector)
6019	Initial D(irector)
6020	Initial D(irector)
7001	Running Star!
7002	Running Star!
7003	Running Star!
7004	Running Star!
7005	Running Star!
7006	Running Star!
7007	Running Star!
7008	Running Star!
7009	Running Star!
7010	Running Star!
7011	Running Star!
7012	Running Star!
7013	Running Star!
7014	Running Star!
7015	Running Star!
7016	Running Star!
7017	Running Star!
7018	Running Star!
7019	Running Star!
7020	Running Star!
8001	No.8 Film Studio
8002	No.8 Film Studio
8003	No.8 Film Studio
8004	No.8 Film Studio
8005	No.8 Film Studio
8006	No.8 Film Studio
8007	No.8 Film Studio
8008	No.8 Film Studio
8009	No.8 Film Studio
8010	No.8 Film Studio
8011	No.8 Film Studio
8012	No.8 Film Studio
8013	No.8 Film Studio
8014	No.8 Film Studio
8015	No.8 Film Studio
8016	No.8 Film Studio
8017	No.8 Film Studio
8018	No.8 Film Studio
8019	No.8 Film Studio
8020	No.8 Film Studio
