int	string
提示ID	提示内容-中文
id	notice
-1	Repeat operation
0	Normal
1	Unknow error
2	Hollywood, we've got a connection problem
3	There might be a little issue with you and your network
4	Insufficient player level
5	Insufficient VIP level
6	Function locked
7	Repeat operation
8	Insufficient Rank
9	Password Incorrect
10	Account not exist
11	Same Name Already Exist
1000	Oops! You seem to lost connection!
1001	Not activated
1002	We'll keep trying reconnecting…
1003	WANTED: Have you see your connection? It's lost!
2001	Quest not found
2101	Invalid item
2102	Can't sell this item
2103	Insufficient items
2104	Item cannot be synthesized
2105	Item cannot be synthesized into actors
2106	Items cannot be used
2201	Item not found
2202	Insufficient Currency
2203	Max purchase limit reached
2204	Cannot purchase for now
3002	Unlock last floor first
3003	Unlock current floor first
3004	Insufficient company level
3005	City needed first
3006	Invalid room
3007	Room already exist
3008	Room not exist
3009	Unlock pre-building first
3010	Invalid room type
3011	Room reached max level
3012	Reached max actor amount
3013	Hidden actor amount reached max
3014	Wait till next recruting is ready
3015	Recruiting time limit
3016	No required actor
3017	Actor not found
3018	This actor is overdue
3020	Max level limit
3021	Material send time limit
3022	Level not match
3023	Material send amount limit
3024	Actor has been hidden
3025	No required skll
3026	Skill is unactivated
3027	Insufficient exp
3028	Insufficient energy
3029	Training time limit
3030	Illegal name
4001	Name length is too long
4002	Name cannot only be numerical
4003	Name cannot start with a space
4004	Name needs to be different from the original
4006	Name already taken
4101	Insufficient Diamonds
4102	Avatar is locked
4103	Avatar not exist
4104	Gender not match
4105	Avatar owned
4201	Insufficient search times
4202	Searching not ready
4203	Insufficient search materials
4204	Script not found
4205	Script not found
4206	Insufficient block level
4207	Script collection not found
4208	Requirements not match or already claimed
4301	Requirments not match
4302	City configuration not found
4303	Block advertising complete
4304	City advertising not complete
4305	Roadshow failed
4306	Advertising not complete
4308	City data not found
4309	Player data not found
4310	Actor location error
4311	Insufficient VIP level
4312	Requirments not match
4313	Set it as HQ first
4314	Unlock last city first
4315	Building configuration error
4401	Movie data not exist
4501	Order data not exist
4502	Insufficient order materials
4503	Requirements not match
4504	Item already placed
4505	Insufficient items placed
4506	Order is overdue
4507	Order is deleted
4601	Production line already activated
4602	Unlock pre-production line first
4603	Requirements not match
4604	Production line data not exist
4605	Production reached max amount
4606	Production line is busy
4607	Produce is in process
4608	Unable to upgrade this production line
4609	Skill not exist
4610	Reached max skill level
4611	Can't assign actor here
4612	Requirements not match
4613	Production line is empty
4614	Depot is at capacity - Please upgrade
4615	Actor is busy
4701	Business data not exist
4702	Wait till next wave of business
4801	Visiting data not exist
4802	Last visiting not finished
4803	Cooling down
4804	Visiting not start
4805	Overdue
4901	Treasure box not exist
4902	Collected
4903	Progress not match
5001	Only available for certain players
5002	Key not found
5003	Key is out of date
5004	Server error
5005	Used
5101	Already raised
5102	Wait till due time
5201	Data not exist
5202	Overdue
5203	Collected
5301	Module data not exist
5302	Secretary is required
5303	Claimed
5304	You have unclaimed license
5305	Today's lisence has been applied
5306	Please apply first~
5501	Max cooperation times reached
5502	Request too often
5503	Can't cooperate with yourself
5504	This player already has a cooperator
5505	This player already has a cooperator
5506	This cooperation seems ended…
5507	Not in apply list
5508	Can't gain rewards
5509	Cooperation quest data not found
5510	Cooperation quest not found
5511	Refresh next day
5512	Quest left uncompleted
5513	Insufficient times
5514	Invite sent, awaiting a reply
5515	Invite not sent
