int	string
编号	道具名称
id	name
1001	License
1002	Likes
1003	Coins
1004	MovieDollars
1005	Brochure
1006	Blueprint
1007	Steel
1008	Cement
1009	Coating
1010	Brick
1011	Training Manual
1012	Rename Card
1013	Medal of Loyalty
1014	Magnifier
1015	Likes Package
1016	Building Materials Package
1017	Gender Package
1018	Citizenship Package
1019	Type Package
1020	Age Package
1021	Contract of Danny Roberts Jr
1022	Contract of Chris Bunt
1023	Contract of Jack Ho
1024	Contract of Craig Daniels
1025	Contract of Rock Jones
1026	Contract of Marla Mongrel
1027	Contract of Wilma Eason
1028	Contract of Clarisse Ems
1029	Contract of Carine Law
1030	Contract of Teitay Lifte
