int	string	string	string
ID|n|技能主ID*100+技能等级	英文名字	技能描述	英文效果文字
id	name	tips	effecttext
100101	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100102	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100103	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100104	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100105	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100106	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100107	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100108	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100109	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100110	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100111	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100112	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100113	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100114	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100115	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100116	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100117	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100118	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100119	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100120	Money Attractor	Increase [color=#FF8C00]{0}%[/color] of the speed of city earnings when send actors to cities	Increase {0}% of coin earning speed
100201	Super Talented	Increase [color=#FF8C00]{0}%[/color] of earnings from produce line when send actors to supervise production	Increase {0}% of earnings from produce line
100202	Super Talented	Increase [color=#FF8C00]{0}%[/color] of earnings from produce line when send actors to supervise production	Increase {0}% of earnings from produce line
100203	Super Talented	Increase [color=#FF8C00]{0}%[/color] of earnings from produce line when send actors to supervise production	Increase {0}% of earnings from produce line
