int	string
类别id	类别名称
id	name
1	Super Heroes
2	Tough as Nails
3	Hail of Bullets
4	My Better Half
5	It's a Wonderful World
6	Space Adventure
7	Laugh out Loud
8	Thought-provoking
9	Is it Friday 13th?
10	Motivating
11	Seal Release!
12	Hidden Blade
13	Inspirational
14	Revenge Tastes Best
15	Fly to Future
16	Fantastic Stories
17	Walking Dead
18	Monsters!!
19	A Song of Sword & Magic
20	Echo of History
21	Love and Suffering
22	Big Suspense
23	Catch Me if You Can
24	Body of Lies
25	Waiting for Godet
26	You Are Legend
27	Crime File
28	…and Action!
29	War, War Never Changes
30	Farewell for Ever
31	Saving the Day!
32	Seduction of Money
33	Touch Your Heart
34	Walking on Edge
35	Fantastic Adventure
36	Cartoon Heroes
37	Follow Your Dream
38	That's What I Call Classic
39	We Are One
40	Grand Drift Auto
41	Auto-utopia
42	Merciless
43	Fast and Fight
44	The Truth is in the…
