int	string	string
ID|n|艺人ID+培养次数+培养类型	培养名称	界面名称
id	name	scene_name
100101	艺人的自我觉悟	训练室
100102	主角的基本素养	训练室
100103	演员补完计划	训练室
100104	巨星之路	训练室
100201	艺人的自我觉悟	训练室
100202	主角的基本素养	训练室
100203	演员补完计划	训练室
100204	巨星之路	训练室
100301	艺人的自我觉悟	训练室
100302	主角的基本素养	训练室
100303	演员补完计划	训练室
100304	巨星之路	训练室
100401	艺人的自我觉悟	训练室
100402	主角的基本素养	训练室
100403	演员补完计划	训练室
100404	巨星之路	训练室
100501	艺人的自我觉悟	训练室
100502	主角的基本素养	训练室
100503	演员补完计划	训练室
100504	巨星之路	训练室
100601	艺人的自我觉悟	训练室
100602	主角的基本素养	训练室
100603	演员补完计划	训练室
100604	巨星之路	训练室
200101	艺人的自我觉悟	训练室
200102	主角的基本素养	训练室
200103	演员补完计划	训练室
200104	巨星之路	训练室
200201	艺人的自我觉悟	训练室
200202	主角的基本素养	训练室
200203	演员补完计划	训练室
200204	巨星之路	训练室
200301	艺人的自我觉悟	训练室
200302	主角的基本素养	训练室
200303	演员补完计划	训练室
200304	巨星之路	训练室
200401	艺人的自我觉悟	训练室
200402	主角的基本素养	训练室
200403	演员补完计划	训练室
200404	巨星之路	训练室
200501	艺人的自我觉悟	训练室
200502	主角的基本素养	训练室
200503	演员补完计划	训练室
200504	巨星之路	训练室
200601	艺人的自我觉悟	训练室
200602	主角的基本素养	训练室
200603	演员补完计划	训练室
200604	巨星之路	训练室
200701	艺人的自我觉悟	训练室
200702	主角的基本素养	训练室
200703	演员补完计划	训练室
200704	巨星之路	训练室
200801	艺人的自我觉悟	训练室
200802	主角的基本素养	训练室
200803	演员补完计划	训练室
200804	巨星之路	训练室
200901	艺人的自我觉悟	训练室
200902	主角的基本素养	训练室
200903	演员补完计划	训练室
200904	巨星之路	训练室
201001	艺人的自我觉悟	训练室
201002	主角的基本素养	训练室
201003	演员补完计划	训练室
201004	巨星之路	训练室
201101	艺人的自我觉悟	训练室
201102	主角的基本素养	训练室
201103	演员补完计划	训练室
201104	巨星之路	训练室
201201	艺人的自我觉悟	训练室
201202	主角的基本素养	训练室
201203	演员补完计划	训练室
201204	巨星之路	训练室
201301	艺人的自我觉悟	训练室
201302	主角的基本素养	训练室
201303	演员补完计划	训练室
201304	巨星之路	训练室
201401	艺人的自我觉悟	训练室
201402	主角的基本素养	训练室
201403	演员补完计划	训练室
201404	巨星之路	训练室
201501	艺人的自我觉悟	训练室
201502	主角的基本素养	训练室
201503	演员补完计划	训练室
201504	巨星之路	训练室
300101	艺人的自我觉悟	训练室
300102	主角的基本素养	训练室
300103	演员补完计划	训练室
300104	巨星之路	训练室
300201	艺人的自我觉悟	训练室
300202	主角的基本素养	训练室
300203	演员补完计划	训练室
300204	巨星之路	训练室
300301	艺人的自我觉悟	训练室
300302	主角的基本素养	训练室
300303	演员补完计划	训练室
300304	巨星之路	训练室
300401	艺人的自我觉悟	训练室
300402	主角的基本素养	训练室
300403	演员补完计划	训练室
300404	巨星之路	训练室
300501	艺人的自我觉悟	训练室
300502	主角的基本素养	训练室
300503	演员补完计划	训练室
300504	巨星之路	训练室
300601	艺人的自我觉悟	训练室
300602	主角的基本素养	训练室
300603	演员补完计划	训练室
300604	巨星之路	训练室
300701	艺人的自我觉悟	训练室
300702	主角的基本素养	训练室
300703	演员补完计划	训练室
300704	巨星之路	训练室
300801	艺人的自我觉悟	训练室
300802	主角的基本素养	训练室
300803	演员补完计划	训练室
300804	巨星之路	训练室
300901	艺人的自我觉悟	训练室
300902	主角的基本素养	训练室
