int	string	string[]	string[]	string
id	名称	当前档次信息	下一档次信息	名称
id	name	current_msg	next_msg	name_tips
1001	街区1档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区1档
1002	街区2档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区2档
1003	街区3档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区3档
1004	街区4档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区4档
1005	街区5档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区5档
1006	街区6档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区6档
1007	街区7档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区7档
1008	街区8档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区8档
1009	街区9档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区9档
1010	街区10档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	街区10档
2001	城镇1档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇1档
2002	城镇2档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇2档
2003	城镇3档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇3档
