int	string
id	效果说明
id	effect_des
100101	增加电影上映天数[color=#d6621d]0[/color]天
100102	下映后的持续收益增幅[color=#d6621d]1%[/color]
100201	增加电影上映天数[color=#d6621d]1[/color]天
100202	下映后的持续收益增幅[color=#d6621d]2%[/color]
100301	增加电影上映天数[color=#d6621d]1[/color]天
100302	下映后的持续收益增幅[color=#d6621d]3%[/color]
100401	增加电影上映天数[color=#d6621d]2[/color]天
100402	下映后的持续收益增幅[color=#d6621d]4%[/color]
100501	增加电影上映天数[color=#d6621d]2[/color]天
100502	下映后的持续收益增幅[color=#d6621d]5%[/color]
100601	增加电影上映天数[color=#d6621d]3[/color]天
100602	下映后的持续收益增幅[color=#d6621d]6%[/color]
100701	增加电影上映天数[color=#d6621d]3[/color]天
100702	下映后的持续收益增幅[color=#d6621d]7%[/color]
100801	增加电影上映天数[color=#d6621d]4[/color]天
100802	下映后的持续收益增幅[color=#d6621d]8%[/color]
100901	增加电影上映天数[color=#d6621d]4[/color]天
100902	下映后的持续收益增幅[color=#d6621d]9%[/color]
101001	增加电影上映天数[color=#d6621d]5[/color]天
101002	下映后的持续收益增幅[color=#d6621d]10%[/color]
101101	增加电影上映天数[color=#d6621d]5[/color]天
101102	下映后的持续收益增幅[color=#d6621d]11%[/color]
101201	增加电影上映天数[color=#d6621d]6[/color]天
101202	下映后的持续收益增幅[color=#d6621d]12%[/color]
101301	增加电影上映天数[color=#d6621d]6[/color]天
101302	下映后的持续收益增幅[color=#d6621d]13%[/color]
101401	增加电影上映天数[color=#d6621d]7[/color]天
101402	下映后的持续收益增幅[color=#d6621d]14%[/color]
101501	增加电影上映天数[color=#d6621d]7[/color]天
101502	下映后的持续收益增幅[color=#d6621d]15%[/color]
101601	增加电影上映天数[color=#d6621d]8[/color]天
101602	下映后的持续收益增幅[color=#d6621d]16%[/color]
101701	增加电影上映天数[color=#d6621d]8[/color]天
101702	下映后的持续收益增幅[color=#d6621d]17%[/color]
101801	增加电影上映天数[color=#d6621d]9[/color]天
101802	下映后的持续收益增幅[color=#d6621d]18%[/color]
101901	增加电影上映天数[color=#d6621d]9[/color]天
101902	下映后的持续收益增幅[color=#d6621d]19%[/color]
102001	增加电影上映天数[color=#d6621d]10[/color]天
102002	下映后的持续收益增幅[color=#d6621d]20%[/color]
102101	增加电影上映天数[color=#d6621d]10[/color]天
