int	string
id	院线名称
id	name
1001	亿达影城
1002	亿达影城
1003	亿达影城
1004	亿达影城
1005	亿达影城
2001	锦绣影城
2002	锦绣影城
2003	锦绣影城
2004	锦绣影城
2005	锦绣影城
3001	星光影城
3002	星光影城
3003	星光影城
3004	星光影城
3005	星光影城
4001	良辰院线
4002	良辰院线
4003	良辰院线
4004	良辰院线
4005	良辰院线
5001	宝栗影院
5002	宝栗影院
5003	宝栗影院
5004	宝栗影院
5005	宝栗影院
6001	万华影院
6002	万华影院
6003	万华影院
6004	万华影院
6005	万华影院
7001	天堂影院
7002	天堂影院
7003	天堂影院
7004	天堂影院
7005	天堂影院
8001	千画影院
8002	千画影院
8003	千画影院
8004	千画影院
8005	千画影院
9001	SFA中影影院
9002	SFA中影影院
9003	SFA中影影院
9004	SFA中影影院
9005	SFA中影影院
10001	百影汇院线
10002	百影汇院线
10003	百影汇院线
10004	百影汇院线
10005	百影汇院线
11001	曙光影院
11002	曙光影院
11003	曙光影院
11004	曙光影院
11005	曙光影院
12001	民泰影城
12002	民泰影城
12003	民泰影城
12004	民泰影城
12005	民泰影城
13001	光线影院
13002	光线影院
13003	光线影院
13004	光线影院
13005	光线影院
14001	悦影影院
14002	悦影影院
14003	悦影影院
14004	悦影影院
14005	悦影影院
15001	魅影院线
15002	魅影院线
15003	魅影院线
15004	魅影院线
15005	魅影院线
16001	海天影城
16002	海天影城
16003	海天影城
16004	海天影城
16005	海天影城
17001	绿地影城
17002	绿地影城
17003	绿地影城
17004	绿地影城
17005	绿地影城
18001	右岸影城
18002	右岸影城
18003	右岸影城
18004	右岸影城
18005	右岸影城
19001	完美院线
19002	完美院线
19003	完美院线
19004	完美院线
19005	完美院线
