int	string
城市id	城市名称
id	name
1101	洛杉矶
1102	纽约
1103	华盛顿
1104	芝加哥
1105	休斯敦
1106	费城
1107	底特律
1108	波士顿
1109	旧金山
1110	匹兹堡
1111	亚特兰大
1112	檀香山
1113	阿拉斯加
1114	西雅图
1115	辛辛那提
1116	克利夫兰
1117	圣路易斯
1118	麦迪逊
1119	圣保罗
1120	菲尼克斯
1121	塞勒姆
1122	哥伦布
1123	达拉斯
1124	法兰克福
1125	夏威夷
1126	哥伦比亚
1127	杰克逊
1128	盐湖城
1129	迈阿密
1130	蒙哥马利
1131	奥斯汀
1132	堪萨斯城
1133	新奥尔良
1134	海伦娜
1135	拉斯维加斯
1136	巴尔的摩
1137	丹佛
1138	奥兰多
1139	塞班岛
1140	曼哈顿
1141	温哥华
1142	多伦多
1143	蒙特利尔
1144	魁北克
1145	维多利亚
1146	渥太华
1147	卡尔加里
1148	尼亚加拉
1149	黄刀镇
1150	惠斯勒
1151	埃德蒙顿
1152	金斯顿
1153	哈利法克斯
1154	基洛纳
1155	哈密尔顿
1156	温尼伯
1157	滑铁卢
1158	史密斯堡
1159	怀特霍斯
1160	约克区
1161	尼皮辛
1162	帕里桑德
1163	夏洛特顿
1164	中奥肯拿根
1165	皮尔区
1166	诺森伯兰
1167	蒂米斯卡明
1168	穆斯科卡
1169	锡姆科
1170	拉纳克
1171	格雷
1172	落基山
1173	贾斯珀
1174	莱姆顿
1175	达拉谟
1176	查塔姆-肯特
1177	萨斯卡通
1178	里贾纳
1179	穆斯乔
1180	艾伯特王子城
1181	悉尼
1182	墨尔本
1183	黄金海岸
1184	凯恩斯
1185	布里斯班
1186	珀斯
1187	堪培拉
1188	阿德莱德
1189	大堡礁
1190	大洋路
1191	霍巴特
1192	蓝山
1193	乌鲁鲁
1194	艾利海滩
1195	圣灵群岛
1196	拜伦湾
1197	达尔文
1198	汉密尔顿岛
1199	卧龙岗
1200	袋鼠岛
1201	道格拉斯港
1202	努萨
1203	昆士兰
1204	玛格丽特
1205	汤斯维尔
1206	布鲁姆
1207	库兰达
1208	麦带区
1209	库伦加塔
1210	芭萝莎
1211	阳光海岸
1212	坎贝尔港
1213	洛恩
1214	卡尔巴里
1215	棕榈湾
1216	摇篮山
1217	比吉诺
1218	吉朗
1219	阿波罗湾
1220	朗塞斯顿
1221	伦敦
1222	爱丁堡
1223	剑桥
1224	曼彻斯特
1225	牛津
1226	约克
1227	巴斯
1228	英国湖区
1229	伯明翰
1230	利物浦
1231	谢菲尔德
1232	怀特岛
1233	诺丁汉
1234	纽卡斯尔
1235	贝尔法斯特
1236	加的夫
1237	温莎
1238	布莱顿
1239	苏格兰高地
1240	格拉斯哥
1241	考文垂
1242	斯特拉特福
1243	康沃尔
1244	坎特伯雷
1245	南安普敦
1246	利兹
1247	威廉堡
1248	布里斯托
1249	格林尼治
1250	南莱克兰
1251	圣安德鲁斯
1252	北约克
1253	斯旺西
1254	莱斯特
1255	普利茅斯
1256	惠特比
1257	诺里奇
1258	朴次茅斯
1259	阿伯丁
1260	斯特灵
1261	巴黎
1262	马赛
1263	戛纳
1264	里昂
1265	图卢兹
1266	尼斯
1267	奥尔良
1268	波尔多
1269	雷恩
1270	勒芒
1271	亚眠
1272	凡尔赛
1273	鲁昂
1274	南特
1275	普罗旺斯地区艾克斯
1276	蒙彼利埃
1277	里尔
1278	圣艾蒂安
1279	土伦
1280	布雷斯特
1281	格勒诺布尔
1282	敦刻尔克
1283	昂热
1284	第戎
1285	利摩日
1286	尼姆
1287	图尔
1288	圣但尼
1289	贝桑松
1290	阿维尼翁
1291	枫丹白露
1292	加来
1293	勒阿弗尔
1294	布尔日
1295	南锡
1296	圣皮埃尔
1297	阿尔勒
1298	梅斯
1299	米卢斯
1300	斯特拉斯堡
1301	罗马
1302	米兰
1303	那不勒斯
1304	都灵
1305	热那亚
1306	佛罗伦萨
1307	威尼斯
1308	普拉托
1309	巴勒莫
1310	博洛尼亚
1311	巴里
1312	卡塔尼亚
1313	维罗纳
1314	帕多瓦
1315	的里雅斯特
1316	塔兰托
1317	布雷西亚
1318	帕尔马
1319	佩鲁贾
1320	里窝那
1321	卡利亚里
1322	拉韦纳
1323	萨莱诺
1324	锡拉库萨
1325	蒙扎
1326	贝加莫
1327	拉蒂纳
1328	弗利
1329	诺瓦拉
1330	博尔扎诺
1331	皮亚琴察
1332	乌迪内
1333	切塞纳
1334	佩萨罗
1335	比萨
1336	科莫
1337	马萨
1338	阿格里真托
1339	圣雷莫
1340	维琴察
1341	柏林
1342	汉堡
1343	慕尼黑
1344	科隆
1345	美因河畔法兰克福
1346	斯图加特
1347	杜塞尔多夫
1348	多特蒙德
1349	埃森
1350	不来梅
1351	德累斯顿
1352	莱比锡
1353	汉诺威
1354	纽伦堡
1355	波恩
1356	杜伊斯堡
1357	伍珀塔尔
1358	奥格斯堡
1359	开姆尼茨
1360	基尔
1361	哈雷
1362	弗莱堡
1363	吕贝克
1364	奥伯豪森
1365	罗斯托克
1366	美因茨
1367	哈根
1368	路德维希港
1369	海德堡
1370	索林根
1371	诺伊斯
1372	帕德博恩
1373	达姆施塔特
1374	乌尔姆
1375	沃尔夫斯堡
1376	贝希特斯加登
1377	魏玛
1378	波茨坦
1379	希尔德斯海姆
1380	卡塞尔
1381	东京
1382	京都
1383	大阪
1384	奈良
1385	箱根
1386	名古屋
1387	札幌
1388	小樽
1389	横滨
1390	福冈
1391	镰仓
1392	那霸
1393	函馆
1394	宇治
1395	熊本
1396	长崎
1397	广岛
1398	鹿儿岛
1399	仙台
1400	和歌山
1401	千叶
1402	富良野
1403	姬路
1404	伊势
1405	日光
1406	轻井泽
1407	高松
1408	佐贺
1409	太宰府
1410	埼玉
1411	宫崎
1412	鸟取
1413	长野
1414	敦贺
1415	山形
1416	伊豆
1417	铃鹿
1418	甲贺
1419	宝冢
1420	弘前
