int	string	string	string
id	名称	道具描述	获取途径说明
id	name	item_des	get_way_explain
1	钻石	用于游戏内消费	通过充值获得
2	金币	用于建筑、艺人升级	占领市场可获得大量金币，订单中也会获得一些
3	绿钞	用于市场宣传与占领	通过拍摄电影获得，公务中也可获得一些
4	拍摄许可证	用于拍摄电影	每隔一段时间电影协会都会发放一张
5	粉丝	粉丝数量越多，公司等级越高	市场占领，拍摄电影都会获得
6	点赞	用于招募艺人和搜寻剧本	电影的媒体评价越高，获得的点赞数就越多
7	生产图纸	生产电影周边需要消耗的图纸	通过拍摄电影获得,会议和公务中也可获得
8	期待	提升电影的上映票房	订单、公务、粉丝、会议都可获得
9	小秘书	小秘书	游戏内充值购买
14	奖杯	每天22点由奥斯卡颁发的奖杯，奖杯越多，比赛档次越高	奥斯卡颁发的奖杯，大卖电影越多，获得的奖杯越多
15	艺人体力	用于释放技能的体力值	用于释放技能的体力值
1015	泰坦尼克号	豪华客轮坦达尼克号开始了自己的处女航，富家少女罗莎（主角）与母亲及未婚夫坐上了头等舱；另一边，放荡不羁的少年画家乔治（主角）也在一场赌博中赢得了下等舱的船票。 罗莎厌倦了上流社会虚伪的生活，打算投海自尽，被乔治救起。很快，两人陷入爱河，乔治带罗莎参加下等舱的舞会、为她画像，但好景不长，坦达尼克号撞上了冰山，面临沉没的危险。生死关头，他们将何去何从？	可在部分活动中获得
1091	美国队长	身体孱弱的斯蒂文（主角）经过一项由基因学博士爱德华（配角）主导的超级士兵研究计划改造，成为了强大的超级英雄，他在战场上的英勇表现让他成为传奇人物，也收获了特工卡拉（主角）的好感。但在一次任务中，他的队友，也是从小一起长大的挚友巴克（配角）发生意外不知所踪，而他自己也落入了深海…直到他醒来，发现自己身处病房，整个世界都变成了他不熟悉的样子。这时，一位神秘的特工史隆（配角）找到了他…	可在部分活动中获得
4001	飞船模型	经常在银河战争中出现的飞船，最新研究的激光发射器使其具备无与伦比的攻击力	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4002	魔法杖	这根魔法杖的使用者只有两种结局，统一大陆或者死于非命，而今，它来到你的身边……	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4003	笔记本电脑	贵重的的社会精英用品，身份的象征	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4004	鸭舌帽	曾经是一个残疾奥运会选手的最爱，感觉多洗两次就掉色了	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4005	破损头盔	它的主人是凭借一人之力拯救198名队友的医疗兵	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4006	丛林部落雕像	胡博士相信这个雕像能给予他极佳的运气，每当遇到危险他的第一反应都是保护这个雕像	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4007	盾牌	七国时期著名大将蒙梭的盾牌，陪伴他打过无数战斗	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4008	匕首	史上最大银行劫案“三亿英镑大劫案”的罪犯在实施犯罪时所使用的匕首	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4009	黑色宽檐帽	最强特工008的宽檐帽，具有GPS定位、无线信号接收、窃听器等功能……当然是不存在的	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4010	对讲机	拥有照明、点火、太阳能充电、防水等功能，灾难来临时的必备用品，就是不能通话	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4011	日记本	主角童年使用的日记本同款，或许你也能从自己的抽屉里找到	拍摄电影有时会得到周边产品，也可以通过完成生产获得
4012	小丑鞋	小孩看到它都想穿在脚上玩	拍摄电影有时会得到周边产品，也可以通过完成生产获得
